"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"1","ITEM20CTFRISKIESPARTYMIXCR_Retailer","2021-01-02","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ALBSCO",1192.20986556855,2900.73898745565
"2","ITEM20CTFRISKIESPARTYMIXCR_Retailer","2021-01-02","Within","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ALBSCO",375.345407606834,913.244462281271
"3","ITEM20CTFRISKIESPARTYMIXCR_Retailer","2021-01-09","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ALBSCO",3463.96617195527,3836.62814138558
"4","ITEM20CTFRISKIESPARTYMIXCR_Retailer","2021-01-09","Within","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ALBSCO",1168.35082464233,1294.04486946927
"5","ITEM20CTFRISKIESPARTYMIXCR_Retailer","2021-01-16","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ALBSCO",4085.85429376167,2867.09979835113
"6","ITEM20CTFRISKIESPARTYMIXCR_Retailer","2021-01-16","Within","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ALBSCO",1382.6054914174,970.193169074672
"7","ITEM20CTFRISKIESPARTYMIXCR_Retailer","2021-01-23","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ALBSCO",3139.21092150785,2989.17912322971
"8","ITEM20CTFRISKIESPARTYMIXCR_Retailer","2021-01-23","Within","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ALBSCO",1077.68212241548,1026.17663557787
"9","ITEM20CTFRISKIESPARTYMIXCR_Retailer","2021-01-30","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ALBSCO",2451.77528997551,2451.77528997551
"10","ITEM20CTFRISKIESPARTYMIXCR_Retailer","2021-01-30","Within","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ALBSCO",856.680994061541,856.680994061541
"11","ITEM20CTFRISKIESPARTYMIXCR_Retailer","2021-02-06","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ALBSCO",2105.63488829731,2105.63488829731
"12","ITEM20CTFRISKIESPARTYMIXCR_Retailer","2021-02-06","Within","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ALBSCO",774.535162457496,774.535162457496
"13","ITEM20CTFRISKIESPARTYMIXCR_Retailer","2021-02-13","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ALBSCO",1505.94050614195,2892.37509291142
