"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Item","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","CB_Comp_TPR_3","Intercept","Market","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7","CB_Comp_TPR_8","CB_Comp_TPR_9","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","CB_Comp_RP_6","CB_Comp_RP_7","WB_Comp_Interaction_RP_1","Model_flag"
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","Cat Treats","ALBSCO","CT FANCY FEAST SAVORY PUREE 1.4OZ",-0.998832112734092,1.0735781792849,0,0,5.83149332141735,0,0,0,0.0128194034901022,0,0,0,-0.00676606706312771,0,0,0,0,0,0,0,0,0,0,7.25414842952826,"Retailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ITEM1009DDDOGCHOWGREENBG_ROM","Dry Dog","ALBSCO","DD DOG CHOW GREEN BG 04LB",-2.5,0,-12.9895775908071,-10.4461357812852,0,10,10,0,-6.78773719468097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1988218803215,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1012DDPURINAONETRUINST_ROM","Dry Dog","ALBSCO","DD PURINA ONE TRU INST 12LB",-1.86916318081211,0,0,0,0,0,10,0,0.567429864328667,0,0,0,0,0.745622232053895,0.29816061932315,-0.0375621580103808,-1.16693835987063,0,0.687476577526785,1,-0.874233388659797,-0.528641372037586,-0.19999080183231,4.65053243331492,"ROM",0.911069389978891,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM101CWBEYONDREGIONAL_Retailer","Wet Cat","ALBSCO","CW BEYOND MIXER PROTEIN 01.4OZ",-0.628332962739862,2.03618420910765,0,0,10,0.35819760420324,0,0,-0.0201922589825465,-0.12944807825505,-0.110334874100967,0,-0.130338426759835,0,0,0,0,0,0,NA,0,0,0,3.67821495576574,"Retailer",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"ITEM101DOGCHOWML_Retailer","Wet Dog","ALBSCO","DW DOG CHOW ML 13 OZ 12CT",-2.5,1.77571893929628,-6.74764236846657,-7.67265800579633,7.47846510181157,1.16148071379692,0,0,0,0,0,0,-0.0157046140491413,0,0,0,0,NA,0,0,0,0,0,10.9544810085936,"Retailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM101DOGCHOWML_ROM","Wet Dog","ALBSCO","DW DOG CHOW ML 13 OZ 12CT",0,0,-0.751968841093796,-0.826552768979277,0,9.45160227704913,0,10,0,0,0,0,-0.0825275263603581,0,0,0,0,NA,0,0,0,0,0,8.69285959338396,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1021DDPURINAONETRUINST_ROM","Dry Dog","ALBSCO","DD PURINA ONE TRU INST 27.5LB",0,0,0,0,0,0,10,0,0,0,0,0,0,0.248287861044277,0.000773714360238858,0,0,0,0,0,-0.311830929470239,-0.126678417876697,0,6.07398185047319,"ROM",0.100987283395595,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1022DDDOGCHOWGREENBG_ROM","Dry Dog","ALBSCO","DD DOG CHOW GREEN BG 48-55LB",-2.5,1.68466254447261,-4.02185306181236,0,3.38540763037548,10,0,10,-0.5302842111142,0,0,0,-0.0723840572912306,0,0,0,0,0,0,0,0,0,0,18.4488129782144,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1023DDDOGCHOWGREENBG_ROM","Dry Dog","ALBSCO","DD DOG CHOW GREEN BG 14LB",-2.5,4.56597222528766,0,-1.60354236471168,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5355716462727,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1025DDALPO_ROM","Dry Dog","ALBSCO","DD ALPO 14LB",-0.257443894438437,0,0,0,3.93134951807386,0,10,0,1.22729157268926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47578028950723,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM102CWFANCYFEASTSAVRYCNTR_Retailer","Wet Cat","ALBSCO","CW FANCY FEAST SAVRY CNTR 03OZ 12CT",-1.62467271172152,6.35563233075314,0,0,4.4325219291276,2.89008801572972,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,10.0645823230223,"Retailer",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
"ITEM102CWFANCYFEASTSAVRYCNTR_ROM","Wet Cat","ALBSCO","CW FANCY FEAST SAVRY CNTR 03OZ 12CT",0,0,-0.892960236466994,0,9.12186575147145,26.3857691602626,10.2242154550586,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,6.59311764973125,"ROM",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
"ITEM1033DDMOISTANDMEATY_ROM","Dry Dog","ALBSCO","DD MOIST AND MEATY 036OZ",-0.442017907095811,2.35569955630436,-0.111806958839496,-1.49120354555737,0,0,10,0,0,0,0,0,0,0.540819481884236,0.222180069011446,-2.20555825797317,-1.44944280740039,0,0.374815121138668,0.00699789103791297,-0.119957643836293,0,0,7.32337794845793,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1035DDDOGCHOWGREENBG_ROM","Dry Dog","ALBSCO","DD DOG CHOW GREEN BG 57LB",-2.5,0,-2.77788246732309,-3.46759444939517,0,10,10,10,-3.59597276053029,0,0,0,-0.435612516209846,0,0,0,0,0,0,0,0,0,0,21.791326803905,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1036DTPIONEERWOMANMT_ROM","Dog Treats","ALBSCO","DT PIONEER WOMAN MT 30OZ",-1.97948907205184,1.85518981036466,-0.0143648570719797,0,0,0,10,0,0,0,0,0,0.0754068994628228,0,0,0,0,0,0,0,0,0,0,6.88118555606187,"ROM",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1038DTPRIMEBONESCW_ROM","Dog Treats","ALBSCO","DT PRIME BONES CW 21-22.8OZ",0,2.56040569432577,0,0,0,3.89206056281005,10,0,0.561280936797194,0,0,0,-0.0173495965313065,0,0,0,0,0,0,0,0,0,0,6.6549618629689,"ROM",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1039DTPRIMEBONESCW_ROM","Dog Treats","ALBSCO","DT PRIME BONES CW 39.7OZ",-0.842812172888749,2.03347899537926,-0.591611020391087,-0.447711987632822,0,10,10,10,0.768236113287531,0,0,0,0.000269581853659263,0,0,0,0,0,0,0,0,0,0,9.89215931711787,"ROM",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM103BENEFUL_Retailer","Wet Dog","ALBSCO","DW BENEFUL 10OZ 06CT",-0.1,1.7062216813593,0,0,5.75423376481655,0,0,0,-0.0232321221327504,0,-0.0413618614037917,-0.00465913099761044,0,0,0,0,0,NA,0,0,-0.726592268124918,0,0,5.82847920037245,"Retailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM103BENEFUL_ROM","Wet Dog","ALBSCO","DW BENEFUL 10OZ 06CT",-0.976254579344983,0,0,0,2.54591452907328,0,9.39729431518611,0,0.91407058308998,-0.00968197108465073,0.0282693315299975,-0.00960874555906194,0,0,0,0,0,NA,0,0,0,0,0,9.84561635740067,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM103BUSYROLLHIDECW_Retailer","Dog Treats","ALBSCO","DT BUSY ROLLHIDE CW 04-6OZ",-1.04663718894749,3.40229749319101,0,0,3.21531463388868,0,7.92695343133666,0,0,-0.0456872038740967,-0.0207706106307343,0,0.00646375230856215,0,0,0,0,0,0,0,0,0,0,7.70926264441171,"Retailer",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM103BUSYROLLHIDECW_ROM","Dog Treats","ALBSCO","DT BUSY ROLLHIDE CW 04-6OZ",-1.33243022625204,1.12895692599164,-0.382399029750012,0,0,0,5.06584152276387,0,0.778106758109316,0,0,-0.00822215988383047,-0.00449235991838479,0,0,0,0,0,0,0,-0.0785581957675953,0,0,10.124676316938,"ROM",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM1040DDPURINAONETRUINST_ROM","Dry Dog","ALBSCO","DD PURINA ONE TRU INST 40LB",0,2.63310303581932,-0.951112579659375,-1.01638857166645,0,5.77410069772811,0.546687843601155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14992421025597,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1043DDMOISTANDMEATY_ROM","Dry Dog","ALBSCO","DD MOIST AND MEATY 360OZ",0,0,0,0,0,0,10,0,0.468404235066957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16359831127477,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1046DDPURINAONETRUINST_ROM","Dry Dog","ALBSCO","DD PURINA ONE TRU INST 36LB",-0.35024822117496,0,0,0,0,0.370172949961579,3.73096181631718,6.28424183194785,1.14561180149197,0,0,-0.0624612772934872,0.000615097241059916,0,0,0,0,0,0,0,0,0,0,8.24824357355478,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM1047DDBENEFUL_ROM","Dry Dog","ALBSCO","DD BENEFUL 48LB",-0.8244186691394,2.24092303932339,-0.137365725547373,0,0,0.526869224993091,5.88304327845942,0,0.281520990562607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0839162721233,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1050DDPURINAONEML_ROM","Dry Dog","ALBSCO","DD PURINA ONE ML 44LB",0,2.41868308231754,0,-0.282285826427123,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54222370382458,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1051DDPURINAONEML_Retailer","Dry Dog","ALBSCO","DD PURINA ONE ML 40LB",-0.813776546945126,1.10194402372217,0,-0.206086150096637,0,0,0,0,0,0,0,0,0.0148209757807918,0,0,-3.21417464594892,-2.16790139047666,0,1,1,0,0,0,-1.2994379898311,"Retailer",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1051DDPURINAONEML_ROM","Dry Dog","ALBSCO","DD PURINA ONE ML 40LB",-0.532784415577518,1.29825509155871,0,0,0,0.399374631706447,3.55777886456586,8.93109554934256,0.939674539678431,0.012107933427893,0,-0.0137333994719183,0.00334282624512217,0,0,0,0,0,0,0,-0.0352063085742907,0,0,10.4327843810697,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM1054DTPUPPYCHOWMT_ROM","Dog Treats","ALBSCO","DT PUPPY CHOW MT 24OZ",-2.5,0.242475647364286,-0.114380046632477,-4.17925008853551,10,0,10,0,0,0,0,0,0,0.751818425742412,0,0,0,0,0,0,0,0,0,9.19974527671504,"ROM",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1056DTPURINAONETRUEINSTMT_ROM","Dog Treats","ALBSCO","DT PURINA ONE TRUE INST MT 20OZ",-2.5,0,-7.16341715725007,-5.23969847052784,0,0,10,0,0,0,0,0,-0.122597525818548,0.929844871865634,0,0,0,0,0,0,0,0,0,8.96092353047913,"ROM",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1079DDPURINAONETRUINSTHIPRO_ROM","Dry Dog","ALBSCO","DD PURINA ONE TRU INST HI-PRO 27.5LB",0,0,0,0,0,0,0,0,1.08562995396767,0,0,0,0,0.952099177539523,0,-1.13747039594261,0,0,0,0,0,0,0,4.0930226657457,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1080DDPURINAONETRUINSTHIPRO_Retailer","Dry Dog","ALBSCO","DD PURINA ONE TRU INST HI-PRO 15LB",-1.32609154811037,1.24365714885681,-0.648393240527862,-1.78806153899506,0,0,0,0,0,0,0,0,0.0000355585257224739,0.346935919645313,0.242963515329742,-3.39098006602226,-1.21114900954576,0,1,0.703882088973658,-3.52081782013797,0,0,0.362703437006573,"Retailer",0.795201378318343,0,0,NA,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1080DDPURINAONETRUINSTHIPRO_ROM","Dry Dog","ALBSCO","DD PURINA ONE TRU INST HI-PRO 15LB",-0.149163998909737,0,0,0,0,2.7099497444918,9.77402886369343,0,0.747059730478166,0,-0.0151330995283117,0,0.00859027466762676,0,0,0,0,0,0,0,0,0,0,7.82937164675059,"ROM",0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM108CTFRISKIESPARTYMIXCR_ROM","Cat Treats","ALBSCO","CT FRISKIES PARTY MIX CR 20OZ 2CT",0,7.43134403438415,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86906296527907,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
