"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","CT FANCY FEAST SAVORY PUREE 1.4OZ","NPP","Retailer","ALBSCO",0,"Fancy Feast"
"ITEM1009DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 04LB","NPP","ROM","ALBSCO",1,"Dog Chow Line"
"ITEM1012DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 12LB","NPP","ROM","ALBSCO",1,"Purina One"
"ITEM101CWBEYONDREGIONAL","Wet Cat","CW BEYOND MIXER PROTEIN 01.4OZ","NPP","Retailer","ALBSCO",0,"Beyond"
"ITEM101DOGCHOWML","Wet Dog","DW DOG CHOW ML 13 OZ 12CT","NPP","Retailer","ALBSCO",1,"Dog Chow Line"
"ITEM101DOGCHOWML","Wet Dog","DW DOG CHOW ML 13 OZ 12CT","NPP","ROM","ALBSCO",1,"Dog Chow Line"
"ITEM1021DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 27.5LB","NPP","ROM","ALBSCO",1,"Purina One"
"ITEM1022DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 48-55LB","NPP","ROM","ALBSCO",1,"Dog Chow Line"
"ITEM1023DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 14LB","NPP","ROM","ALBSCO",1,"Dog Chow Line"
"ITEM1025DDALPO","Dry Dog","DD ALPO 14LB","NPP","ROM","ALBSCO",1,"Alpo"
"ITEM102CWFANCYFEASTSAVRYCNTR","Wet Cat","CW FANCY FEAST SAVRY CNTR 03OZ 12CT","NPP","Retailer","ALBSCO",2,"Fancy Feast"
"ITEM102CWFANCYFEASTSAVRYCNTR","Wet Cat","CW FANCY FEAST SAVRY CNTR 03OZ 12CT","NPP","ROM","ALBSCO",2,"Fancy Feast"
"ITEM1033DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 036OZ","NPP","ROM","ALBSCO",1,"Moist & Meaty"
"ITEM1035DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 57LB","NPP","ROM","ALBSCO",1,"Dog Chow Line"
"ITEM1036DTPIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 30OZ","NPP","ROM","ALBSCO",1,"Pioneer Woman"
"ITEM1038DTPRIMEBONESCW","Dog Treats","DT PRIME BONES CW 21-22.8OZ","NPP","ROM","ALBSCO",1,"Prime"
"ITEM1039DTPRIMEBONESCW","Dog Treats","DT PRIME BONES CW 39.7OZ","NPP","ROM","ALBSCO",1,"Prime"
"ITEM103BENEFUL","Wet Dog","DW BENEFUL 10OZ 06CT","NPP","Retailer","ALBSCO",2,"Beneful"
"ITEM103BENEFUL","Wet Dog","DW BENEFUL 10OZ 06CT","NPP","ROM","ALBSCO",2,"Beneful"
"ITEM103BUSYROLLHIDECW","Dog Treats","DT BUSY ROLLHIDE CW 04-6OZ","NPP","Retailer","ALBSCO",2,"Busy"
"ITEM103BUSYROLLHIDECW","Dog Treats","DT BUSY ROLLHIDE CW 04-6OZ","NPP","ROM","ALBSCO",2,"Busy"
"ITEM1040DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 40LB","NPP","ROM","ALBSCO",1,"Purina One"
"ITEM1043DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 360OZ","NPP","ROM","ALBSCO",1,"Moist & Meaty"
"ITEM1046DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 36LB","NPP","ROM","ALBSCO",2,"Purina One"
"ITEM1047DDBENEFUL","Dry Dog","DD BENEFUL 48LB","NPP","ROM","ALBSCO",1,"Beneful"
"ITEM1050DDPURINAONEML","Dry Dog","DD PURINA ONE ML 44LB","NPP","ROM","ALBSCO",1,"Purina One"
"ITEM1051DDPURINAONEML","Dry Dog","DD PURINA ONE ML 40LB","NPP","Retailer","ALBSCO",1,"Purina One"
"ITEM1051DDPURINAONEML","Dry Dog","DD PURINA ONE ML 40LB","NPP","ROM","ALBSCO",2,"Purina One"
"ITEM1054DTPUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 24OZ","NPP","ROM","ALBSCO",1,"Dog Chow Line"
"ITEM1056DTPURINAONETRUEINSTMT","Dog Treats","DT PURINA ONE TRUE INST MT 20OZ","NPP","ROM","ALBSCO",1,"Purina One"
"ITEM1079DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 27.5LB","NPP","ROM","ALBSCO",1,"Purina One"
"ITEM1080DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 15LB","NPP","Retailer","ALBSCO",1,"Purina One"
"ITEM1080DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 15LB","NPP","ROM","ALBSCO",2,"Purina One"
"ITEM108CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX CR 20OZ 2CT","NPP","ROM","ALBSCO",1,"Friskies"
"ITEM1090DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 15LB","NPP","ROM","ALBSCO",1,"Purina One"
"ITEM10CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ","NPP","Retailer","ALBSCO",2,"Fancy Feast"
"ITEM10CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ","NPP","ROM","ALBSCO",2,"Fancy Feast"
"ITEM1105DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 16.5LB","NPP","Retailer","ALBSCO",2,"Purina One"
"ITEM1105DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 16.5LB","NPP","ROM","ALBSCO",2,"Purina One"
"ITEM1106DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 07.4-8LB","NPP","Retailer","ALBSCO",2,"Purina One"
"ITEM1106DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 07.4-8LB","NPP","ROM","ALBSCO",2,"Purina One"
"ITEM1109DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 31.1LB","NPP","Retailer","ALBSCO",1,"Purina One"
"ITEM1109DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 31.1LB","NPP","ROM","ALBSCO",1,"Purina One"
"ITEM11108CTFANCYFEASTSAVORYCRAVINGS","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ","NPP","ROM","ALBSCO",1,"Fancy Feast"
"ITEM1110CTDENTALIFEDNT","Cat Treats","CT DENTALIFE DNT 19OZ","NPP","ROM","ALBSCO",1,"Dentalife"
"ITEM11127CTKITKABOODLECR","Cat Treats","CT KIT KABOODLE CR 04OZ","NPP","ROM","ALBSCO",1,"Kit & Kaboodle"
"ITEM11128CTKITKABOODLECR","Cat Treats","CT KIT KABOODLE CR 09OZ","NPP","ROM","ALBSCO",1,"Kit & Kaboodle"
"ITEM11129CTKITKABOODLECR","Cat Treats","CT KIT KABOODLE CR 02.4OZ","NPP","ROM","ALBSCO",1,"Kit & Kaboodle"
"ITEM11156CTWHISKERLICKINSAO","Cat Treats","CT WHISKER LICKINS AO","NPP","Retailer","ALBSCO",0,"Whisker Lickins"
"ITEM11156CTWHISKERLICKINSAO","Cat Treats","CT WHISKER LICKINS AO","NPP","ROM","ALBSCO",1,"Whisker Lickins"
"ITEM1116DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 20LB","NPP","Retailer","ALBSCO",1,"Dog Chow Line"
"ITEM1116DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 20LB","NPP","ROM","ALBSCO",1,"Dog Chow Line"
"ITEM1118DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 03.5LB","NPP","Retailer","ALBSCO",1,"Dog Chow Line"
"ITEM1118DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 03.5LB","NPP","ROM","ALBSCO",1,"Dog Chow Line"
"ITEM1128CTWHISKERLICKINSCR","Cat Treats","CT WHISKER LICKINS CR 01.7OZ","NPP","Retailer","ALBSCO",0,"Whisker Lickins"
"ITEM1128CTWHISKERLICKINSCR","Cat Treats","CT WHISKER LICKINS CR 01.7OZ","NPP","ROM","ALBSCO",1,"Whisker Lickins"
"ITEM1129DDPURINAONEMLPUPPY","Dry Dog","DD PURINA ONE ML PUPPY 03LB","NPP","ROM","ALBSCO",1,"Purina One"
"ITEM112BUSYCW","Dog Treats","DT BUSY CW 17-21OZ","NPP","Retailer","ALBSCO",2,"Busy"
