"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","NPP","Cat Treats","CT FANCY FEAST SAVORY PUREE 1.4OZ",3.3,2,4,0,4,0,2,0,3.15464121347277,0,12.99,0,1.058,0,0.411,0,0,1,3,2.1,0,1,0.2,51.247,1,1,1,1,0,0,0,"ALBSCO","Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",NA,NA,0,0,0,0,0
"ITEM108CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX CR 20OZ 2CT",15.9,14,18,9,18,0,12,7.45991440600384,14.6417195083048,0,0.703,0,0.801,0,0.462,0,0.7,0,14.6417195083048,0,0,14.6417195083048,0,1.22,0,1,0,1,0,1,0,"ALBSCO","ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT",NA,NA,1,4,1,0,1
"ITEM11108CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ",5.1,4,6,50,6,0,2,26.0585743116247,4.6621851983689,0,6.319,0,5.244,0,0.83,0,1.114,0,4.6621851983689,0,0,4.6621851983689,0,2.023,0,1,0,1,1,1,1,"ALBSCO","ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",NA,NA,1,19,1,0,1
"ITEM1110CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 19OZ",13,11,15,65,15,0,5,27.707572816747,10.8817587916375,0,0.128,0,0.18,0,0,0,0,0,10.8817587916375,0,0,10.8817587916375,0,0,1,1,0,1,1,0,0,"ALBSCO","ROM","CT DENTALIFE DNT 19OZ",NA,NA,1,35,0,0,1
"ITEM11127CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 04OZ",1.8,1,2,100,2,0,0,50.0834177752473,1.55653044877683,0,1.029,0,2.37,0,0,0,0,0,1.55653044877683,0,0,1.55653044877683,0,0.001,1,0,0,0,0,0,0,"ALBSCO","ROM","CT KIT KABOODLE CR 04OZ",NA,NA,1,38,0,1,1
"ITEM11128CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 09OZ",3.8,3,5,46,5,0,-1,26.9552771302935,2.34091213985075,0,0.064,0,0.223,0,0.017,0,0,0,2.34091213985075,0,0,2.34091213985075,0,0.23,0,1,0,1,1,1,0,"ALBSCO","ROM","CT KIT KABOODLE CR 09OZ",NA,NA,1,8,1,0,1
"ITEM11129CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 02.4OZ",1,0,2,8,2,0,0,6.29296261053586,0.987385473444674,0,0.077,0,0,0,0.012,0,0,0,0.987385473444674,0,0,0.987385473444674,0,0.209,0,1,0,1,0,1,0,"ALBSCO","ROM","CT KIT KABOODLE CR 02.4OZ",NA,NA,1,2,1,0,1
"ITEM11156CTWHISKERLICKINSAO_Retailer","NPP","Cat Treats","CT WHISKER LICKINS AO",3.5,3,4,26,4,0,3,17.021366902915,3.42446692296753,0,1.415,0,1.089,0,0,0,0,0,1,0.8,0,1,0,0.256,1,1,1,1,0,1,1,"ALBSCO","Retailer","CT WHISKER LICKINS AO",NA,NA,0,5,0,0,0
"ITEM11156CTWHISKERLICKINSAO_ROM","NPP","Cat Treats","CT WHISKER LICKINS AO",3.9,3,5,14,5,0,2,8.61816992468141,3.15109574401003,0,6.677,0,8.355,0,1.674,0,0,0,3.15109574401003,0,0,3.15109574401003,0,8.1355,1,1,1,1,0,1,0,"ALBSCO","ROM","CT WHISKER LICKINS AO",NA,NA,1,4,0,0,0
"ITEM1128CTWHISKERLICKINSCR_Retailer","NPP","Cat Treats","CT WHISKER LICKINS CR 01.7OZ",1.3,1,2,43,2,0,0,23.5897723163168,0.86591980547336,0,7.572,0,1.147,0,0,0,0,0,1,0.7,0,1,0,0.054,1,1,1,1,1,0,1,"ALBSCO","Retailer","CT WHISKER LICKINS CR 01.7OZ",NA,NA,0,15,0,0,0
