"Acting_PPG_Item_No","PPG_Cat","PPG_MFG","PPG_Item_No","Modelled_PPG_Description","model_RSq","model_CVErrorMean","model_CVErrorSD","model_coefficient_name","model_coefficient_value","TrainMAPE","rhat","approach_edlp","mean_edlp","std_edlp","approach_tpr","mean_tpr","std_tpr","Run","Reason","Model_flag","Retailer","Market","Brand","size_cuts","price_cuts","grp_based_on","Model_type","model_box","Modelled_PPG_Item_No","acting_box","Variable","CompKey_WB_Interaction","CompKey_WB_Interaction_TPR","CompKey_CB","CompKey_WB","CompKey_CB_TPR","CompKey_WB_TPR","CompKey","Acting_PPG_Item"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.913831702548852,NA,NA,"ACV_Selling",5.83149332141735,0.108571027098018,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"ALBSCO","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.913831702548852,NA,NA,"monthno",-0.00676606706312771,0.108571027098018,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"ALBSCO","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.913831702548852,NA,NA,"wk_sold_median_base_price_byppg_log",-0.998832112734092,0.108571027098018,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"ALBSCO","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.913831702548852,NA,NA,"tpr_discount_byppg",1.0735781792849,0.108571027098018,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"ALBSCO","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.913831702548852,NA,NA,"category_trend",0.0128194034901022,0.108571027098018,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"ALBSCO","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","category_trend",NA,NA,NA,NA,NA,NA,"category_trend","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM108CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM108CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT",0.345070103586628,0.0227107827843553,0.00349358139545804,"tpr_discount_byppg",7.43134403438415,0.114563070677408,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"ALBSCO","ROM",NA,NA,NA,NA,NA,"ROM","ITEM108CTFRISKIESPARTYMIXCR","ROM","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT FRISKIES PARTY MIX CR 20OZ 2CT"
"ITEM108CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM108CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT",0.345070103586628,0.0227107827843553,0.00349358139545804,"ACV_Disp_Only",10,0.114563070677408,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"ALBSCO","ROM",NA,NA,NA,NA,NA,"ROM","ITEM108CTFRISKIESPARTYMIXCR","ROM","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT FRISKIES PARTY MIX CR 20OZ 2CT"
"ITEM11108CTFANCYFEASTSAVORYCRAVINGS","Cat Treats","NPP","ITEM11108CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",0.475838210650363,0.718781780230978,0.0557439472616053,"tpr_discount_byppg",3.68056631833123,0.865792363079684,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"ALBSCO","ROM",NA,NA,NA,NA,NA,"ROM","ITEM11108CTFANCYFEASTSAVORYCRAVINGS","ROM","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT FANCY FEAST SAVORY CRAVINGS 3OZ"
"ITEM11108CTFANCYFEASTSAVORYCRAVINGS","Cat Treats","NPP","ITEM11108CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",0.475838210650363,0.718781780230978,0.0557439472616053,"ACV_Feat_Only",6.982766391846,0.865792363079684,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"ALBSCO","ROM",NA,NA,NA,NA,NA,"ROM","ITEM11108CTFANCYFEASTSAVORYCRAVINGS","ROM","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT FANCY FEAST SAVORY CRAVINGS 3OZ"
"ITEM11108CTFANCYFEASTSAVORYCRAVINGS","Cat Treats","NPP","ITEM11108CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",0.475838210650363,0.718781780230978,0.0557439472616053,"ACV_Disp_Only",10,0.865792363079684,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"ALBSCO","ROM",NA,NA,NA,NA,NA,"ROM","ITEM11108CTFANCYFEASTSAVORYCRAVINGS","ROM","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT FANCY FEAST SAVORY CRAVINGS 3OZ"
