"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4"
1113200040,"ROM","DD ALPO 04LB","ITEM990DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","ALBSCO","ALPO",NA,0,0.802932156489096,0.756391614103909,0.73485489623551,0.707601272063042,0.729883562736557,0.708786559856145,0.773841326520416,0.739985928136449
1113200392,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM127ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","ALBSCO","ALPO",NA,0,0.594066752597204,0.585933692105299,0.576869006660615,0.556305508384214,0.615880043447133,0.605748920796948,0.493801453245104,0.496442973341831
1113200392,"Retailer","DT ALPO VARIETY SNAPS CR 32OZ","ITEM127ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","ALBSCO","ALPO",2.06678676655457,0.157784210117336,1,1,1,1,1,1,1,1
1113200681,"ROM","DT ALPO VARIETY SNAPS CR 16OZ","ITEM187ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","ALBSCO","ALPO",NA,0,1,1,1,1,1,1,1,1
1113200681,"Retailer","DT ALPO VARIETY SNAPS CR 16OZ","ITEM187ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","ALBSCO","ALPO",1.57957286159413,0.157078651685393,1,1,1,1,1,1,1,1
1113203137,"ROM","DD ALPO 17.6LB","ITEM1280DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD SAVORY BEEF DRY BAG 17.6 POUND","ALBSCO","ALPO",NA,0,1,1,1,1,1,1,1,1
1113210840,"ROM","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","ALBSCO","ALPO",NA,0,0.00604417401092128,0.000773351762922636,0.000180181553475422,0.0000528013434359904,0.00000923933373778517,0.00000549553779145883,0,0.0000166732948571489
1113210840,"Retailer","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","ALBSCO","ALPO",0.764153861041223,0.1,0.0256776034236805,0.0465116279069768,0.125,0,0,NA,NA,NA
1113210860,"ROM","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROASTED CHICKEN AND TOP SIRLOI WET CAN 13.2 OUNCE","ALBSCO","ALPO",NA,0,0.00000291054404318561,0.0000106683310495889,0.000000858019654925653,0,0,0,0,0
1113210929,"ROM","DW ALPO 13.2OZ 12CT","ITEM58ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","ALBSCO","ALPO",NA,0,0,0,0,0,0,0,0,0
1113210929,"Retailer","DW ALPO 13.2OZ 12CT","ITEM58ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","ALBSCO","ALPO",0.762336132732487,0,0,0,0,0,0,0,0,0
1113211755,"ROM","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","ALBSCO","ALPO",NA,0,0.000554301470848526,0.000230703547974947,0.0000368364998252682,0.000000829166825313919,0,0,0,0
1113211755,"Retailer","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","ALBSCO","ALPO",0.76013093575419,0,0.0014265335235378,0,0,0,0,NA,NA,NA
1113212516,"ROM","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","ALBSCO","ALPO",NA,0,0.000911738108432042,0.000372746152707111,0.0000535387104280509,0.0000331666730125568,0.00000692950030333888,0.00000104438194440495,0,0
1113212516,"Retailer","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","ALBSCO","ALPO",0.760046040515654,0,0,0,0,0,0,NA,NA,NA
1113212518,"ROM","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO WET DOG FOOD BEEF WET CAN 22 OUNCE","ALBSCO","ALPO",NA,0,0,0,0,0,0,0,0,0
1113212531,"ROM","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","ALBSCO","ALPO",NA,0,0.00118870402430956,0.000505846028936957,0.000379785239859742,0.0000711831427863746,0.00000461966686889258,0.00000208876388880989,0.0000122822781955663,0.0000833664742857444
1113212531,"Retailer","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","ALBSCO","ALPO",0.764934921685418,0.1,0.072753209700428,0.186046511627907,0.125,0,0,NA,NA,NA
1113212534,"ROM","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LONDON GRILL AND WHOLESOME VEG WET CAN 13.2 OUNCE","ALBSCO","ALPO",NA,0,0.0016506262824994,0.000594544311338414,0.000043300819905478,0.000020729170632848,0.000016168834041124,0.00000104438194440495,0.0000122822781955663,0
1113212534,"Retailer","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LONDON GRILL AND WHOLESOME VEG WET CAN 13.2 OUNCE","ALBSCO","ALPO",0.760048200514139,0,0,0,0,0,0,NA,NA,NA
1113212541,"ROM","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT TURKEY AND BACON WET CAN 13.2 OUNCE","ALBSCO","ALPO",NA,0,0.0000740020375700156,0.00000355611034986296,0.00000343207861970261,0.00000165833365062784,0.000000769944478148764,0,0,0
1113212541,"Retailer","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT TURKEY AND BACON WET CAN 13.2 OUNCE","ALBSCO","ALPO",0.7625,0,0.0014265335235378,0,0,0,0,NA,NA,NA
1113212544,"ROM","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT CHICKEN AND WHOLESOME VEGGIE A WET CAN 13.2 OUNCE","ALBSCO","ALPO",NA,0,0.00240080591218229,0.000801716188100731,0.0000878011512885421,0.0000381416739644403,0,0,0,0
1113212547,"ROM","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO WET DOG FOOD LAMB AND RICE WET CAN 22 OUNCE","ALBSCO","ALPO",NA,0,0,0,0,0,0,0,0,0
1113212552,"ROM","DW ALPO 13.0-13.2OZ","ITEM6ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE","ALBSCO","ALPO",NA,0,0.00484127962912917,0.000691147827047617,0.000068125044561787,0.0000810925155157013,0.00000769944478148764,0.00000313314583321484,0,0.000100039769142893
