"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","CB_Comp_TPR_3","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within_non_normalised","Cross_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_Interaction_RP_1","WB_Comp_Interaction_RP_2","WB_Comp_Interaction_TPR_1","WB_Comp_Interaction_TPR_2","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_TPR_4","WB_Comp_Interaction_RP_3","CB_Comp_TPR_5","WB_Comp_RP_4","CB_Comp_TPR_6","CB_Comp_RP_5"
"ITEM20001CTAOCRUNCHY_Retailer","CT AO CRUNCHY","Cat Treats","NPP",0,0,1,"Retailer","Amazon",NA,NA,NA,NA,5.99,5.99,0,1.64540569546537,0,0,35,1316.4522593714,1316.4522593714,2,NA,NA,NA,NA,NA,NA,NA,1.42920595992889e-12,7885.54903363466,8.57523575957332e-12,NA,0,NA,NA,NA,NA,0,0,8.57523575957332e-12,NA,NA,0,5.99,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20001CTAOCRUNCHY_Retailer","CT AO CRUNCHY","Cat Treats","NPP",0,1,0,"Retailer","Amazon",NA,NA,NA,NA,5.99,5.99,0,1.52029248676172,0,0,31.9230769230769,924.983652444637,924.983652444637,2,NA,NA,NA,NA,NA,NA,NA,0,5540.65207814338,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,5.99,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20001CTAOCRUNCHY_Retailer","CT AO CRUNCHY","Cat Treats","NPP",1,0,0,"Retailer","Amazon",NA,NA,NA,NA,5.99,5.99,0,1.48019681984317,0,0,28.9230769230769,631.720942148943,631.720942148943,2,NA,NA,NA,NA,NA,NA,NA,0,3784.00844347217,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,5.99,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20001CTAOCRUNCHY_Retailer","CT AO CRUNCHY","Cat Treats","NPP",0,0,0,"Retailer","Amazon",NA,NA,NA,NA,5.99,5.99,0,1.5221531779149,0,0,26,476.902000672745,475.438777527336,2,NA,NA,NA,NA,NA,NA,NA,1.46322314540842,2847.87827738874,6.37964805437575,NA,0,NA,NA,NA,NA,0,0,6.37964805437575,NA,NA,2.3850585866207,5.98564695629073,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20001CTAOCRUNCHY_ROM","CT AO CRUNCHY","Cat Treats","NPP",0,0,1,"ROM","Amazon",NA,NA,NA,NA,5.56882506315553,5.56882506315553,0,1.64540569546537,0,0,35,15418.7614984756,15418.7614984756,2,NA,NA,NA,NA,NA,NA,NA,0,85864.3854755284,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,5.56882506315553,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20001CTAOCRUNCHY_ROM","CT AO CRUNCHY","Cat Treats","NPP",0,1,0,"ROM","Amazon",NA,NA,NA,NA,5.56882506315553,5.56882506315553,0,1.52029248676172,0,0,31.9230769230769,11572.6427189481,11572.6427189481,2,NA,NA,NA,NA,NA,NA,NA,0,64446.0228202225,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,5.56882506315553,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20001CTAOCRUNCHY_ROM","CT AO CRUNCHY","Cat Treats","NPP",1,0,0,"ROM","Amazon",NA,NA,NA,NA,5.56882506315553,5.56882506315553,0,1.48019681984317,0,0,28.9230769230769,9153.51050410509,9153.51050410509,2,NA,NA,NA,NA,NA,NA,NA,0,50974.2987111179,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,5.56882506315553,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20001CTAOCRUNCHY_ROM","CT AO CRUNCHY","Cat Treats","NPP",0,0,0,"ROM","Amazon",NA,NA,NA,NA,5.56882506315553,5.56882506315553,0,1.5221531779149,0,0,26,7644.58352532967,7644.58352532967,2,NA,NA,NA,NA,NA,NA,NA,0,42571.3483332417,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,5.56882506315553,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20005CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,0,1,"Retailer","Amazon",NA,3562.14285714286,0,NA,2.20755056179775,2.20755056179775,0.0432699049720891,1.64540569546537,0.0432699049720891,0.0349345825466985,35,1002.75752293908,1002.75752293908,2,NA,NA,NA,NA,0,NA,NA,0,2113.4165181474,0,1459.978855573,0,1280.93960376849,1459.978855573,156.438824558273,156.438824558273,205.546620295434,0,0,NA,NA,100.221414963675,2.20016195264024,"2022-12-31",NA,1.42477882494486,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20005CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,1,0,"Retailer","Amazon",NA,1333.07692307692,0,NA,2.20755056179775,2.20755056179775,0.039895066573307,1.52029248676172,0.039895066573307,0.039895066573307,31.9230769230769,803.811528681208,803.811528681208,2,NA,NA,NA,NA,0,NA,NA,0,1698.54825498629,0,1348.9160979021,0,1129.48115397382,1348.9160979021,193.511982061344,193.511982061344,179.869725865231,0,0,NA,NA,75.9063367334172,2.19203623581264,"2022-09-24",NA,1.46035083669936,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
