"PPG_Item","Category","Market","Retailer","Brand","Display_Spend","Feature_Spend"
"CL TIDY CATS BREEZE ENHANCED PELLETS 03.5LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE ENHANCED PELLETS 07.0LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE GLADE PADS 08CT","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE GLADE PADS 08CT","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE PADS 04CT","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE PADS 04CT","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE PADS 10CT","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE PADS 10CT","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE PELLETS 03.5LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE PELLETS 07.0LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE STARTER HOOD","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE STARTER HOOD","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE STARTER ORIGINAL","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE STARTER ORIGINAL","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE STARTER XL","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS BREEZE STARTER XL","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS CLUMP LW 08.5LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS CLUMP LW 17LB - BOX","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS CLUMP LW 17LB - BOX","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS CLUMP NON-LW 14LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS CLUMP NON-LW 20LB","Litter","Retailer","Amazon","Tidy Cats",0,0
"CL TIDY CATS CLUMP NON-LW 20LB","Litter","ROM","Amazon","Tidy Cats",0,0
"CL TIDY CATS CLUMP NON-LW 35LB","Litter","ROM","Amazon","Tidy Cats",0,0
