"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"1","ITEM20005CTDENTALIFEDNT_Retailer","2021-07-10","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",142.784255664262,0
"2","ITEM20005CTDENTALIFEDNT_Retailer","2021-07-17","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",162.595133951428,0
"3","ITEM20005CTDENTALIFEDNT_Retailer","2021-07-31","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",91.3289266715501,0
"4","ITEM20005CTDENTALIFEDNT_Retailer","2021-12-18","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",88.5570983663888,0
"5","ITEM20005CTDENTALIFEDNT_Retailer","2021-12-25","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",363.59506029374,0
"6","ITEM20005CTDENTALIFEDNT_Retailer","2022-01-01","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",153.1539050382,0
"7","ITEM20005CTDENTALIFEDNT_Retailer","2022-02-26","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",286.871871248685,0
"8","ITEM20005CTDENTALIFEDNT_Retailer","2022-03-12","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",357.35985857688,0
"9","ITEM20005CTDENTALIFEDNT_Retailer","2022-08-13","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",460.148580676395,0
"10","ITEM20005CTDENTALIFEDNT_Retailer","2022-08-20","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",159.171478080216,0
"11","ITEM20005CTDENTALIFEDNT_Retailer","2022-08-27","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",498.797215182297,0
"12","ITEM20005CTDENTALIFEDNT_Retailer","2022-09-03","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",256.16237019753,0
"13","ITEM20005CTDENTALIFEDNT_Retailer","2022-09-10","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",391.847433410925,0
"14","ITEM20005CTDENTALIFEDNT_Retailer","2022-12-10","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",398.079325033877,0
"15","ITEM20005CTDENTALIFEDNT_Retailer","2022-12-17","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",494.628573447615,0
"16","ITEM20005CTDENTALIFEDNT_Retailer","2022-12-24","Within","Pantry Loading",2,"CT DENTALIFE DNT 01.8OZ","Cat Treats","Amazon",298.761447882836,0
"17","ITEM20007CTDENTALIFEDNT_Retailer","2021-07-10","Within","CT WHISKER LICKINS CR 01.7OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",162.895336763926,101.245644479182
"18","ITEM20007CTDENTALIFEDNT_Retailer","2021-07-10","Within","CT WHISKER LICKINS CR 10OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",556.832882193773,346.092805017569
"19","ITEM20007CTDENTALIFEDNT_Retailer","2021-07-10","Within","Pantry Loading",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",961.320414952631,597.497183752577
"20","ITEM20007CTDENTALIFEDNT_Retailer","2021-07-17","Within","CT WHISKER LICKINS CR 01.7OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",145.978076386697,111.049529436217
"21","ITEM20007CTDENTALIFEDNT_Retailer","2021-07-17","Within","CT WHISKER LICKINS CR 10OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",503.108557779181,382.728488959616
"22","ITEM20007CTDENTALIFEDNT_Retailer","2021-07-17","Within","Pantry Loading",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",887.875559748732,675.431308238557
"23","ITEM20007CTDENTALIFEDNT_Retailer","2021-07-24","Within","CT WHISKER LICKINS CR 01.7OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",199.006749734088,114.505172446458
"24","ITEM20007CTDENTALIFEDNT_Retailer","2021-07-24","Within","CT WHISKER LICKINS CR 10OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",687.929398864238,395.823129382254
"25","ITEM20007CTDENTALIFEDNT_Retailer","2021-07-24","Within","Pantry Loading",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",1171.98880056354,674.342854667804
"26","ITEM20007CTDENTALIFEDNT_Retailer","2021-07-31","Within","CT WHISKER LICKINS CR 01.7OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",152.32494782557,88.9300154691062
"27","ITEM20007CTDENTALIFEDNT_Retailer","2021-07-31","Within","CT WHISKER LICKINS CR 10OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",523.220500706774,305.46544007282
"28","ITEM20007CTDENTALIFEDNT_Retailer","2021-07-31","Within","Pantry Loading",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",874.572466676797,510.590970820384
"29","ITEM20007CTDENTALIFEDNT_Retailer","2021-09-18","Within","CT WHISKER LICKINS CR 01.7OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",193.73793238074,122.472106998212
"30","ITEM20007CTDENTALIFEDNT_Retailer","2021-09-18","Within","CT WHISKER LICKINS CR 10OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",475.100403593655,300.336370625995
"31","ITEM20007CTDENTALIFEDNT_Retailer","2021-09-18","Within","Pantry Loading",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",731.807954829745,462.614940939471
"32","ITEM20007CTDENTALIFEDNT_Retailer","2022-03-05","Within","CT WHISKER LICKINS CR 01.7OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",0,53.9470600365313
"33","ITEM20007CTDENTALIFEDNT_Retailer","2022-03-05","Within","CT WHISKER LICKINS CR 10OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",0,449.418056615425
"34","ITEM20007CTDENTALIFEDNT_Retailer","2022-03-05","Within","Pantry Loading",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",0,662.521976658694
"35","ITEM20007CTDENTALIFEDNT_Retailer","2022-03-12","Within","CT WHISKER LICKINS CR 01.7OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",49.3050244021236,84.3381611811832
"36","ITEM20007CTDENTALIFEDNT_Retailer","2022-03-12","Within","CT WHISKER LICKINS CR 10OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",432.977350527687,740.624591903315
"37","ITEM20007CTDENTALIFEDNT_Retailer","2022-03-12","Within","Pantry Loading",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",604.704648581263,1034.37081184896
"38","ITEM20007CTDENTALIFEDNT_Retailer","2022-03-19","Within","CT WHISKER LICKINS CR 01.7OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",69.8081536418502,78.2564279468783
"39","ITEM20007CTDENTALIFEDNT_Retailer","2022-03-19","Within","CT WHISKER LICKINS CR 10OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",672.374862200928,753.746549823868
"40","ITEM20007CTDENTALIFEDNT_Retailer","2022-03-19","Within","Pantry Loading",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",891.210542660474,999.066011329034
"41","ITEM20007CTDENTALIFEDNT_Retailer","2022-03-26","Within","CT WHISKER LICKINS CR 01.7OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",80.8653027949725,39.2218474010039
"42","ITEM20007CTDENTALIFEDNT_Retailer","2022-03-26","Within","CT WHISKER LICKINS CR 10OZ",2,"CT DENTALIFE DNT 19OZ","Cat Treats","Amazon",817.634311695268,396.574638253015
