"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM100001CLTIDYCATSBREEZEENHANCEDPELLETS","Litter","CL TIDY CATS BREEZE ENHANCED PELLETS 03.5LB","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100002CLTIDYCATSBREEZEENHANCEDPELLETS","Litter","CL TIDY CATS BREEZE ENHANCED PELLETS 07.0LB","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100003CLTIDYCATSBREEZEGLADEPADS","Litter","CL TIDY CATS BREEZE GLADE PADS 08CT","NPP","Retailer","Amazon",2,"Tidy Cats"
"ITEM100003CLTIDYCATSBREEZEGLADEPADS","Litter","CL TIDY CATS BREEZE GLADE PADS 08CT","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100004CLTIDYCATSBREEZEPADS","Litter","CL TIDY CATS BREEZE PADS 04CT","NPP","Retailer","Amazon",2,"Tidy Cats"
"ITEM100004CLTIDYCATSBREEZEPADS","Litter","CL TIDY CATS BREEZE PADS 04CT","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100005CLTIDYCATSBREEZEPADS","Litter","CL TIDY CATS BREEZE PADS 10CT","NPP","Retailer","Amazon",2,"Tidy Cats"
"ITEM100005CLTIDYCATSBREEZEPADS","Litter","CL TIDY CATS BREEZE PADS 10CT","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100006CLTIDYCATSBREEZEPELLETS","Litter","CL TIDY CATS BREEZE PELLETS 03.5LB","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100007CLTIDYCATSBREEZEPELLETS","Litter","CL TIDY CATS BREEZE PELLETS 07.0LB","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100008CLTIDYCATSBREEZESTARTERHOOD","Litter","CL TIDY CATS BREEZE STARTER HOOD","NPP","Retailer","Amazon",2,"Tidy Cats"
"ITEM100008CLTIDYCATSBREEZESTARTERHOOD","Litter","CL TIDY CATS BREEZE STARTER HOOD","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100009CLTIDYCATSBREEZESTARTERORIGINAL","Litter","CL TIDY CATS BREEZE STARTER ORIGINAL","NPP","Retailer","Amazon",2,"Tidy Cats"
"ITEM100009CLTIDYCATSBREEZESTARTERORIGINAL","Litter","CL TIDY CATS BREEZE STARTER ORIGINAL","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100010CLTIDYCATSBREEZESTARTERXL","Litter","CL TIDY CATS BREEZE STARTER XL","NPP","Retailer","Amazon",2,"Tidy Cats"
"ITEM100010CLTIDYCATSBREEZESTARTERXL","Litter","CL TIDY CATS BREEZE STARTER XL","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100011CLTIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 08.5LB","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100012CLTIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 17LB - BOX","NPP","Retailer","Amazon",2,"Tidy Cats"
"ITEM100012CLTIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 17LB - BOX","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100014CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 14LB","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100015CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB","NPP","Retailer","Amazon",2,"Tidy Cats"
"ITEM100015CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100016CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 35LB","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100018CLTIDYCATSCLUMPNONLWBAGECOM","Litter","CL TIDY CATS CLUMP NON-LW BAG ECOM 40LB","NPP","ROM","Amazon",2,"Tidy Cats"
"ITEM100019CLTIDYCATSMAXCLUMPLW","Litter","CL TIDY CATS MAX CLUMP LW 17LB","NPP","Retailer","Amazon",2,"Tidy Cats"
"ITEM100019CLTIDYCATSMAXCLUMPLW","Litter","CL TIDY CATS MAX CLUMP LW 17LB","NPP","ROM","Amazon",2,"Tidy Cats"
