"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM20001CTAOCRUNCHY_Retailer","NPP","Cat Treats","CT AO CRUNCHY",6,5,7,0,7,0,4,0,5.35559740618454,0,5.35559740618454,0,0,5.35559740618454,0,1,0,0,0,0,0,0,"Amazon","Retailer","CT AO CRUNCHY",0.646791035809721,0.462449500687443,2,0,0,1,1
"ITEM20001CTAOCRUNCHY_ROM","NPP","Cat Treats","CT AO CRUNCHY",5.6,5,7,0,7,0,4,0,4.95234593307021,0,4.95234593307021,0,0,4.95234593307021,0,1,0,0,0,0,0,0,"Amazon","ROM","CT AO CRUNCHY",0.926879650116656,0.0961810269777803,2,0,0,1,1
"ITEM20005CTDENTALIFEDNT_Retailer","NPP","Cat Treats","CT DENTALIFE DNT 01.8OZ",2.3,2,3,14,3,0,1,7.93124688704213,2.09739728746172,1,2,1.3,0,2,0,0,0,0,0,0,0,0,"Amazon","Retailer","CT DENTALIFE DNT 01.8OZ",0.297758741049451,0.417994215951211,2,23,1,1,1
"ITEM20005CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 01.8OZ",3.9,3,5,31,5,0,1,23.3914675722815,2.52426240287672,0,2.52426240287672,0,0,2.52426240287672,0,1,1,0,1,0,0,0,"Amazon","ROM","CT DENTALIFE DNT 01.8OZ",0.121913931284919,0.1473218324209,2,16,0,0,1
"ITEM20007CTDENTALIFEDNT_Retailer","NPP","Cat Treats","CT DENTALIFE DNT 19OZ",15.4,13,17,20,17,0,10,11.6961538438371,13.105605330723,5,9,6.8,0,9,0,1,1,0,1,0,0,0,"Amazon","Retailer","CT DENTALIFE DNT 19OZ",0.25718818265259,0.19248306671223,2,17,0,0,1
"ITEM20007CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 19OZ",15.2,13,17,19,17,0,10,11.6579973609687,13.1205865209894,0,13.1205865209894,0,0,13.1205865209894,0,0,1,0,1,0,0,0,"Amazon","ROM","CT DENTALIFE DNT 19OZ",0.0181582413565815,0.78454874787706,2,16,1,0,1
"ITEM20010CTFANCYFEASTPUREFLAKED_Retailer","NPP","Cat Treats","CT FANCY FEAST PURE FLAKED 01.06OZ",4.5,4,5,20,5,0,3,11.1233654094581,3.81776799725694,2,3,2.6,0,3,0,1,1,0,1,0,0,0,"Amazon","Retailer","CT FANCY FEAST PURE FLAKED 01.06OZ",0.34726090378933,0.292023995488308,2,18,0,0,1
"ITEM20010CTFANCYFEASTPUREFLAKED_ROM","NPP","Cat Treats","CT FANCY FEAST PURE FLAKED 01.06OZ",4,3,5,14,5,0,3,8.80130113644306,3.66730179659537,0,3.66730179659537,0,0,3.66730179659537,0,1,1,0,1,0,0,0,"Amazon","ROM","CT FANCY FEAST PURE FLAKED 01.06OZ",0.427575831499568,0.149231147728656,2,16,0,0,1
"ITEM20013CTFRISKIESPARTYMIXNATYUMCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",1.8,1,3,0,3,0,1,0,1.64275410937238,1,2,1.2,0,2,0,1,0,0,0,0,0,0,"Amazon","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.244520322796329,0.0558034648668305,2,0,0,1,1
"ITEM20013CTFRISKIESPARTYMIXNATYUMCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",1.8,1,3,6,3,0,1,5.14087187569242,1.64887877114796,0,1.64887877114796,0,0,1.64887877114796,0,1,1,0,1,0,0,0,"Amazon","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.260842030936093,0.0732579212403776,2,3,0,0,1
