"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Description","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","category_trend","flag_qtr2","flag_qtr3","monthno","WB_Comp_RP_1","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","CB_Comp_TPR_3","Intercept","Market","flag_qtr4","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_TPR_4","WB_Comp_Interaction_RP_1","WB_Comp_Interaction_RP_2","WB_Comp_Interaction_TPR_1","WB_Comp_Interaction_TPR_2","CB_Comp_TPR_5","WB_Comp_Interaction_RP_3","WB_Comp_RP_4","CB_Comp_TPR_6","CB_Comp_RP_5","Model_flag"
"ITEM100001CLTIDYCATSBREEZEENHANCEDPELLETS_ROM","Litter","Amazon","CL TIDY CATS BREEZE ENHANCED PELLETS 03.5LB",0,4.0396207917573,-0.696057944585338,-1.38421273467405,0,0,0,0,0,0,NA,NA,0,NA,NA,6.60846706122879,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100002CLTIDYCATSBREEZEENHANCEDPELLETS_ROM","Litter","Amazon","CL TIDY CATS BREEZE ENHANCED PELLETS 07.0LB",-0.593764133101492,9.98517255809059,-2.40710359219953,-51.371625759808,0,0,0,0,0,0,NA,NA,0,NA,NA,9.10787561264164,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100003CLTIDYCATSBREEZEGLADEPADS_Retailer","Litter","Amazon","CL TIDY CATS BREEZE GLADE PADS 08CT",-1.78104217025305,1.42889115344108,-1.5039818866883,-0.376175893526968,0,0,0,0,0,0,NA,NA,0,NA,NA,12.3776456984011,"Retailer",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100003CLTIDYCATSBREEZEGLADEPADS_ROM","Litter","Amazon","CL TIDY CATS BREEZE GLADE PADS 08CT",-1.32553897109463,4.11804978132572,-0.587629586860142,-0.381080878528591,0,0,0,0,0,0,NA,NA,0,NA,NA,11.0901572221913,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100004CLTIDYCATSBREEZEPADS_Retailer","Litter","Amazon","CL TIDY CATS BREEZE PADS 04CT",-2.36084773573114,1.96536509144903,-0.309383144919052,-0.368034217094822,0,0,0,0,0,0,NA,NA,0,NA,NA,11.2791383161125,"Retailer",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100004CLTIDYCATSBREEZEPADS_ROM","Litter","Amazon","CL TIDY CATS BREEZE PADS 04CT",-1.36774492671034,2.23241599105398,-0.228808869748998,-0.490902585119479,0,0,0,0,0,0,NA,NA,0,NA,NA,9.25940874298699,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100005CLTIDYCATSBREEZEPADS_Retailer","Litter","Amazon","CL TIDY CATS BREEZE PADS 10CT",-1.17369728587063,3.20574723218063,-1.22106395288002,-0.763576255175361,0,0,0,0,0,0,NA,NA,0,NA,NA,10.7150763767133,"Retailer",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100005CLTIDYCATSBREEZEPADS_ROM","Litter","Amazon","CL TIDY CATS BREEZE PADS 10CT",-3.3242477791145,7.24759401426599,-1.37176856369225,-0.277375057188491,0,0,0,0,0,0,NA,NA,0,NA,NA,16.5985780881621,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100006CLTIDYCATSBREEZEPELLETS_ROM","Litter","Amazon","CL TIDY CATS BREEZE PELLETS 03.5LB",0,0.496299638723478,-0.00395085432887565,-0.805687400713754,1.82016508431962,0.42492109190425,0,0.0225899874613432,0,0,NA,NA,0,NA,NA,6.14272177447499,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100007CLTIDYCATSBREEZEPELLETS_ROM","Litter","Amazon","CL TIDY CATS BREEZE PELLETS 07.0LB",-2.99010592999936,7.83269995987592,-3.89790874364336,-2.04152864476005,0,0,0,0,0,0,NA,NA,0,NA,NA,17.2259248713091,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100008CLTIDYCATSBREEZESTARTERHOOD_Retailer","Litter","Amazon","CL TIDY CATS BREEZE STARTER HOOD",0,0,0,0,2.15976924436237,0,0,0,0,0,NA,NA,0,NA,NA,3.16333243497205,"Retailer",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100008CLTIDYCATSBREEZESTARTERHOOD_ROM","Litter","Amazon","CL TIDY CATS BREEZE STARTER HOOD",-0.864763178573873,3.88367786213929,-0.887608164976051,-1.64796919654085,0,0,0,0,0,0,NA,NA,0,NA,NA,8.7950732650917,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100009CLTIDYCATSBREEZESTARTERORIGINAL_Retailer","Litter","Amazon","CL TIDY CATS BREEZE STARTER ORIGINAL",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,6.13037065475078,"Retailer",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100009CLTIDYCATSBREEZESTARTERORIGINAL_ROM","Litter","Amazon","CL TIDY CATS BREEZE STARTER ORIGINAL",-0.820636565188275,0,0,0,0.3749082778618,0,0.083040590015904,-0.00198101595892237,0,0,NA,NA,0,NA,NA,8.56130267843596,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100010CLTIDYCATSBREEZESTARTERXL_Retailer","Litter","Amazon","CL TIDY CATS BREEZE STARTER XL",0,0,73.9394210186086,-72.4107787118903,0,0,0,0,0,0,NA,NA,0,NA,NA,6.02040118401969,"Retailer",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100010CLTIDYCATSBREEZESTARTERXL_ROM","Litter","Amazon","CL TIDY CATS BREEZE STARTER XL",-2.89015718660927,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,17.8408502371829,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100011CLTIDYCATSCLUMPLW_ROM","Litter","Amazon","CL TIDY CATS CLUMP LW 08.5LB",-2.19646531094956,0.232903137820725,-0.190955746145615,-0.459130372736539,1.0950915989951,0,0,0,0,0,NA,NA,0,NA,NA,13.4837466708723,"ROM",0.0720460343984067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100012CLTIDYCATSCLUMPLW_Retailer","Litter","Amazon","CL TIDY CATS CLUMP LW 17LB - BOX",0,2.31498961974671,-0.523958799148054,-0.205608446932594,0,0,0,0.00832480294057974,0,0,NA,NA,-0.893870968312274,NA,NA,9.35962011962779,"Retailer",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100012CLTIDYCATSCLUMPLW_ROM","Litter","Amazon","CL TIDY CATS CLUMP LW 17LB - BOX",0,0.440578394490163,-0.114580807149143,-0.661644134233953,0.371904140019956,0.0387889836783284,0,0.00280203811419399,0.256240616487844,0,NA,NA,0,NA,NA,7.83399886255775,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100014CLTIDYCATSCLUMPNONLW_ROM","Litter","Amazon","CL TIDY CATS CLUMP NON-LW 14LB",-0.17858912834102,0.569062188664844,-3.22404553173763,-3.08273755246336,0,0,0,0,0,0,NA,NA,0,NA,NA,8.59484721043653,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100015CLTIDYCATSCLUMPNONLW_Retailer","Litter","Amazon","CL TIDY CATS CLUMP NON-LW 20LB",-0.423470763416675,0,0,0,0.425659107929004,0,0,0.00154461095163816,0,0,NA,NA,0,NA,NA,8.99000207133087,"Retailer",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100015CLTIDYCATSCLUMPNONLW_ROM","Litter","Amazon","CL TIDY CATS CLUMP NON-LW 20LB",-2.88156400760669,0,-0.956552271983939,-0.825732822288734,0.925468012070979,0,0,0,0,0,NA,NA,0,NA,NA,15.5700436045039,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100016CLTIDYCATSCLUMPNONLW_ROM","Litter","Amazon","CL TIDY CATS CLUMP NON-LW 35LB",-0.346820637683347,2.42876464710063,-0.426724844638649,-2.13073823813679,2.30480258376327,0,0.0451414060011843,-0.00833947888286311,0,0,NA,NA,0,NA,NA,8.52185653290659,"ROM",0.16187010543624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100018CLTIDYCATSCLUMPNONLWBAGECOM_ROM","Litter","Amazon","CL TIDY CATS CLUMP NON-LW BAG ECOM 40LB",-3.99664259175652,2.72573667248206,-1.00051213620222,-0.902431960918008,0,0.445043166309046,0.147435695804565,0.0153170480425836,0,0,NA,NA,0,NA,NA,20.3047329550222,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100019CLTIDYCATSMAXCLUMPLW_Retailer","Litter","Amazon","CL TIDY CATS MAX CLUMP LW 17LB",0,2.22741207731085,-0.410163649169205,-1.63404090292468,4.16261931871828,0,0,0,0,0,NA,NA,0,NA,NA,1.01258479308081,"Retailer",0.00413903846960471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100019CLTIDYCATSMAXCLUMPLW_ROM","Litter","Amazon","CL TIDY CATS MAX CLUMP LW 17LB",-1.68207251357674,0.948008764850463,-0.18730185228459,-1.30053133239966,0,0,0,0,0,0,NA,NA,0,NA,NA,12.3125626228031,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100020CLTIDYCATSMAXCLUMPNONLWBAG_Retailer","Litter","Amazon","CL TIDY CATS MAX CLUMP NON-LW BAG 38LB",-0.568324101352381,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,9.83478212709412,"Retailer",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100020CLTIDYCATSMAXCLUMPNONLWBAG_ROM","Litter","Amazon","CL TIDY CATS MAX CLUMP NON-LW BAG 38LB",-3.3342316830066,0,0,0,0,0.159679765764678,0.166206601997949,0.00455320879843152,0,0,NA,NA,0,NA,NA,17.746485359933,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100021CLTIDYCATSNATSTRGNONCLUMP_Retailer","Litter","Amazon","CL TIDY CATS NAT STRG NON-CLUMP 40LB",-5.32381531394426,0,0,0,1.69427932317778,0,0,0.138137152432756,0,0,NA,NA,0,NA,NA,18.5456303396301,"Retailer",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100021CLTIDYCATSNATSTRGNONCLUMP_ROM","Litter","Amazon","CL TIDY CATS NAT STRG NON-CLUMP 40LB",0,0,0,0,0,0,0,0.0263702586223599,0,0,NA,NA,0,NA,NA,5.33560716017528,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100022CLTIDYCATSNONCLUMP_Retailer","Litter","Amazon","CL TIDY CATS NON-CLUMP 10LB",-1.02524219525202,1.46678575616367,-0.21902943299273,-0.184891009919505,0.995247545948852,0,0,0.0158949130778454,0,0,NA,NA,0,NA,NA,6.36054751453595,"Retailer",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100022CLTIDYCATSNONCLUMP_ROM","Litter","Amazon","CL TIDY CATS NON-CLUMP 10LB",-0.776167454976176,1.00572985985553,-0.138010709372384,-0.245634108240199,0.554100960100194,0,0,0.0157299999473578,0,0,NA,NA,0,NA,NA,8.00986049186453,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100023CLTIDYCATSNONCLUMP_Retailer","Litter","Amazon","CL TIDY CATS NON-CLUMP 20LB",-2.44198552176621,0,0,0,0.203785630996141,0,0.0572759514662045,0.0387938902820918,0,0,NA,NA,0,NA,NA,10.3235597389869,"Retailer",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100023CLTIDYCATSNONCLUMP_ROM","Litter","Amazon","CL TIDY CATS NON-CLUMP 20LB",-0.853821958005602,0.925944311108861,-0.082881216103232,-0.0808809414809676,0.41447498640639,0,0,0.019758143965612,0,0,NA,NA,0,NA,NA,9.34230106413951,"ROM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
