"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4"
702016081,"Retailer","DT WAGGIN TRAIN MT 11OZ","ITEM40086DTWAGGINTRAINMT","Dog Treats","PURINA WAGGIN' TRAIN DOG TREAT ADULT CHICKEN BAG 11 OUNCE","Amazon","WAGGIN' TRAIN",NA,0,1,1,1,1,1,1,1,1
702016085,"Retailer","DT WAGGIN TRAIN MT 15-20OZ","ITEM40087DTWAGGINTRAINMT","Dog Treats","PURINA WAGGIN' TRAIN DOG TREAT ADULT CHICKEN BAG 18 OUNCE","Amazon","WAGGIN' TRAIN",NA,0,1,1,1,1,1,1,1,1
702017090,"Retailer","DT WAGGIN TRAIN MT 03OZ","ITEM40085DTWAGGINTRAINMT","Dog Treats","PURINA WAGGIN' TRAIN DOG TREAT ADULT CHICKEN JERKY BAG 3 OUNCE","Amazon","WAGGIN' TRAIN",NA,0,1,1,1,1,1,1,1,1
702017118,"Retailer","DT WAGGIN TRAIN MT 30-36OZ","ITEM40088DTWAGGINTRAINMT","Dog Treats","PURINA WAGGIN' TRAIN DOG TREAT ADULT CHICKEN BAG 30 OUNCE","Amazon","WAGGIN' TRAIN",NA,0,1,1,1,1,1,1,1,1
1113200040,"Retailer","DD ALPO 04LB","ITEM80001DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","Amazon","ALPO",2.87938111581715,0,1,0.18,0,0,1,0,0,0
1113200392,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM40003DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","Amazon","ALPO",NA,0,0.994163753242359,0.952282474191853,0.849781369347429,0.778908315021815,0.786079585259913,0.794614752290635,0.642111947745623,0.706188363705997
1113210929,"ROM","DW ALPO 13.2OZ 12CT","ITEM140003DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Amazon","ALPO",NA,0,0.75,1,1,1,0,0,0,0
1113210929,"Retailer","DW ALPO 13.2OZ 12CT","ITEM140003DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Amazon","ALPO",0.764166666666667,0,0.859154929577465,0.961424332344214,0.2,0.25,0,0,0,0
1113211755,"Retailer","DW ALPO 13.0-13.2OZ","ITEM140001DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","Amazon","ALPO",0.764166666666667,0,0.0702247191011236,0.00286123032904149,0.0740740740740741,0,0,0,0,0
1113212516,"ROM","DW ALPO 13.0-13.2OZ","ITEM140001DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","Amazon","ALPO",NA,0,0.333333333333333,0,0,0,0,0,0,0
1113212531,"ROM","DW ALPO 13.0-13.2OZ","ITEM140001DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","Amazon","ALPO",NA,0,0,0,0,0,0,0,0,0
1113212531,"Retailer","DW ALPO 13.0-13.2OZ","ITEM140001DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","Amazon","ALPO",0.764166666666667,0,0.0112359550561798,0.00429184549356223,0.82962962962963,0,0,0,0,0
1113212534,"ROM","DW ALPO 13.0-13.2OZ","ITEM140001DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LONDON GRILL AND WHOLESOME VEG WET CAN 13.2 OUNCE","Amazon","ALPO",NA,0,0,0,0,0,0,0,0,0
1113212541,"ROM","DW ALPO 13.0-13.2OZ","ITEM140001DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT TURKEY AND BACON WET CAN 13.2 OUNCE","Amazon","ALPO",NA,0,0,0,0,0,0,0,0,0
1113212541,"Retailer","DW ALPO 13.0-13.2OZ","ITEM140001DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT TURKEY AND BACON WET CAN 13.2 OUNCE","Amazon","ALPO",0.76444799658994,0,0.103932584269663,0.949928469241774,0.0592592592592593,0,0,0,0,0
1113212544,"ROM","DW ALPO 13.0-13.2OZ","ITEM140001DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT CHICKEN AND WHOLESOME VEGGIE A WET CAN 13.2 OUNCE","Amazon","ALPO",NA,0,0,0,0,0,0,0,0,0
1113212552,"ROM","DW ALPO 13.0-13.2OZ","ITEM140001DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE","Amazon","ALPO",NA,0,0,0,0,0,0,0,0,0
1113212555,"Retailer","DW ALPO 13.2OZ 12CT","ITEM140003DWALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Amazon","ALPO",0.764166666666667,0,0.0915492957746479,0.0029673590504451,0.5,0.5,0,0,0,0
