"PPG_Item","Category","Market","Retailer","Brand","Display_Spend","Feature_Spend"
"DD DOG CHOW HI PROTEIN 48LB","Dry Dog","ROM","AssociateWhlseGrocersCorp","Dog Chow Line",0,0
"CW KIT KABOODLE 05.35OZ","Wet Cat","ROM","AssociateWhlseGrocersCorp","Kit & Kaboodle",0,0
"CT WHISKER LICKINS AO","Cat Treats","Retailer","AssociateWhlseGrocersCorp","Whisker Lickins",0,0
"CT WHISKER LICKINS AO","Cat Treats","ROM","AssociateWhlseGrocersCorp","Whisker Lickins",0,0
"CT WHISKER LICKINS CR 01.7OZ","Cat Treats","Retailer","AssociateWhlseGrocersCorp","Whisker Lickins",0,0
"CT WHISKER LICKINS CR 01.7OZ","Cat Treats","ROM","AssociateWhlseGrocersCorp","Whisker Lickins",0,0
"CT WHISKER LICKINS CR 10OZ","Cat Treats","Retailer","AssociateWhlseGrocersCorp","Whisker Lickins",0,0
"CT WHISKER LICKINS CR 10OZ","Cat Treats","ROM","AssociateWhlseGrocersCorp","Whisker Lickins",0,0
"CT WHISKER LICKINS CR 04OZ","Cat Treats","Retailer","AssociateWhlseGrocersCorp","Whisker Lickins",0,0
"CT WHISKER LICKINS CR 04OZ","Cat Treats","ROM","AssociateWhlseGrocersCorp","Whisker Lickins",0,0
"CL TIDY CATS CLUMP NON-LW BOX 23LB - BOX","Litter","ROM","AssociateWhlseGrocersCorp","Tidy Cats",0,0
"CL TIDY CATS CLUMP NON-LW 14LB","Litter","Retailer","AssociateWhlseGrocersCorp","Tidy Cats",0,0
"CL TIDY CATS CLUMP NON-LW 14LB","Litter","ROM","AssociateWhlseGrocersCorp","Tidy Cats",0,0
"CL TIDY CATS CLUMP NON-LW 20LB","Litter","Retailer","AssociateWhlseGrocersCorp","Tidy Cats",0,0
"CL TIDY CATS CLUMP NON-LW 20LB","Litter","ROM","AssociateWhlseGrocersCorp","Tidy Cats",0,0
"CW BEYOND 03OZ 6CT","Wet Cat","ROM","AssociateWhlseGrocersCorp","Beyond",0,0
"DC BEYOND GR FR 05LB","Dry Cat","ROM","AssociateWhlseGrocersCorp","Beyond",0,0
"DD ALPO 17.6LB","Dry Dog","ROM","AssociateWhlseGrocersCorp","Alpo",0,0
"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Retailer","AssociateWhlseGrocersCorp","Alpo",0,0
"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","ROM","AssociateWhlseGrocersCorp","Alpo",0,0
"DW BENEFUL 10OZ","Wet Dog","Retailer","AssociateWhlseGrocersCorp","Beneful",0,0
"DW BENEFUL 10OZ","Wet Dog","ROM","AssociateWhlseGrocersCorp","Beneful",0,0
"CL TIDY CATS NON-CLUMP 40LB","Litter","Retailer","AssociateWhlseGrocersCorp","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 40LB","Litter","ROM","AssociateWhlseGrocersCorp","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 10LB","Litter","Retailer","AssociateWhlseGrocersCorp","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 10LB","Litter","ROM","AssociateWhlseGrocersCorp","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 20LB","Litter","Retailer","AssociateWhlseGrocersCorp","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 20LB","Litter","ROM","AssociateWhlseGrocersCorp","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 25LB","Litter","ROM","AssociateWhlseGrocersCorp","Tidy Cats",0,0
"DC KIT KABOODLE 22LB","Dry Cat","Retailer","AssociateWhlseGrocersCorp","Kit & Kaboodle",0,0
"DC KIT KABOODLE 22LB","Dry Cat","ROM","AssociateWhlseGrocersCorp","Kit & Kaboodle",0,0
"CL TIDY CATS NON-CLUMP 30LB","Litter","ROM","AssociateWhlseGrocersCorp","Tidy Cats",0,0
