"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"1","ITEM105CTWHISKERLICKINSCR_Retailer","2022-08-27","Cross","CT WHISKER LICKINS CR 10OZ",2,"CT WHISKER LICKINS CR 10OZ","Cat Treats","AssociateWhlseGrocersCorp",18.3918480021303,18.3918480021303
"2","ITEM105CTWHISKERLICKINSCR_Retailer","2022-09-24","Cross","CT WHISKER LICKINS CR 10OZ",2,"CT WHISKER LICKINS CR 10OZ","Cat Treats","AssociateWhlseGrocersCorp",15.9381045954341,8.66249014093518
"3","ITEM105CTWHISKERLICKINSCR_Retailer","2022-12-03","Cross","CT WHISKER LICKINS CR 10OZ",2,"CT WHISKER LICKINS CR 10OZ","Cat Treats","AssociateWhlseGrocersCorp",0,16.5780166281249
"4","ITEM47CTFRISKIESPARTYMIXCR_Retailer","2021-01-23","Within","Pantry Loading",1,"CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","AssociateWhlseGrocersCorp",0,125.090375742527
"5","ITEM47CTFRISKIESPARTYMIXCR_Retailer","2021-01-30","Within","Pantry Loading",1,"CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","AssociateWhlseGrocersCorp",0,36.3152515503271
"6","ITEM47CTFRISKIESPARTYMIXCR_Retailer","2021-02-06","Within","Pantry Loading",1,"CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","AssociateWhlseGrocersCorp",11.467157356485,11.467157356485
"7","ITEM47CTFRISKIESPARTYMIXCR_Retailer","2021-05-22","Within","Pantry Loading",1,"CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","AssociateWhlseGrocersCorp",2.84594013604504,0
"8","ITEM47CTFRISKIESPARTYMIXCR_Retailer","2021-06-26","Within","Pantry Loading",1,"CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","AssociateWhlseGrocersCorp",1.82602065642583,1.82602065642583
"9","ITEM47CTFRISKIESPARTYMIXCR_Retailer","2021-07-31","Within","Pantry Loading",1,"CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","AssociateWhlseGrocersCorp",3.06992171893539,0
"10","ITEM47CTFRISKIESPARTYMIXCR_Retailer","2021-08-07","Within","Pantry Loading",1,"CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","AssociateWhlseGrocersCorp",2.38796400542774,0
"11","ITEM47CTFRISKIESPARTYMIXCR_Retailer","2021-09-18","Within","Pantry Loading",1,"CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","AssociateWhlseGrocersCorp",1.57455437372183,0
"12","ITEM47CTFRISKIESPARTYMIXCR_Retailer","2021-12-18","Within","Pantry Loading",1,"CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","AssociateWhlseGrocersCorp",2.65160422635393,0
"13","ITEM47CTFRISKIESPARTYMIXCR_Retailer","2022-01-01","Within","Pantry Loading",1,"CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","AssociateWhlseGrocersCorp",2.52455779339998,0
