"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM103CTWHISKERLICKINSAO_Retailer","NPP","Cat Treats","CT WHISKER LICKINS AO",2.8,2,4,47,3,0,0,28.8968015360655,1.31923076923077,0,0,0,0,0,0,0,0,0,1,0.8,0,1,0,0.871,1,1,1,1,1,0,0,"AssociateWhlseGrocersCorp","Retailer","CT WHISKER LICKINS AO",NA,NA,0,5,0,0,0
"ITEM103CTWHISKERLICKINSAO_ROM","NPP","Cat Treats","CT WHISKER LICKINS AO",3.6,3,4,11,4,0,2,7.89924536504959,3.06944086091698,0.389,11.125,0,14.976,0,2.403,0,0.612,0,3.06944086091698,0,0,3.06944086091698,0,17.871,1,1,1,1,0,1,0,"AssociateWhlseGrocersCorp","ROM","CT WHISKER LICKINS AO",0.955855379387344,0.0580142531500176,2,4,0,0,0
"ITEM104CTWHISKERLICKINSCR_Retailer","NPP","Cat Treats","CT WHISKER LICKINS CR 01.7OZ",1.2,1,2,7,2,0,0,5.72411860452966,1.05533622957441,0,10.49,0,1.822,0,0,0,0,0,1,0.7,0,1,0,9.217,1,1,1,1,1,0,0,"AssociateWhlseGrocersCorp","Retailer","CT WHISKER LICKINS CR 01.7OZ",0.898352026117083,0.232135680478284,2,5,0,0,0
"ITEM104CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 01.7OZ",1.4,1,2,6,2,0,0,5.3625658195276,1.07021168145279,0,11.966,0,10.8,0,1.14,0,0.51,0,1.07021168145279,0,0,1.07021168145279,0,16.538,1,1,1,1,0,1,0,"AssociateWhlseGrocersCorp","ROM","CT WHISKER LICKINS CR 01.7OZ",0.938123823025422,0.0744502073416592,2,1,0,0,0
"ITEM105CTWHISKERLICKINSCR_Retailer","NPP","Cat Treats","CT WHISKER LICKINS CR 10OZ",4.7,4,6,7,6,0,3,6.02897196990789,4.12971445714318,0,18.806,0,0,0,0,0,0,2,4,2.9,0,4,0,11.173,1,1,1,1,0,0,0,"AssociateWhlseGrocersCorp","Retailer","CT WHISKER LICKINS CR 10OZ",0.695376479510642,0.318229418108017,2,3,0,0,0
"ITEM105CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 10OZ",4.8,4,6,0,6,0,3,0,4.29662499713698,0,9.608,0,7.11,0,4.384,0,0,0,4.29662499713698,0,0,4.29662499713698,0,32.439,0,0,1,0,0,1,0,"AssociateWhlseGrocersCorp","ROM","CT WHISKER LICKINS CR 10OZ",0.952647869968929,0.131021577331669,2,0,1,1,0
"ITEM106CTWHISKERLICKINSCR_Retailer","NPP","Cat Treats","CT WHISKER LICKINS CR 04OZ",3.2,2,4,30,4,0,2,22.6913316905715,2.81008307423395,0,0.993,0,0,0,0,0,0,1,2,1.7,0,2,0,0.994,1,1,1,1,1,0,0,"AssociateWhlseGrocersCorp","Retailer","CT WHISKER LICKINS CR 04OZ",NA,NA,0,4,0,0,0
"ITEM106CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 04OZ",2.6,2,3,21,3,0,1,16.2843259402755,2.11299071979566,0,22.842,0,2.599,0,1.882,0,0,0,2.11299071979566,0,0,2.11299071979566,0,33.848,1,1,1,1,1,1,0,"AssociateWhlseGrocersCorp","ROM","CT WHISKER LICKINS CR 04OZ",0.93598611926014,0.151685658618111,2,7,0,0,0
"ITEM25CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 19OZ",13,11,15,90,15,0,6,23.957705082949,10.7469727056423,0,2.764,0,4.289,0,0.69,0,0.568,0,10.7469727056423,0,0,10.7469727056423,0,0.079,1,1,0,1,1,0,1,"AssociateWhlseGrocersCorp","ROM","CT DENTALIFE DNT 19OZ",NA,NA,1,26,0,0,1
"ITEM26CTDENTALIFEDNT_Retailer","NPP","Cat Treats","CT DENTALIFE DNT 01.8OZ",2.6,2,3,29,3,0,1,19.1920495607758,2.36929387707563,0,0.869,0,0,0,0,0,0,1,2,1.3,0,2,0,8.173,1,1,1,1,0,0,0,"AssociateWhlseGrocersCorp","Retailer","CT DENTALIFE DNT 01.8OZ",NA,NA,0,10,0,0,0
"ITEM26CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 01.8OZ",2,1,3,28,3,0,1,10.6769420752782,1.81096573083005,0,8.047,0,6.421,0,1.821,0,1.111,0,1.81096573083005,0,0,1.81096573083005,0,7.34,1,1,0,1,0,1,1,"AssociateWhlseGrocersCorp","ROM","CT DENTALIFE DNT 01.8OZ",NA,NA,1,49,0,0,1
"ITEM29CTFANCYFEASTDUOSCR_Retailer","NPP","Cat Treats","CT FANCY FEAST DUOS CR 02.1OZ",2.1,1,3,54,3,0,1,33.7778376167571,1.84385477989578,0,14.535,0,0,0,0.285,0,0,1,2,1.1,0,2,0,0.285,1,1,1,1,1,0,0,"AssociateWhlseGrocersCorp","Retailer","CT FANCY FEAST DUOS CR 02.1OZ",NA,NA,0,30,0,0,0
"ITEM29CTFANCYFEASTDUOSCR_ROM","NPP","Cat Treats","CT FANCY FEAST DUOS CR 02.1OZ",2.1,1,3,80,3,0,0,33.86403841585,1.80744018843699,0,9.642,0,0.328,0,0.014,0,0,0,1.80744018843699,0,0,1.80744018843699,0,0,1,1,1,1,0,1,0,"AssociateWhlseGrocersCorp","ROM","CT FANCY FEAST DUOS CR 02.1OZ",NA,NA,1,48,0,0,0
"ITEM30CTFANCYFEASTDUOSCR_Retailer","NPP","Cat Treats","CT FANCY FEAST DUOS CR 06OZ",4,3,5,39,5,0,2,22.9054661501759,3.73609375,0,0,0,0,0,0,0,0,1,3,2.2,0,3,0,0.558,1,1,1,1,0,0,0,"AssociateWhlseGrocersCorp","Retailer","CT FANCY FEAST DUOS CR 06OZ",NA,NA,0,3,0,0,0
"ITEM31CTFANCYFEASTSAVORYCRAVINGS_Retailer","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 01OZ",1.8,1,3,11,3,0,1,6.74367957972729,1.7160675543508,0,5.965,0,0,0,0,0,0,1,2,1.2,0,2,0,23.245,1,1,1,1,1,0,0,"AssociateWhlseGrocersCorp","Retailer","CT FANCY FEAST SAVORY CRAVINGS 01OZ",NA,NA,0,6,0,0,0
"ITEM31CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 01OZ",2,1,3,17,3,0,1,9.78893382959222,1.95588746632224,0.281,18.02,0,32.011,0,13.512,0,1.3,0,1.95588746632224,0,0,1.95588746632224,0,39.3805,1,1,1,1,1,0,0,"AssociateWhlseGrocersCorp","ROM","CT FANCY FEAST SAVORY CRAVINGS 01OZ",0.908144709417058,0.13976639443045,2,10,0,0,0
"ITEM32CTFANCYFEASTSAVORYCRAVINGS_Retailer","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ",4.3,3,5,53,5,0,1,26.8822521932479,3.51475951927001,0,5.289,0,0,0,0,0,0,2,4,3,0,4,0,9.946,1,1,1,1,0,0,0,"AssociateWhlseGrocersCorp","Retailer","CT FANCY FEAST SAVORY CRAVINGS 3OZ",0.899620242258241,0.472829105757426,1,27,0,0,0
"ITEM32CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ",5.2,4,6,50,6,0,2,19.7392661537275,4.64407451655884,0,10.966,0,7.996,0,3.608,0,2.356,0,4.64407451655884,0,0,4.64407451655884,0,4.195,0,1,1,1,1,1,1,"AssociateWhlseGrocersCorp","ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",NA,NA,1,28,1,0,0
"ITEM42CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,1,3,0,3,0,1,0,1.79173684540258,2.666,32.526,0,48.342,0,13.972,0,6.96,1,2,1.3,0,2,0,83.801,1,1,1,1,1,0,0,"AssociateWhlseGrocersCorp","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.751400809483419,0.027463719140311,2,0,0,0,0
"ITEM42CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",1.9,1,3,6,3,0,1,5.13090111861457,1.70311853144546,3.276,20.139,0,16.636,0,8.653,0,2.762,0,1.70311853144546,0,0,1.70311853144546,0,66.116,1,1,1,1,1,1,1,"AssociateWhlseGrocersCorp","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.774071878697922,0.0405840190514479,2,2,0,0,0
"ITEM43CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.9,3,5,0,5,0,2,0,3.55001996347367,0,35.376,0,1.676,0,0,0,0,2,3,2.3,0,3,0,73.957,1,1,1,1,0,0,0,"AssociateWhlseGrocersCorp","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.196916497817845,0.0808579915574487,2,0,0,0,0
"ITEM43CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.7,3,5,0,4,0,2,0,3.25590517016581,2.049,19.57,0,16.655,0,11.127,0,2.6,0,3.25590517016581,0,0,3.25590517016581,0,51.469,1,0,1,0,1,1,1,"AssociateWhlseGrocersCorp","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.820018217057058,0.0466406183388731,2,0,0,1,0
"ITEM47CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",15.8,14,18,42,18,0,8,22.6698024359211,12.4282888065865,0,16.893,0,0,0,0,0,0,7,10,8.4,0,10,0,0,1,1,1,1,0,0,0,"AssociateWhlseGrocersCorp","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",NA,NA,1,42,0,0,0
"ITEM47CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",14.2,12,16,0,16,0,10,0,12.6685322887725,0.406,9.485,0,8.685,0,3.055,0,0.569,0,12.6685322887725,0,0,12.6685322887725,0,42.173,1,0,1,0,1,1,0,"AssociateWhlseGrocersCorp","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.574494107725542,0.0593617750120018,2,0,0,1,0
