"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Description","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_TPR_1","CB_Comp_TPR_2","Intercept","Market","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_RP_8","WB_Comp_RP_9","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","WB_Comp_Interaction_RP_1","CB_Comp_RP_4","CB_Comp_RP_5","Model_flag"
"ITEM100DDDOGCHOWHIPROTEIN_ROM","Dry Dog","AssociateWhlseGrocersCorp","DD DOG CHOW HI PROTEIN 48LB",-2.5,7.28293669704969,0,0,10,10,10,10,0,0,0,0,0.236237313271874,0,0,0,0,0,0,0,0,0,0,0,9.2645565949554,"ROM",0,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,1
"ITEM101CWKITKABOODLE_ROM","Wet Cat","AssociateWhlseGrocersCorp","CW KIT KABOODLE 05.35OZ",0,1.4954603502561,-0.746937086374627,-1.19908139413095,0,6.379034679789,10,0,0,0,0,0,-0.382370204913043,0,0,NA,NA,0,0,0,0,NA,0,0,12.7856781235133,"ROM",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,1
"ITEM103CTWHISKERLICKINSAO_Retailer","Cat Treats","AssociateWhlseGrocersCorp","CT WHISKER LICKINS AO",-0.383356761375602,0.1,0,0,0.1,0,0,0,0,0,0,0,0.000987089182904579,0,0,0,0,0,0,0,0,0,0,0,1.29313297494283,"Retailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ITEM103CTWHISKERLICKINSAO_ROM","Cat Treats","AssociateWhlseGrocersCorp","CT WHISKER LICKINS AO",-1.99863976734369,0.969519448490585,0,0,3.40172489453906,0,8.71328380945167,0,0.389683392886111,0.0383956741387562,0.108847460035544,0.163518402069204,0,0,0,0,0,-0.527972398888955,0,0,0,0,0,0,9.30334445727989,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM104CTWHISKERLICKINSCR_Retailer","Cat Treats","AssociateWhlseGrocersCorp","CT WHISKER LICKINS CR 01.7OZ",-0.434194292040743,0.198769570887236,0,0,4.05184687721292,1.42940777774837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13262440693463,"Retailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM104CTWHISKERLICKINSCR_ROM","Cat Treats","AssociateWhlseGrocersCorp","CT WHISKER LICKINS CR 01.7OZ",-1.9741438637965,1.35735255860252,-0.308098996755483,0,5.65724748172777,0,9.12542065982389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53443941119666,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM105CTWHISKERLICKINSCR_Retailer","Cat Treats","AssociateWhlseGrocersCorp","CT WHISKER LICKINS CR 10OZ",-1.30956272971791,1.53211899299388,0,0,3.17015609902145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60341838035401,"Retailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM105CTWHISKERLICKINSCR_ROM","Cat Treats","AssociateWhlseGrocersCorp","CT WHISKER LICKINS CR 10OZ",0,0,0,0,5.73752045800248,0,4.43271493160455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0181465495104514,0,6.49119122077395,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM106CTWHISKERLICKINSCR_Retailer","Cat Treats","AssociateWhlseGrocersCorp","CT WHISKER LICKINS CR 04OZ",-0.383356761375602,0.1,0,0,1.69296407122796,0,0,0,0,0,0,0,-0.00179293131786668,0,0,0,0,0,0,0,0,0,0,0,2.89216582123564,"Retailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ITEM106CTWHISKERLICKINSCR_ROM","Cat Treats","AssociateWhlseGrocersCorp","CT WHISKER LICKINS CR 04OZ",-1.12478430041467,7.13366167804538,0,0,5.55490906628893,1.78528720206409,9.12257920804361,0,1.0172365151843,0.105605847267186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55298949811419,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM107CLTIDYCATSCLUMPNONLWBOX_ROM","Litter","AssociateWhlseGrocersCorp","CL TIDY CATS CLUMP NON-LW BOX 23LB - BOX",-0.502732760099834,2.37595555231585,-0.0377379271048222,-0.220315014500377,0,0,0,8.21210996762401,0.174488752846443,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,11.4638220301619,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM108CLTIDYCATSCLUMPNONLW_Retailer","Litter","AssociateWhlseGrocersCorp","CL TIDY CATS CLUMP NON-LW 14LB",-1.00002362422486,3.38153654394317,0,0,0.541844139843924,0,1.63732557268711,0,0,-0.022356967175185,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,10.280249108965,"Retailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM108CLTIDYCATSCLUMPNONLW_ROM","Litter","AssociateWhlseGrocersCorp","CL TIDY CATS CLUMP NON-LW 14LB",-1.37602198750545,0.128418455363407,-1.00342333298738,-0.792602027159242,0,0,1.93448995830419,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,13.2903327860507,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
