"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4"
1113200040,"ROM","DD ALPO 04LB","ITEM7DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","AssociateWhlseGrocersCorp","ALPO",NA,0,0.845588741657973,0.781876551334545,0.743208863520256,0.726869136093521,0.76072290942258,0.798227538783467,0.555452831551289,0.717741506725504
1113200040,"Retailer","DD ALPO 04LB","ITEM7DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","AssociateWhlseGrocersCorp","ALPO",2.93472175237786,0,0.862354047479234,0.85260604901455,0.855029444876108,0.844767894330372,0.839007969224171,0.638410600951081,0.418962162468434,0.446752506682225
1113200392,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM8DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","AssociateWhlseGrocersCorp","ALPO",NA,0,0.575846773614155,0.54401723158252,0.518488194030176,0.512995024351842,0.536528308404272,0.50561228238907,0.490803837652517,0.505961088244929
1113200392,"Retailer","DT ALPO VARIETY SNAPS CR 32OZ","ITEM8DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","AssociateWhlseGrocersCorp","ALPO",2.07255536254623,0,0.94287834092688,0.933662155522149,0.924668409374027,0.927894679538562,0.948634409191302,0.935030345633594,0.935195071780757,0.975376509901881
1113200681,"ROM","DT ALPO VARIETY SNAPS CR 16OZ","ITEM10DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","AssociateWhlseGrocersCorp","ALPO",NA,0,1,1,1,1,1,1,1,1
1113200681,"Retailer","DT ALPO VARIETY SNAPS CR 16OZ","ITEM10DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","AssociateWhlseGrocersCorp","ALPO",1.58494322447447,0,1,1,1,1,1,1,1,1
1113203137,"ROM","DD ALPO 17.6LB","ITEM10DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD SAVORY BEEF DRY BAG 17.6 POUND","AssociateWhlseGrocersCorp","ALPO",NA,0,1,1,1,1,1,1,1,1
1113210840,"ROM","DW ALPO 13.0-13.2OZ","ITEM2DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","AssociateWhlseGrocersCorp","ALPO",NA,0,0.000593679963914414,0.0000919864204930428,0.0000300501523207262,0.0000152981637226634,0.0000054928628372747,0.00000401434229936368,0.0000151751800976147,0.0000488035885669102
1113210840,"Retailer","DW ALPO 13.0-13.2OZ","ITEM2DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","AssociateWhlseGrocersCorp","ALPO",0.7625,0,0.0000945384068684873,0.0000302863686221068,0.00000742797013792589,0,0,0,0,0
1113210860,"ROM","DW ALPO 13.0-13.2OZ","ITEM2DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROASTED CHICKEN AND TOP SIRLOI WET CAN 13.2 OUNCE","AssociateWhlseGrocersCorp","ALPO",NA,0,0.0000202660657271774,0,0,0,0,0,0,0
