"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","WB_Comp_TPR_9","CB_Comp_RP_2","CB_Comp_TPR_3","CB_Comp_TPR_4"
"ITEM17CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,3.77453192898183,3.75836959598184,0,0.000645,0.00177,0,0.380642857142857,1.26642825152505,0,0,35,35319.6867142857,35217.8632579241,2,NA,NA,NA,NA,NA,0,NA,101.82345636165,131856.003577393,374.961779749919,374.961779749919,NA,NA,0,0,0,NA,135991.067268587,36317.4585541157,NA,0,NA,NA,NA,NA,NA,NA,36317.4585541157,135991.067268587,1079.27214834882,3.74542874965159,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM17CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,3.75557867572195,3.74377637027498,0,0,0.000968461538461538,0,0.362325384615385,1.15819094348597,0,0,31.9230769230769,33777.8743076923,32913.552471138,2,NA,NA,NA,NA,NA,0,NA,864.321836554354,123153.435342514,3234.03650364017,3234.03650364017,NA,NA,0,0,0,NA,123153.435342514,32913.552471138,NA,0,NA,NA,NA,NA,0,0,32913.552471138,123153.435342514,472.021262388974,3.74171282976062,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM17CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","BJs",NA,NA,NA,NA,3.5104149563822,3.47688606192196,0,0.00781615384615385,0.00208615384615385,0.0000438461538461538,0.382808076923077,1.11332175607937,0,0,28.9230769230769,36995.3843076923,36032.5077708148,2,NA,NA,NA,NA,NA,0.0231457004190115,NA,962.876536877484,125151.291216325,3319.97147598223,3319.97147598223,NA,NA,0,0,0,NA,127422.325283252,36692.0346746547,NA,0,NA,NA,NA,NA,NA,NA,36692.0346746547,127422.325283252,1320.15681724985,3.47542912121619,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM17CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","BJs",NA,NA,NA,NA,3.27037736150073,3.23936130501735,0,0.0126375,0.00337833333333333,0.000893333333333333,0.38812375,1.06056601988526,0,0,26,40753.778,40283.2447757563,2,NA,NA,NA,NA,NA,0,NA,470.533224243659,129062.555102909,1603.42989709131,1603.42989709131,NA,NA,0,0,0,NA,132373.814860101,41365.1053563655,NA,0,NA,NA,NA,NA,NA,NA,41365.1053563655,132373.814860101,2532.69082030706,3.20975252715658,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM25CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,9.72369821008008,9.68222067295607,0,0.00201928571428571,0.00271714285714286,0.000507142857142857,0.408577142857143,1.26642825152505,0,0,35,17953.6664285714,17720.0683617188,2,NA,NA,NA,NA,NA,NA,NA,233.5980668526,171367.130480449,2257.24101955146,2257.24101955146,NA,NA,0,0,0,NA,174080.061253376,17999.5783528701,NA,0,NA,NA,NA,NA,NA,NA,17999.5783528701,174080.061253376,963.816722640778,9.67109265917654,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM25CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,9.59460349073748,9.53545615589174,0,0,0.00464,0,0.403575384615385,1.15819094348597,0,0,31.9230769230769,17674.8041538462,17582.5719522181,2,NA,NA,NA,NA,NA,NA,NA,92.2322016280772,167600.307112114,876.713734039974,876.713734039974,NA,NA,0,0,0,NA,168724.929672905,17700.2023720303,NA,0,NA,NA,NA,NA,NA,NA,17700.2023720303,168724.929672905,1098.11987738981,9.53229644363233,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM25CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","BJs",NA,NA,NA,NA,8.9607201204823,8.90772495610997,0,0.000534615384615385,0.0131738461538462,0,0.413746923076923,1.11332175607937,0,0,28.9230769230769,19461.6251538462,19199.5202838774,2,NA,NA,NA,NA,NA,NA,NA,262.104869968776,170861.814159995,2323.95776308223,2323.95776308223,NA,NA,0,0,0,NA,172045.339043074,19333.5446203273,NA,0,NA,NA,NA,NA,NA,NA,19333.5446203273,172045.339043074,1137.29026569934,8.9032904903093,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM25CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"ROM","BJs",NA,NA,NA,NA,8.44739254685114,8.43700845410649,0,0.00585666666666667,0.00771916666666667,0.000374166666666667,0.412265833333333,1.06056601988526,0,0,26,19091.5399166667,18830.2470484722,2,NA,NA,NA,NA,NA,NA,NA,261.292868194483,158750.385530312,2199.24130302177,2199.24130302177,NA,NA,0,0,0,NA,159881.507435356,18965.7978840119,NA,0,NA,NA,NA,NA,NA,NA,18965.7978840119,159881.507435356,202.766286667515,8.43700845410649,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM44CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,13.9664900501958,13.9432997575179,0,0,0.000545714285714286,0,0.217494642857143,1.26642825152505,0,0,35,4550.1525,4367.36916850164,2,NA,NA,NA,NA,NA,NA,NA,182.783331498356,60888.9436247012,2548.34916101311,2548.34916101311,NA,NA,0,0,0,NA,60922.0771509186,4369.74769149597,NA,0,NA,NA,NA,NA,NA,NA,4369.74769149597,60922.0771509186,117.470032939667,13.9406995651486,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM44CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,13.8812626733138,13.8533211181167,0,0,0.00177923076923077,0,0.216421538461538,1.15819094348597,0,0,31.9230769230769,4138.28653846154,3910.9831170122,2,NA,NA,NA,NA,NA,NA,NA,227.303421449338,54100.7868557739,3144.03929807232,3144.03929807232,NA,NA,0,0,0,NA,54649.6970374875,3950.75099114275,NA,0,NA,NA,NA,NA,NA,NA,3950.75099114275,54649.6970374875,206.10535229888,13.833128571273,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
