"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","WB_Comp_TPR_9","CB_Comp_RP_2","CB_Comp_TPR_3","CB_Comp_TPR_4"
"ITEM17CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,3.75821254886008,3.75821254886008,0,0,0,0,0.383995,1.26642825152505,0,0,35,36179.1879279582,36179.1879279582,2,NA,NA,NA,NA,NA,0,NA,0,135969.07807842,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.75821254886008,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM17CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,3.75821254886008,3.75821254886008,0,0,0,0,0.383995,1.15819094348597,0,0,31.9230769230769,33032.4433258174,33032.4433258174,2,NA,NA,NA,NA,NA,0,NA,0,124142.943026596,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.75821254886008,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM17CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","BJs",NA,NA,NA,NA,3.75821254886008,3.75821254886008,0,0,0,0,0.383995,1.11332175607937,0,0,28.9230769230769,32819.7518048477,32819.7518048477,2,NA,NA,NA,NA,NA,0.0231457004190115,NA,0,123343.603083452,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.75821254886008,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM17CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","BJs",NA,NA,NA,NA,3.75821254886008,3.75821254886008,0,0,0,0,0.383995,1.06056601988526,0,0,26,32892.9515756727,32892.9515756727,2,NA,NA,NA,NA,NA,0,NA,0,123618.70338074,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.75821254886008,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM25CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,9.71065397983207,9.71065397983207,0,0,0,0,0.413445,1.26642825152505,0,0,35,19418.0987821472,19418.0987821472,2,NA,NA,NA,NA,NA,NA,NA,0,188562.43821963,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.71065397983207,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM25CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,9.71065397983207,9.71065397983207,0,0,0,0,0.413445,1.15819094348597,0,0,31.9230769230769,18643.9270486094,18643.9270486094,2,NA,NA,NA,NA,NA,NA,NA,0,181044.724394277,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.71065397983207,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM25CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","BJs",NA,NA,NA,NA,9.71065397983207,9.71065397983207,0,0,0,0,0.413445,1.11332175607937,0,0,28.9230769230769,17869.2334739442,17869.2334739442,2,NA,NA,NA,NA,NA,NA,NA,0,173521.943150305,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.71065397983207,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM25CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"ROM","BJs",NA,NA,NA,NA,9.71065397983207,9.71065397983207,0,0,0,0,0.413445,1.06056601988526,0,0,26,16542.593403404,16542.593403404,2,NA,NA,NA,NA,NA,NA,NA,0,160639.400469509,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.71065397983207,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM44CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,13.9455066499913,13.9455066499913,0,0,0,0,0.219525,1.26642825152505,0,0,35,4654.03600070439,4654.03600070439,2,NA,NA,NA,NA,NA,NA,NA,0,64902.889997122,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,13.9455066499913,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM44CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,13.9455066499913,13.9455066499913,0,0,0,0,0.219525,1.15819094348597,0,0,31.9230769230769,4207.53801358679,4207.53801358679,2,NA,NA,NA,NA,NA,NA,NA,0,58676.2493485658,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,13.9455066499913,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
