"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"1","ITEM57CTFRISKIESPARTYMIXCR_Retailer","2022-05-07","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","BJs",69.658654833248,69.658654833248
"2","ITEM57CTFRISKIESPARTYMIXCR_Retailer","2022-05-07","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","BJs",3074.48387102417,3074.48387102417
"3","ITEM57CTFRISKIESPARTYMIXCR_Retailer","2022-05-14","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","BJs",74.8636825197647,74.8636825197647
"4","ITEM57CTFRISKIESPARTYMIXCR_Retailer","2022-05-14","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","BJs",3264.98466202208,3264.98466202208
"5","ITEM57CTFRISKIESPARTYMIXCR_Retailer","2022-05-21","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","BJs",69.5494900258299,69.5494900258299
"6","ITEM57CTFRISKIESPARTYMIXCR_Retailer","2022-05-21","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","BJs",2321.55235659625,2321.55235659625
"7","ITEM57CTFRISKIESPARTYMIXCR_Retailer","2022-05-28","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","BJs",59.8422480628613,59.8422480628613
"8","ITEM57CTFRISKIESPARTYMIXCR_Retailer","2022-05-28","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","BJs",1726.40994174549,1726.40994174549
"9","ITEM579BUSYROLLHIDECW_Retailer","2021-01-16","Cross","DT BEGGIN MT 06OZ",2,"DT BUSY ROLLHIDE CW 20OZ","Dog Treats","BJs",313.164317857436,313.164317857436
"10","ITEM579BUSYROLLHIDECW_Retailer","2021-01-16","Within","Pantry Loading",2,"DT BUSY ROLLHIDE CW 20OZ","Dog Treats","BJs",1018.36475313891,1018.36475313891
"11","ITEM579BUSYROLLHIDECW_Retailer","2021-01-23","Cross","DT BEGGIN MT 06OZ",2,"DT BUSY ROLLHIDE CW 20OZ","Dog Treats","BJs",438.9282296339,438.9282296339
"12","ITEM579BUSYROLLHIDECW_Retailer","2021-01-23","Within","Pantry Loading",2,"DT BUSY ROLLHIDE CW 20OZ","Dog Treats","BJs",1391.84928389572,1391.84928389572
"13","ITEM579BUSYROLLHIDECW_Retailer","2021-03-06","Cross","DT BEGGIN MT 06OZ",2,"DT BUSY ROLLHIDE CW 20OZ","Dog Treats","BJs",280.216554822879,280.216554822879
