"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Item","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","Intercept","Market","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","WB_Comp_TPR_9","CB_Comp_RP_2","CB_Comp_TPR_3","CB_Comp_TPR_4","Model_flag"
"ITEM1001DDPURINAONETRUINSTHIPRO_ROM","Dry Dog","BJs","DD PURINA ONE TRU INST HI-PRO 27.5LB",0,0,0,0,0,0,0,0,0.210090984222582,0,0,0,0.0144189838493093,0,0,0,0,0,0,0,5.42363903365403,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,1
"ITEM1003DDPURINAONETRUINSTHIPRO_ROM","Dry Dog","BJs","DD PURINA ONE TRU INST HI-PRO 15LB",-0.276289746757316,0,0,0,0,0,10.6657428768896,0,1.45792416002433,0,0,-0.0909740903221656,0.0103729513869311,0,0,0,0,0,0,0,7.00610162243388,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,2
"ITEM100CWFANCYFEASTSAVRYCNTR_ROM","Wet Cat","BJs","CW FANCY FEAST SAVRY CNTR 03OZ",-0.683119486706682,0.309281419756303,0,0,10,10,10,0,0,0,0,0,-0.0620156578867241,0,0,NA,0,NA,0,NA,7.61276514571539,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1
"ITEM100TIDYCATSCLUMPLW_Retailer","Litter","BJs","CL TIDY CATS CLUMP LW 19.5LB",-2.05124764018832,3.45770427867264,0,0,1.92773170901058,0.0679909792049045,0.11957314067966,0.754282981624869,1.15230580700198,-0.0518340377084889,0,0,0,NA,NA,NA,NA,0,-0.326809919303975,NA,10.9079682730784,"Retailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM100TIDYCATSCLUMPLW_ROM","Litter","BJs","CL TIDY CATS CLUMP LW 19.5LB",-0.426251664034846,3.31286858588211,0,-0.780656313769233,0,0,10,0,0,0,0,0,0,NA,NA,NA,NA,0.548449722781227,0,NA,7.4935894087669,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1013DTPIONEERWOMANMT_ROM","Dog Treats","BJs","DT PIONEER WOMAN MT 16OZ",0,0.763964715038455,-1.11033650396828,-1.54281783580556,0,10,10,0,0,0,0,0,-0.0715082291774836,0,0,0,0,0,0,0,5.09866255079752,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
"ITEM1014DTPIONEERWOMANMT_ROM","Dog Treats","BJs","DT PIONEER WOMAN MT 30OZ",-2.44310147230598,0.307649559282831,-0.315315634541595,-1.20840291123763,0,0,10,0,0,0,0,0,0.0245842566429882,0,0,0,0,0,0,0,8.91076366106594,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
"ITEM1015DTPIONEERWOMANMT_ROM","Dog Treats","BJs","DT PIONEER WOMAN MT 05OZ",-2.5,2.7443764998619,0,-0.604944020016966,1.91172020496547,8.68767013379477,10,0.331445397895865,0,0,0,0,-0.134967251205359,0,0,0,0,0,0,0,12.6440971351285,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
"ITEM1017DTPRIMEBONESCW_ROM","Dog Treats","BJs","DT PRIME BONES CW 09.7-11.5OZ",-1.98486209360217,1.85694627025069,-0.545503849461465,-0.699635532214705,0,0,10,10,1.31259639678711,0,0,0,-0.0488737301380312,0,0,0,0,0,0,0,11.8865731853438,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
"ITEM1018DTPRIMEBONESCW_ROM","Dog Treats","BJs","DT PRIME BONES CW 21-22.8OZ",0,0,-1.78143672676521,-1.98740344330438,0,0,10,10,0.736349218694355,0,0,0,0,0,0,0,0,0,0,0,5.40926341430898,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
"ITEM1019DTPRIMEBONESCW_ROM","Dog Treats","BJs","DT PRIME BONES CW 02.4OZ",0,3.19437777815823,-0.376157098427497,-1.21894063366703,0,0,10,0,0.857797701092084,0,0,0,-0.0307367489186964,0,0,0,0,0,0,0,6.22524737908126,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
"ITEM101BENEFUL_Retailer","Wet Dog","BJs","DW BENEFUL 10OZ 12CT",-0.128805012236386,2.6940689027651,0,0,1.54250180181193,0,1.11714316830382,0,0.621593579396915,0.0728654697448685,-0.0132673415664874,-0.0244962450946162,-0.00704749526276153,0,NA,NA,0,0,NA,NA,6.05632429633644,"Retailer",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM101BENEFUL_ROM","Wet Dog","BJs","DW BENEFUL 10OZ 12CT",0,1.18693094030329,-0.536934172202733,0,3.88349319159284,0,9.66778800037649,10.0877581173532,0.14478423280227,0,0,0,0,0,NA,NA,0,0,NA,NA,7.16792827461195,"ROM",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM1024DDPURINAONEMLTRGTD_Retailer","Dry Dog","BJs","DD PURINA ONE ML TRGTD 16.5LB",-0.444320284864105,0.1,0,0,10,0.152107631424686,0.232850844523963,0,0.40268378748383,-0.0184360393288979,-0.110012095650357,-0.102905815186417,-0.162477764629782,0,0,0,0,0,0,0,4.03769953847979,"Retailer",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0
"ITEM1024DDPURINAONEMLTRGTD_ROM","Dry Dog","BJs","DD PURINA ONE ML TRGTD 16.5LB",-0.306818133074878,0,0,0,1.78462923100427,0.270346685085505,12.0878821589442,12.5938866084604,0.75378537536816,0,-0.00785683012910582,-0.0102556680873113,0.00467402845598809,0,0,0,0,0,0,0,9.1553479668133,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,2
"ITEM1027DDPURINAONEMLTRGTD_ROM","Dry Dog","BJs","DD PURINA ONE ML TRGTD 07.4-8LB",-0.197648587184398,0,0,0,0,0.701147246745299,7.07132743641652,9.44143832738695,1.22874632856887,0,0.103288777422709,0,0.00544751789305023,0,0,0,0,0,0,0,8.49003600344864,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,2
"ITEM1030DDPURINAONEMLTRGTD_Retailer","Dry Dog","BJs","DD PURINA ONE ML TRGTD 31.1LB",-1.14546691236011,1.8422724929816,0,0,1.50043531833207,0.123029846425564,0.183082581737395,0.110488094188673,0.685338778188413,-0.0292218560996586,-0.0417083877929807,-0.0370697971537754,0,0,0,0,0,0,0,0,9.56891578077155,"Retailer",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,2
"ITEM1030DDPURINAONEMLTRGTD_ROM","Dry Dog","BJs","DD PURINA ONE ML TRGTD 31.1LB",-0.725098382966549,0,0,-0.340611808842537,0,0,0,10,1.01101034225669,0,0,0,0.00690116387922582,0,0,0,0,0,0,0,8.43921086814325,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,1
"ITEM1034DTPUPPYCHOWMT_ROM","Dog Treats","BJs","DT PUPPY CHOW MT 24OZ",-2.5,1.31102441407218,0,-3.92154832623463,10,0,10,0,0,0,0,0,0,0.919479403595525,0,0,0,0,0,0,8.88823519353914,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
"ITEM1035DTPUPPYCHOWMT_ROM","Dog Treats","BJs","DT PUPPY CHOW MT 07OZ",0,0.665320046443353,0,0,0,0,10,0,0.0778041655258143,0,0,0,0,0,0,0,0,0,0,0,7.38648833152606,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
"ITEM1036DDDOGCHOWHIPROTEIN_ROM","Dry Dog","BJs","DD DOG CHOW HI PROTEIN 03.5LB",0,0,-0.562762881477783,-0.891084772799511,0,10,10,10,-6.02508446493517,0,0,0,0,0,0,0,0,0,0,0,11.6598319760639,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,1
"ITEM1037DTPURINAONETRUEINSTMT_ROM","Dog Treats","BJs","DT PURINA ONE TRUE INST MT 07OZ",0,0.576870605204354,-0.697720707649739,-1.92263373274031,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12952758000631,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
"ITEM1038DDDOGCHOWHIPROTEIN_ROM","Dry Dog","BJs","DD DOG CHOW HI PROTEIN 20LB",-0.0239686378544215,0,-1.42741391847042,-1.87308566158126,0,10,10,0,1.76701449971634,0,0,0,-0.0354268644921006,0,0,0,0,0,0,0,4.61585319046828,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,1
"ITEM1038DTPURINAONETRUEINSTMT_ROM","Dog Treats","BJs","DT PURINA ONE TRUE INST MT 20OZ",-2.5,5.51063214508909,0,0,0,0,10,0,0,0,0,0,-0.189817125372878,1,0,0,0,0,0,0,8.28833910647539,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
"ITEM103CWBEYOND_ROM","Wet Cat","BJs","CW BEYOND 03OZ 6CT",-2.5,0,0,0,0,10,0,0,-0.481490274329075,0,0,0,0,0,0,NA,-3.04449215027956,NA,0,NA,11.7229362473506,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1049DDPURINAONEMLPUPPY_ROM","Dry Dog","BJs","DD PURINA ONE ML PUPPY 03LB",0,0,-3.76500691618473,-2.42874044616095,0,10,10,10,-1.56630295950483,0,0,0,0.0926440397894593,0,0,0,0,0,0,0,6.66435665306291,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,1
"ITEM104CWFRISKIES_ROM","Wet Cat","BJs","CW FRISKIES 03OZ 12CT",-2.5,5.80724837498621,0,-5.174641827514,8.46452176979963,0,10,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,11.5757233381435,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1052DDBEYONDORGANIC_ROM","Dry Dog","BJs","DD BEYOND ORGANIC 06LB",0,2.26923979330171,0,-0.778179517495625,0,10,10,10,-1.77043645369906,0,0,0,0,0,0,0,0,0,0,0,5.40024442308025,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,1
"ITEM1053DDMERRICKBACKCOUNTRY_ROM","Dry Dog","BJs","DD MERRICK BACKCOUNTRY 20LB",-1.58940050137127,5.33540362701872,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96007261092819,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,1
"ITEM1060DDDOGCHOWHIPROTEIN_ROM","Dry Dog","BJs","DD DOG CHOW HI PROTEIN 13LB",0,0,0,0,0,10,10,0,0,0,0,0,0.0483825545821823,0,0,0,0,0,0,0,6.21691407729749,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,1
"ITEM1063CLTIDYCATSCLUMPNONLWBOX_ROM","Litter","BJs","CL TIDY CATS CLUMP NON-LW BOX 23LB - BOX",-0.306063364740773,1.26261354799821,0,0,0,10,0,10,0.422204698981789,0,0,0,0,NA,NA,NA,NA,0,0,NA,9.07977803822546,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1064CLTIDYCATSCLUMPNONLW_ROM","Litter","BJs","CL TIDY CATS CLUMP NON-LW 14LB",-2.45075897515241,0.759853142495398,-0.294629414403837,-0.323499981890429,0,0.413272960916395,6.7556848679494,0,0.388021382962398,0,0,0,0.0127631756065097,NA,NA,NA,NA,0,0,NA,14.762430208201,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM1065CLTIDYCATSCLUMPNONLW_ROM","Litter","BJs","CL TIDY CATS CLUMP NON-LW 20LB",-1.17462983362841,2.49253555497279,0,0,0,0.500718797330281,2.85394727866555,0,0.63283414364947,0,0,0,0,NA,NA,NA,NA,0,0,NA,13.4538376714436,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM1065DDPROPLANDEVPUPPY_ROM","Dry Dog","BJs","DD PRO PLAN DEV PUPPY 04-6LB",-1.11424552268404,0,0,-0.162761036116118,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60124737753276,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,1
"ITEM1066CLTIDYCATSNONCLUMP_ROM","Litter","BJs","CL TIDY CATS NON-CLUMP 40LB",-0.410070218623595,0,0,0,0,4.20842600265848,2.1964521381528,10,0.441155237726978,0,0,0,-0.00508592318071391,NA,NA,NA,NA,0,0,NA,8.13202789136714,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1067CLTIDYCATSNONCLUMP_ROM","Litter","BJs","CL TIDY CATS NON-CLUMP 10LB",-1.25348311633281,0.940772969797855,-0.458343040757538,0,0,0.61533793134093,0,0,1.28011851337169,0.040845170146824,0.0499165129729897,0.0256505506177448,-0.00253710541836747,NA,NA,NA,NA,0,0,NA,10.2074099046798,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
