"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM1001DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 27.5LB","NPP","ROM","BJs",1,"Purina One"
"ITEM1003DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 15LB","NPP","ROM","BJs",2,"Purina One"
"ITEM100CWFANCYFEASTSAVRYCNTR","Wet Cat","CW FANCY FEAST SAVRY CNTR 03OZ","NPP","ROM","BJs",1,"Fancy Feast"
"ITEM100TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 19.5LB","NPP","Retailer","BJs",2,"Tidy Cats"
"ITEM100TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 19.5LB","NPP","ROM","BJs",1,"Tidy Cats"
"ITEM1013DTPIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 16OZ","NPP","ROM","BJs",1,"Pioneer Woman"
"ITEM1014DTPIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 30OZ","NPP","ROM","BJs",1,"Pioneer Woman"
"ITEM1015DTPIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 05OZ","NPP","ROM","BJs",1,"Pioneer Woman"
"ITEM1017DTPRIMEBONESCW","Dog Treats","DT PRIME BONES CW 09.7-11.5OZ","NPP","ROM","BJs",1,"Prime"
"ITEM1018DTPRIMEBONESCW","Dog Treats","DT PRIME BONES CW 21-22.8OZ","NPP","ROM","BJs",1,"Prime"
"ITEM1019DTPRIMEBONESCW","Dog Treats","DT PRIME BONES CW 02.4OZ","NPP","ROM","BJs",1,"Prime"
"ITEM101BENEFUL","Wet Dog","DW BENEFUL 10OZ 12CT","NPP","Retailer","BJs",2,"Beneful"
"ITEM101BENEFUL","Wet Dog","DW BENEFUL 10OZ 12CT","NPP","ROM","BJs",2,"Beneful"
"ITEM1024DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 16.5LB","NPP","Retailer","BJs",0,"Purina One"
"ITEM1024DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 16.5LB","NPP","ROM","BJs",2,"Purina One"
"ITEM1027DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 07.4-8LB","NPP","ROM","BJs",2,"Purina One"
"ITEM1030DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 31.1LB","NPP","Retailer","BJs",2,"Purina One"
"ITEM1030DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 31.1LB","NPP","ROM","BJs",1,"Purina One"
"ITEM1034DTPUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 24OZ","NPP","ROM","BJs",1,"Dog Chow Line"
"ITEM1035DTPUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 07OZ","NPP","ROM","BJs",1,"Dog Chow Line"
"ITEM1036DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 03.5LB","NPP","ROM","BJs",1,"Dog Chow Line"
"ITEM1037DTPURINAONETRUEINSTMT","Dog Treats","DT PURINA ONE TRUE INST MT 07OZ","NPP","ROM","BJs",1,"Purina One"
"ITEM1038DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 20LB","NPP","ROM","BJs",1,"Dog Chow Line"
"ITEM1038DTPURINAONETRUEINSTMT","Dog Treats","DT PURINA ONE TRUE INST MT 20OZ","NPP","ROM","BJs",1,"Purina One"
"ITEM103CWBEYOND","Wet Cat","CW BEYOND 03OZ 6CT","NPP","ROM","BJs",1,"Beyond"
"ITEM1049DDPURINAONEMLPUPPY","Dry Dog","DD PURINA ONE ML PUPPY 03LB","NPP","ROM","BJs",1,"Purina One"
"ITEM104CWFRISKIES","Wet Cat","CW FRISKIES 03OZ 12CT","NPP","ROM","BJs",1,"Friskies"
"ITEM1052DDBEYONDORGANIC","Dry Dog","DD BEYOND ORGANIC 06LB","NPP","ROM","BJs",1,"Beyond"
"ITEM1053DDMERRICKBACKCOUNTRY","Dry Dog","DD MERRICK BACKCOUNTRY 20LB","NPP","ROM","BJs",1,"Merrick"
"ITEM1060DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 13LB","NPP","ROM","BJs",1,"Dog Chow Line"
