"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM17CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.8,3,5,7,5,0,2,5.33233264381826,3.3463079042129,0.883,13.425,0,12.913,0,2.103,0,2.196,0,3.3463079042129,0,0,3.3463079042129,0,38.749,1,1,1,1,1,0,1,"BJs","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.722964504289791,0.0405234674146253,2,2,0,0,0
"ITEM25CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",9.8,8,11,0,11,0,6,0,8.59017424575701,0.492,6.167,0,7.506,0,2.479,0,1.272,0,8.59017424575701,0,0,8.59017424575701,0,41.416,1,0,0,0,1,1,1,"BJs","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.760070955292899,0.0245391448020321,2,0,0,1,1
"ITEM44CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",14,12,16,0,16,0,10,0,12.5531428368712,0,1.415,0,1.568,0,0.762,0,0.221,0,12.5531428368712,0,0,12.5531428368712,0,21.899,1,0,1,0,1,0,1,"BJs","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.70749667736617,0.0510006573317371,2,0,0,1,0
"ITEM57CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX CR 20OZ 2CT",15.8,14,18,10,18,0,12,7.52235263617874,14.5980165904871,0,42.933,0,55.51,0,16.2,0,48.804,10,15,11.8,0,2,0.9,70.954,1,1,1,1,1,1,1,"BJs","Retailer","CT FRISKIES PARTY MIX CR 20OZ 2CT",0.767788106894595,0.0595273796556031,2,4,0,0,0
"ITEM57CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX CR 20OZ 2CT",18.5,16,21,17,21,0,13,8.3789589189156,16.7308624556576,0,0.724,0,0.662,0,0.381,0,0.246,0,16.7308624556576,0,0,16.7308624556576,0,0.777,1,1,0,1,1,1,1,"BJs","ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT",0.467039055342449,0.180631153131539,1,6,0,0,1
"ITEM6CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,1,3,0,3,0,1,0,1.73826844294688,0.965,9.68,0,12.735,0,1.795,0,1.324,0,1.73826844294688,0,0,1.73826844294688,0,41.7675,1,0,1,0,1,1,1,"BJs","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.538100065516671,0.0378144373883339,2,0,0,1,0
"ITEM7009CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ",5.2,4,6,47,6,0,2,20.324514485798,4.56577411465799,0.04,4.74,0,4.665,0,0.642,0,0.418,0,4.56577411465799,0,0,4.56577411465799,0,1.985,0,1,0,1,1,1,1,"BJs","ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",0.363903792475907,0.563864796519205,1,32,1,0,1
"ITEM7029CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 04OZ",1.7,1,2,100,2,0,0,32.1185303683664,1.56536871032455,0,1.038,0,3.664,0,0.008,0,0,0,1.56536871032455,0,0,1.56536871032455,0,0,0,0,0,0,0,0,0,"BJs","ROM","CT KIT KABOODLE CR 04OZ",0.852771931147487,1.39552021438082,1,44,1,1,1
"ITEM7030CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 09OZ",3.8,3,5,25,5,0,-1,11.0814524141152,2.34116144359804,0,0.172,0,0.302,0,0.022,0,0,0,2.34116144359804,0,0,2.34116144359804,0,0.313,0,1,0,1,1,0,0,"BJs","ROM","CT KIT KABOODLE CR 09OZ",0.709532426188927,0.763013679232607,1,4,1,0,1
"ITEM7031CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 02.4OZ",1,0,2,0,2,0,0,0,0.983094176339136,0,0.121,0,0,0,0.049,0,0,0,0.983094176339136,0,0,0.983094176339136,0,0.316,0,0,0,0,0,1,0,"BJs","ROM","CT KIT KABOODLE CR 02.4OZ",0.729093594582559,0.722177948283074,1,0,1,1,1
"ITEM7054CTWHISKERLICKINSAO_ROM","NPP","Cat Treats","CT WHISKER LICKINS AO",3.6,3,4,14,4,0,2,8.04252760516574,3.03201632166338,0.071,5.084,0,6.148,0,1.149,0,0,0,3.03201632166338,0,0,3.03201632166338,0,11.1795,1,1,1,1,1,1,0,"BJs","ROM","CT WHISKER LICKINS AO",0.71837702084066,0.176852622385375,1,3,0,0,0
"ITEM725CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 19OZ",13,11,15,69,15,0,6,21.0723032987148,10.8157135435923,0,0.349,0,0.391,0,0,0,0,0,10.8157135435923,0,0,10.8157135435923,0,0,1,1,0,1,1,0,0,"BJs","ROM","CT DENTALIFE DNT 19OZ",0.773664656258395,0.637918018652415,1,32,0,0,1
"ITEM739CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 01.7OZ",1.2,1,2,0,2,0,0,0,1.05171232400143,0,1.466,0,2.066,0,0.243,0,0.06,0,1.05171232400143,0,0,1.05171232400143,0,2.757,0,0,0,0,1,1,1,"BJs","ROM","CT WHISKER LICKINS CR 01.7OZ",0.763649965560292,0.163337147356579,1,0,1,1,1
"ITEM754CTFANCYFEASTPUREFLAKED_ROM","NPP","Cat Treats","CT FANCY FEAST PURE FLAKED 01.06OZ",3.8,3,5,0,5,0,3,0,3.66434282918007,0.112,6.141,0,7.071,0,0.169,0,0,0,3.66434282918007,0,0,3.66434282918007,0,16.327,0,0,1,0,0,1,0,"BJs","ROM","CT FANCY FEAST PURE FLAKED 01.06OZ",0.831546915243702,0.100794331494991,1,0,1,1,0
"ITEM75CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 04OZ",2.5,2,3,13,3,0,1,7.04808243048684,2.20923470969062,0,3.451,0,2.806,0,0.606,0,0,0,2.20923470969062,0,0,2.20923470969062,0,16.542,1,1,1,1,0,0,0,"BJs","ROM","CT WHISKER LICKINS CR 04OZ",0.924324566487492,0.0751880159825599,2,12,0,0,0
"ITEM774CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 01OZ",2.1,1,3,26,3,0,1,10.86129487505,1.97853185262846,0.02,6.673,0,14.595,0,1.735,0,0,0,1.97853185262846,0,0,1.97853185262846,0,24.239,1,1,1,1,1,0,0,"BJs","ROM","CT FANCY FEAST SAVORY CRAVINGS 01OZ",0.924795311440302,0.0869383603865552,2,18,0,0,0
"ITEM77CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 01.8OZ",2.4,2,3,22,3,0,1,11.5010925298888,2.07560626400153,0.017,3.805,0,3.329,0,0.355,0,0.257,0,2.07560626400153,0,0,2.07560626400153,0,4.562,1,1,0,1,1,0,0,"BJs","ROM","CT DENTALIFE DNT 01.8OZ",0.330742717349653,0.266302973694204,1,27,0,0,1
