"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q1","2022Q1","2022Q2","2021Q2","2022Q3","2021Q3","2022Q4","2021Q4"
1113200040,"ROM","DD ALPO 04LB","ITEM840DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","BJs","ALPO",NA,0,0.918266300280531,0.897894708339042,0.909812073086465,0.903880644206702,0.700177848077149,0.888356402405942,0.866459476521148,0.88744953272509
1113200392,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM786DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","BJs","ALPO",NA,0,0.56760210970504,0.560691616153832,0.528460871745723,0.539816628079607,0.549157769564621,0.529752379967672,0.535444030080441,0.528778015247563
1113200681,"ROM","DT ALPO VARIETY SNAPS CR 16OZ","ITEM788DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","BJs","ALPO",NA,0,1,1,1,1,1,1,1,1
1113203137,"ROM","DD ALPO 17.6LB","ITEM1181DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD SAVORY BEEF DRY BAG 17.6 POUND","BJs","ALPO",NA,0,1,1,1,1,1,1,1,1
1113210840,"ROM","DW ALPO 13.0-13.2OZ","ITEM285DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","BJs","ALPO",NA,0,0.000470297123028827,0.00000250362560037693,0.0000639249861906335,0.0000843947313917115,0.0000145653878348395,0.0000781917518345925,0.0025099741232975,0.0000159487584478838
1113210860,"ROM","DW ALPO 13.0-13.2OZ","ITEM285DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROASTED CHICKEN AND TOP SIRLOI WET CAN 13.2 OUNCE","BJs","ALPO",NA,0,0.00000805203331827516,0,0,0.00000102920404136234,0,0.00000101459446760082,0,0
1113210929,"ROM","DW ALPO 13.2OZ 12CT","ITEM284DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","BJs","ALPO",NA,0,0,0,0,0,0,0,0,0
1113211755,"ROM","DW ALPO 13.0-13.2OZ","ITEM285DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","BJs","ALPO",NA,0,0.0000380740395454641,0,0,0.0000111709806649468,0,0,0,0
1113212516,"ROM","DW ALPO 13.0-13.2OZ","ITEM285DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","BJs","ALPO",NA,0,0.000334159382708419,0.00000917996053471541,0,0.0000473433859026674,0,0.00000608756680560493,0,0.00000469081130820111
1113212531,"ROM","DW ALPO 13.0-13.2OZ","ITEM285DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","BJs","ALPO",NA,0,0.00147683349594649,0.00000417270933396155,0.00000268063010821627,0.000336646466705372,0.0000145653878348395,0.00029103439384236,0,0.000118039575759573
