"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_2","CB_Comp_TPR_3","WB_Comp_RP_4","WB_Comp_RP_5","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_TPR_6"
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"Retailer","Big Y",NA,NA,NA,1,9.99412197279115,9.99,0,0,0,0,0.243935714285714,1.28135932280009,0,0.0091399323645005,35.7142857142857,28.5714285714286,28.0098299901489,0,NA,NA,NA,NA,NA,NA,0.561598581279674,279.103915887302,5.61036982698395,5.61036982698395,NA,NA,0,0,0,NA,302.529035000766,30.355596859145,163.251998024072,0,160.043124857223,163.251998024072,3.20887316684867,3.20887316684867,NA,NA,30.3639695861467,302.529035000766,0.753426294564193,9.97883928571429,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"Retailer","Big Y",NA,NA,NA,1,9.99412197279115,9.99,0,0,0,0,0.243935714285714,1.28135932280009,0,0.0091399323645005,35.7142857142857,28.5714285714286,28.0098299901489,0,NA,NA,NA,NA,NA,NA,0.561598581279674,279.103915887302,5.61036982698395,5.61036982698395,NA,NA,0,0,0,NA,302.529035000766,30.355596859145,163.251998024072,0,160.043124857223,163.251998024072,3.20887316684867,3.20887316684867,NA,NA,30.3639695861467,302.529035000766,0.753426294564193,9.97883928571429,"2022-12-31",NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"Retailer","Big Y",NA,NA,NA,1,9.99412197279115,9.99,0,0,0,0,0.243935714285714,1.28135932280009,0,0.0091399323645005,35.7142857142857,28.5714285714286,28.0098299901489,0,NA,NA,NA,NA,NA,NA,0.561598581279674,279.103915887302,5.61036982698395,5.61036982698395,NA,NA,0,0,0,NA,302.529035000766,30.355596859145,163.251998024072,0,160.043124857223,163.251998024072,3.20887316684867,3.20887316684867,NA,NA,30.3639695861467,302.529035000766,0.753426294564193,9.97883928571429,"2022-12-31",NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"Retailer","Big Y",NA,NA,NA,1,9.99412197279115,9.99,0,0,0,0,0.243935714285714,1.28135932280009,0,0.0091399323645005,35.7142857142857,28.5714285714286,28.0098299901489,0,NA,NA,NA,NA,NA,NA,0.561598581279674,279.103915887302,5.61036982698395,5.61036982698395,NA,NA,0,0,0,NA,302.529035000766,30.355596859145,163.251998024072,0,160.043124857223,163.251998024072,3.20887316684867,3.20887316684867,NA,NA,30.3639695861467,302.529035000766,0.753426294564193,9.97883928571429,"2022-12-31",NA,NA,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,9.54007866819279,9.50730776943557,0,0,0.00746428571428571,0,0.461269285714286,1.23888819201506,0,0,35,1476.67764285714,1459.4294592263,2,NA,NA,0,NA,NA,NA,17.24818363084,13829.874163687,160.017264884382,160.017264884382,NA,NA,0,0,0,NA,14306.4828622503,1509.01281584088,NA,0,NA,NA,NA,NA,NA,NA,1509.01281584088,14306.4828622503,90.7973191452046,9.48209355391387,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,9.27259448949158,9.22529691410188,0,0,0,0,0.467183076923077,1.12095324689895,0,0,31.9230769230769,1521.89153846154,1501.24180207223,2,NA,NA,0,NA,NA,NA,20.6497363893108,13764.4794350788,189.649718767379,189.649718767379,NA,NA,0,0,0,NA,13972.9176526808,1523.98957134211,NA,0,NA,NA,NA,NA,NA,NA,1523.98957134211,13972.9176526808,157.538147230465,9.16982015250667,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,8.67374099780706,8.6371489554463,0,0,0.00865153846153846,0,0.483665,1.05818203712714,0,0,28.9230769230769,1656.60738461538,1560.56283851549,2,NA,NA,0,NA,NA,NA,96.0445460998962,13469.0575794043,827.027035980342,827.027035980342,NA,NA,0,0,0,NA,13480.7633598779,1561.92454244645,NA,0,NA,NA,NA,NA,NA,NA,1561.92454244645,13480.7633598779,69.176909449847,8.63283124003449,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,8.22452608666373,8.21409697951228,0,0.00623416666666667,0.00475083333333333,0,0.485199583333333,1.06563567932183,0,0,26,1637.47483333333,1617.50838424812,2,NA,NA,0,NA,NA,NA,19.9664490852092,13267.8488805578,161.170036108841,161.170036108841,NA,NA,0,0,0,NA,13405.8819017894,1634.16944602865,NA,0,NA,NA,NA,NA,NA,NA,1634.16944602865,13405.8819017894,24.3185189501708,8.20993145014636,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,1.99007556662266,1.989997439042,0,0,0,0,0.0188092857142857,1.23888819201506,0,0,35,37.8445714285714,37.8445714285714,1,NA,NA,NA,NA,NA,NA,0,75.3104285714287,0,0,NA,NA,0,0,0,NA,76.0460040180686,38.2142083351521,NA,0,NA,NA,NA,NA,NA,NA,38.2142083351521,76.0460040180686,0.00312296608650885,1.98999291967842,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,1.99012723975497,1.99000983135667,0,0,0,0,0.0186792307692308,1.12095324689895,0,0,31.9230769230769,34.4586923076923,34.4586923076923,1,NA,NA,NA,NA,NA,NA,0,68.5729230769231,0,0,NA,NA,0,0,0,NA,76.0464466701534,38.2142083351521,NA,0,NA,NA,NA,NA,NA,NA,38.2142083351521,76.0464466701534,0.00428009043719803,1.99000450312091,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
