"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within_non_normalised","Cross_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_2","CB_Comp_TPR_3","WB_Comp_RP_4","WB_Comp_RP_5","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_TPR_6"
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"Retailer","Big Y",NA,NA,NA,1,9.99,9.99,0,0,0,0,0.0332,1.28135932280009,0,0.0091399323645005,35.7142857142857,1.9551222705939,1.9551222705939,0,NA,NA,NA,NA,NA,NA,0,19.5099035060393,0,163.251998024072,0,10.4452715747561,163.251998024072,152.114208712224,152.114208712224,0,0,0,NA,NA,0.0217679771937739,9.97883928571429,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"Retailer","Big Y",NA,NA,NA,1,9.99,9.99,0,0,0,0,0.0332,1.28135932280009,0,0.0091399323645005,35.7142857142857,1.9551222705939,1.9551222705939,0,NA,NA,NA,NA,NA,NA,0,19.5099035060393,0,163.251998024072,0,10.4452715747561,163.251998024072,152.114208712224,152.114208712224,0,0,0,NA,NA,0.0217679771937739,9.97883928571429,"2022-12-31",NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"Retailer","Big Y",NA,NA,NA,1,9.99,9.99,0,0,0,0,0.0332,1.28135932280009,0,0.0091399323645005,35.7142857142857,1.9551222705939,1.9551222705939,0,NA,NA,NA,NA,NA,NA,0,19.5099035060393,0,163.251998024072,0,10.4452715747561,163.251998024072,152.114208712224,152.114208712224,0,0,0,NA,NA,0.0217679771937739,9.97883928571429,"2022-12-31",NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"Retailer","Big Y",NA,NA,NA,1,9.99,9.99,0,0,0,0,0.0332,1.28135932280009,0,0.0091399323645005,35.7142857142857,1.9551222705939,1.9551222705939,0,NA,NA,NA,NA,NA,NA,0,19.5099035060393,0,163.251998024072,0,10.4452715747561,163.251998024072,152.114208712224,152.114208712224,0,0,0,NA,NA,0.0217679771937739,9.97883928571429,"2022-12-31",NA,NA,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,9.65207251210722,9.65207251210722,0,0,0,0,0.468035,1.23888819201506,0,0,35,1484.72897233849,1484.72897233849,2,NA,NA,0,NA,NA,NA,0,14330.7117018375,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.65207251210722,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,9.65207251210722,9.65207251210722,0,0,0,0,0.468035,1.12095324689895,0,0,31.9230769230769,1460.0260513738,1460.0260513738,2,NA,NA,0,NA,NA,NA,0,14092.2773174255,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.65207251210722,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,9.65207251210722,9.65207251210722,0,0,0,0,0.468035,1.05818203712714,0,0,28.9230769230769,1386.09160102372,1386.09160102372,2,NA,NA,0,NA,NA,NA,0,13378.6566415038,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.65207251210722,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,9.65207251210722,9.65207251210722,0,0,0,0,0.468035,1.06563567932183,0,0,26,1390.1067317514,1390.1067317514,2,NA,NA,0,NA,NA,NA,0,13417.4109744329,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.65207251210722,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,1.98999893605703,1.98999893605703,0,0,0,0,0.01891,1.23888819201506,0,0,35,38.2142083351521,38.2142083351521,1,NA,NA,NA,NA,NA,NA,0,76.0462339292144,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.98999893605703,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,1.98999893605703,1.98999893605703,0,0,0,0,0.01891,1.12095324689895,0,0,31.9230769230769,38.2142083351521,38.2142083351521,1,NA,NA,NA,NA,NA,NA,0,76.0462339292144,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.98999893605703,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
