"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"1","ITEM37BEGGINMT_Retailer","2021-04-03","Cross","DT BEGGIN MT 06OZ",2,"DT BEGGIN MT 06OZ","Dog Treats","Big Y",0.483726852486044,0
"2","ITEM37BEGGINMT_Retailer","2021-04-03","Within","Pantry Loading",2,"DT BEGGIN MT 06OZ","Dog Treats","Big Y",4.0049813071722,0
"3","ITEM561PRIMEBONESCW_Retailer","2021-03-20","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",9.53346108847698,9.53346108847698
"4","ITEM561PRIMEBONESCW_Retailer","2021-03-27","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",16.6390978817183,16.6390978817183
"5","ITEM561PRIMEBONESCW_Retailer","2021-04-03","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",36.4604186501036,36.4604186501036
"6","ITEM561PRIMEBONESCW_Retailer","2021-04-10","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",25.3234089540178,25.3234089540178
"7","ITEM561PRIMEBONESCW_Retailer","2021-04-17","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",24.2062918926048,24.2062918926048
"8","ITEM561PRIMEBONESCW_Retailer","2021-04-24","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",4.90106995349475,20.2916883634591
"9","ITEM561PRIMEBONESCW_Retailer","2021-05-01","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",36.5773947586898,36.5773947586898
"10","ITEM561PRIMEBONESCW_Retailer","2021-05-08","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",29.936749965706,29.936749965706
"11","ITEM561PRIMEBONESCW_Retailer","2021-05-15","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",21.6899230567092,21.6899230567092
"12","ITEM561PRIMEBONESCW_Retailer","2021-05-22","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",18.7913633900978,18.7913633900978
"13","ITEM561PRIMEBONESCW_Retailer","2021-05-29","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",0,18.6372552559706
"14","ITEM561PRIMEBONESCW_Retailer","2021-06-05","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",13.0064394002429,13.0064394002429
"15","ITEM561PRIMEBONESCW_Retailer","2021-06-12","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",0,14.7435516462004
"16","ITEM561PRIMEBONESCW_Retailer","2021-12-04","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",31.3691884516412,31.3691884516412
"17","ITEM561PRIMEBONESCW_Retailer","2021-12-11","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",17.8058983579436,17.8058983579436
"18","ITEM561PRIMEBONESCW_Retailer","2021-12-18","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",15.9824721956526,15.9824721956526
"19","ITEM561PRIMEBONESCW_Retailer","2021-12-25","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",8.84949885836479,8.84949885836479
"20","ITEM561PRIMEBONESCW_Retailer","2022-01-01","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",5.50614585842668,5.50614585842668
"21","ITEM561PRIMEBONESCW_Retailer","2022-01-08","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",4.78864572885243,4.78864572885243
"22","ITEM561PRIMEBONESCW_Retailer","2022-01-15","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",10.5972024022146,10.5972024022146
"23","ITEM561PRIMEBONESCW_Retailer","2022-01-29","Within","Pantry Loading",2,"DT PRIME BONES CW 09.7-11.5OZ","Dog Treats","Big Y",0,7.94651328127226
"24","ITEM1CATCHOWNATURALS_Retailer","2021-03-27","Cross","DC CAT/KITTEN CHOW NATURALS 03.2LB",2,"DC CAT/KITTEN CHOW NATURALS 03.2LB","Dry Cat","Big Y",20.7342412838979,0
"25","ITEM1CATCHOWNATURALS_Retailer","2021-03-27","Within","Pantry Loading",2,"DC CAT/KITTEN CHOW NATURALS 03.2LB","Dry Cat","Big Y",47.2907784824711,0
"26","ITEM2717FRISKIESML_Retailer","2021-03-20","Cross","DC FRISKIES ML 03.2LB",2,"DC FRISKIES ML 03.2LB","Dry Cat","Big Y",549.482960501229,549.482960501229
