"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM109BENEFUL","Wet Dog","DW BENEFUL 10OZ 12CT","NPP","Retailer","Big Y",2,"Beneful"
"ITEM109BENEFUL","Wet Dog","DW BENEFUL 10OZ 12CT","NPP","ROM","Big Y",2,"Beneful"
"ITEM10CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 12CT","NPP","Retailer","Big Y",2,"Friskies"
"ITEM10CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 12CT","NPP","ROM","Big Y",2,"Friskies"
"ITEM112CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 48CT","NPP","ROM","Big Y",1,"Fancy Feast"
"ITEM118CWBEYOND","Wet Cat","CW BEYOND 03OZ 6CT","NPP","ROM","Big Y",1,"Beyond"
"ITEM11ALPO","Wet Dog","DW ALPO 13.0-13.2OZ","NPP","Retailer","Big Y",1,"Alpo"
"ITEM11ALPO","Wet Dog","DW ALPO 13.0-13.2OZ","NPP","ROM","Big Y",1,"Alpo"
"ITEM121CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 18CT","NPP","ROM","Big Y",1,"Fancy Feast"
"ITEM126CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 30CT","NPP","ROM","Big Y",2,"Fancy Feast"
"ITEM128CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 32CT","NPP","Retailer","Big Y",2,"Friskies"
"ITEM128CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 32CT","NPP","ROM","Big Y",2,"Friskies"
"ITEM12CWBEYOND","Wet Cat","CW BEYOND 03OZ","NPP","Retailer","Big Y",2,"Beyond"
"ITEM12CWBEYOND","Wet Cat","CW BEYOND 03OZ","NPP","ROM","Big Y",2,"Beyond"
"ITEM130CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 48CT","NPP","ROM","Big Y",1,"Friskies"
"ITEM133CWBEYOND","Wet Cat","CW BEYOND 03OZ 12CT","NPP","ROM","Big Y",1,"Beyond"
"ITEM134CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 40CT","NPP","ROM","Big Y",2,"Friskies"
"ITEM146TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 35LB","NPP","Retailer","Big Y",1,"Tidy Cats"
"ITEM146TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 35LB","NPP","ROM","Big Y",2,"Tidy Cats"
"ITEM14CATCHOWLX","Dry Cat","DC CAT/KITTEN CHOW 06.3LB","NPP","ROM","Big Y",2,"Cat Chow Line"
"ITEM150TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB","NPP","Retailer","Big Y",2,"Tidy Cats"
"ITEM150TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB","NPP","ROM","Big Y",2,"Tidy Cats"
"ITEM152DOGCHOWML","Wet Dog","DW DOG CHOW ML 13 OZ","NPP","Retailer","Big Y",1,"Dog Chow Line"
"ITEM152DOGCHOWML","Wet Dog","DW DOG CHOW ML 13 OZ","NPP","ROM","Big Y",1,"Dog Chow Line"
"ITEM155DWBELLA","Wet Dog","DW BELLA 03.5OZ 12CT","NPP","ROM","Big Y",1,"Bella"
"ITEM156DWBELLA","Wet Dog","DW BELLA 03.5OZ","NPP","ROM","Big Y",2,"Bella"
"ITEM157CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ 12CT","NPP","ROM","Big Y",1,"Fancy Feast"
"ITEM158DWBENEFUL","Wet Dog","DW BENEFUL 10OZ 06CT","NPP","ROM","Big Y",2,"Beneful"
"ITEM159DWBENEFUL","Wet Dog","DW BENEFUL 03OZ 12CT","NPP","ROM","Big Y",2,"Beneful"
"ITEM15CWPURINAONE","Wet Cat","CW PURINA ONE 03OZ","NPP","Retailer","Big Y",2,"Purina One"
"ITEM15CWPURINAONE","Wet Cat","CW PURINA ONE 03OZ","NPP","ROM","Big Y",2,"Purina One"
"ITEM15PURINAONE","Wet Dog","DW PURINA ONE 13OZ","NPP","Retailer","Big Y",2,"Purina One"
"ITEM15PURINAONE","Wet Dog","DW PURINA ONE 13OZ","NPP","ROM","Big Y",2,"Purina One"
"ITEM161DWBENEFULINCRNMED","Wet Dog","DW BENEFUL INCR N MED 03OZ 30CT","NPP","ROM","Big Y",2,"Beneful"
"ITEM162CWFRISKIESFAV","Wet Cat","CW FRISKIES FAV 05.5OZ","NPP","Retailer","Big Y",1,"Friskies"
"ITEM162CWFRISKIESFAV","Wet Cat","CW FRISKIES FAV 05.5OZ","NPP","ROM","Big Y",2,"Friskies"
"ITEM162DWBENEFULSPRFOOD","Wet Dog","DW BENEFUL SPRFOOD 09OZ 06CT","NPP","ROM","Big Y",1,"Beneful"
"ITEM163DWBEYONDGRFR","Wet Dog","DW BEYOND GR FR 13OZ 6CT","NPP","ROM","Big Y",2,"Beyond"
"ITEM164DWBEYONDGRFR","Wet Dog","DW BEYOND GR FR 13OZ","NPP","ROM","Big Y",2,"Beyond"
"ITEM167TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 14LB","NPP","Retailer","Big Y",2,"Tidy Cats"
"ITEM167TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 14LB","NPP","ROM","Big Y",2,"Tidy Cats"
"ITEM16BENEFULMEDLEYS","Wet Dog","DW BENEFUL 03OZ 03CT","NPP","Retailer","Big Y",2,"Beneful"
"ITEM16BENEFULMEDLEYS","Wet Dog","DW BENEFUL 03OZ 03CT","NPP","ROM","Big Y",2,"Beneful"
"ITEM16CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ","NPP","Retailer","Big Y",2,"Fancy Feast"
"ITEM16CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ","NPP","ROM","Big Y",2,"Fancy Feast"
"ITEM170DWBEYONDWILD","Wet Dog","DW BEYOND WILD 13OZ","NPP","ROM","Big Y",1,"Beyond"
"ITEM1780014609","Wet Cat","CW PURINA ONE TRU INST 03OZ","NPP","ROM","Big Y",2,"Purina One"
"ITEM1780018530","Wet Cat","CW PURINA ONE ML 03OZ 12CT","NPP","ROM","Big Y",1,"Purina One"
"ITEM179TIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 10LB","NPP","ROM","Big Y",2,"Tidy Cats"
"ITEM183CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 25LB","NPP","ROM","Big Y",1,"Tidy Cats"
"ITEM189YESTERDAYSNEWSALT","Litter","CL YESTERDAYS NEWS ALT 13.2LB","NPP","ROM","Big Y",1,"Yesterday's News"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","NPP","Retailer","Big Y",0,"Friskies"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","NPP","ROM","Big Y",2,"Friskies"
"ITEM192DWCNPORGANIX","Wet Dog","DW C&P ORGANIX 03.5OZ","NPP","ROM","Big Y",1,"A/O Brand"
"ITEM193CWFRISKIESLILSOUPS","Wet Cat","CW FRISKIES LIL SOUPS 01.2OZ","NPP","ROM","Big Y",2,"Friskies"
"ITEM193DWCNPORGANIX","Wet Dog","DW C&P ORGANIX 12.7OZ","NPP","ROM","Big Y",1,"A/O Brand"
"ITEM194DWCNPPRISTINE","Wet Dog","DW C&P PRISTINE 03.5OZ","NPP","ROM","Big Y",1,"A/O Brand"
"ITEM196DWCNPPRISTINEBONEBROTH","Wet Dog","DW C&P PRISTINE BONE BROTH 8.4OZ","NPP","ROM","Big Y",1,"A/O Brand"
"ITEM198CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 20LB","NPP","ROM","Big Y",2,"Tidy Cats"
"ITEM19ALPO","Wet Dog","DW ALPO 13.2OZ 12CT","NPP","Retailer","Big Y",1,"Alpo"
"ITEM19ALPO","Wet Dog","DW ALPO 13.2OZ 12CT","NPP","ROM","Big Y",1,"Alpo"
"ITEM1CATCHOWNATURALS","Dry Cat","DC CAT/KITTEN CHOW NATURALS 03.2LB","NPP","Retailer","Big Y",2,"Cat Chow Line"
"ITEM1CATCHOWNATURALS","Dry Cat","DC CAT/KITTEN CHOW NATURALS 03.2LB","NPP","ROM","Big Y",2,"Cat Chow Line"
"ITEM1CTBEYONDCR","Cat Treats","CT BEYOND CR 02.1OZ","NPP","Retailer","Big Y",0,"Beyond"
"ITEM1CTBEYONDCR","Cat Treats","CT BEYOND CR 02.1OZ","NPP","ROM","Big Y",1,"Beyond"
"ITEM1CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ","NPP","Retailer","Big Y",2,"Friskies"
"ITEM1CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ","NPP","ROM","Big Y",2,"Friskies"
"ITEM207CWFRISKIESSTUFFD","Wet Cat","CW FRISKIES PREMIUM 05.5OZ","NPP","Retailer","Big Y",1,"Friskies"
"ITEM207CWFRISKIESSTUFFD","Wet Cat","CW FRISKIES PREMIUM 05.5OZ","NPP","ROM","Big Y",1,"Friskies"
"ITEM223DWDOGCHOWML","Wet Dog","DW DOG CHOW ML 13 OZ 12CT","NPP","ROM","Big Y",1,"Dog Chow Line"
"ITEM224DWDOGCHOWML","Wet Dog","DW DOG CHOW ML 13 OZ 24CT","NPP","ROM","Big Y",1,"Dog Chow Line"
"ITEM225DWDOGCHOWML","Wet Dog","DW DOG CHOW ML 13 OZ 06CT","NPP","ROM","Big Y",1,"Dog Chow Line"
"ITEM235TIDYCATSNATSTRGNONCLUMP","Litter","CL TIDY CATS NAT STRG NON-CLUMP 20LB","NPP","Retailer","Big Y",2,"Tidy Cats"
"ITEM235TIDYCATSNATSTRGNONCLUMP","Litter","CL TIDY CATS NAT STRG NON-CLUMP 20LB","NPP","ROM","Big Y",2,"Tidy Cats"
"ITEM23CWFANCYFEASTPURELY","Wet Cat","CW FANCY FEAST PURELY 02OZ","NPP","Retailer","Big Y",2,"Fancy Feast"
"ITEM23CWFANCYFEASTPURELY","Wet Cat","CW FANCY FEAST PURELY 02OZ","NPP","ROM","Big Y",2,"Fancy Feast"
"ITEM240CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ","NPP","Retailer","Big Y",2,"Fancy Feast"
"ITEM240CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ","NPP","ROM","Big Y",2,"Fancy Feast"
"ITEM244CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ 12CT","NPP","ROM","Big Y",2,"Fancy Feast"
"ITEM245CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ 24CT","NPP","ROM","Big Y",2,"Fancy Feast"
"ITEM25BEYOND","Dry Cat","DC BEYOND SIMPLY 03LB","NPP","ROM","Big Y",1,"Beyond"
"ITEM2698KITKABOODLE","Dry Cat","DC KIT KABOODLE 13LB","NPP","ROM","Big Y",2,"Kit & Kaboodle"
"ITEM2699FRISKIESML","Dry Cat","DC FRISKIES ML 16LB","NPP","ROM","Big Y",2,"Friskies"
"ITEM2717FRISKIESML","Dry Cat","DC FRISKIES ML 03.2LB","NPP","Retailer","Big Y",2,"Friskies"
"ITEM2717FRISKIESML","Dry Cat","DC FRISKIES ML 03.2LB","NPP","ROM","Big Y",2,"Friskies"
"ITEM2756CATCHOWLX","Dry Cat","DC CAT/KITTEN CHOW 01.1LB","NPP","Retailer","Big Y",1,"Cat Chow Line"
"ITEM2756CATCHOWLX","Dry Cat","DC CAT/KITTEN CHOW 01.1LB","NPP","ROM","Big Y",1,"Cat Chow Line"
"ITEM275CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 60CT","NPP","ROM","Big Y",1,"Friskies"
"ITEM275DWPUPPYCHOW","Wet Dog","DW PUPPY CHOW 05.5OZ 8 CT","NPP","ROM","Big Y",1,"Dog Chow Line"
"ITEM2765DCBEYONDGRFR","Dry Cat","DC BEYOND GR FR 05LB","NPP","ROM","Big Y",1,"Beyond"
"ITEM2767DCBEYONDSIMPLY","Dry Cat","DC BEYOND SIMPLY 06LB","NPP","ROM","Big Y",1,"Beyond"
"ITEM277DWPURINAONE","Wet Dog","DW PURINA ONE 13OZ 06CT","NPP","ROM","Big Y",2,"Purina One"
"ITEM2784DCCNPORGANIX","Dry Cat","DC C&P ORGANIX 03-4LB","NPP","ROM","Big Y",1,"A/O Brand"
"ITEM2787DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 13-15LB","NPP","Retailer","Big Y",2,"Cat Chow Line"
"ITEM2787DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 13-15LB","NPP","ROM","Big Y",2,"Cat Chow Line"
"ITEM2788DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 12LB","NPP","ROM","Big Y",1,"Cat Chow Line"
"ITEM2789DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 20LB","NPP","ROM","Big Y",2,"Cat Chow Line"
"ITEM278DWPURINAONETRUINST","Wet Dog","DW PURINA ONE TRU INST 13OZ 12CT","NPP","ROM","Big Y",1,"Purina One"
"ITEM2790DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 25LB","NPP","ROM","Big Y",1,"Cat Chow Line"
