"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",10,9,11,56,11,0,3,43.3559408130959,8.07097137237762,0,21.198,0,0,0,0,0,0,5,7,5.7,0,7,0,56.226,1,1,1,1,0,0,0,"Big Y","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,0,9,0,0,0
"ITEM18CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",9.7,8,11,0,11,0,6,0,8.40746308383055,0,9.55,0,18.794,0,4.152,0,0,0,8.40746308383055,0,0,8.40746308383055,0,46.903,1,0,1,0,1,1,0,"Big Y","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.592067023839103,0.0405223564076939,2,0,0,1,0
"ITEM1CTBEYONDCR_Retailer","NPP","Cat Treats","CT BEYOND CR 02.1OZ",1.9,1,3,55,3,0,1,39.0021788364014,1.87544035584589,0,32.402,0,0,0,0,0,0,1,2,1.3,0,2,0,1.312,1,1,1,1,0,0,0,"Big Y","Retailer","CT BEYOND CR 02.1OZ",NA,NA,0,7,0,0,0
"ITEM1CTBEYONDCR_ROM","NPP","Cat Treats","CT BEYOND CR 02.1OZ",2.3,2,3,20,3,0,1,13.4438257074851,2.03190903671851,0,6.958,0,4.187,0,0,0,0,0,2.03190903671851,0,0,2.03190903671851,0,1.893,0,1,0,1,1,0,0,"Big Y","ROM","CT BEYOND CR 02.1OZ",0.476284314170156,0.293478734381071,1,15,1,0,1
"ITEM50CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.7,3,5,8,5,0,2,5.91695700501027,3.29198178567986,0,24.09,0,27.056,0,13.679,0,10.691,0,3.29198178567986,0,0,3.29198178567986,0,43.513,1,1,1,1,0,0,1,"Big Y","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.704135633287355,0.0658251845789883,2,5,0,0,0
"ITEM5CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 01.8OZ",2.5,2,3,27,3,0,1,14.4947525969881,2.23891521828873,0,6.228,0,6.232,0,0,0,0,0,2.23891521828873,0,0,2.23891521828873,0,5.827,1,1,0,1,1,0,0,"Big Y","ROM","CT DENTALIFE DNT 01.8OZ",0.186874601893407,0.45205568729623,1,29,0,0,1
"ITEM79CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 10OZ",5,4,6,7,6,0,3,6.04508737659046,4.24847460144818,0,6.824,0,1.083,0,0,0,0,0,4.24847460144818,0,0,4.24847460144818,0,10.084,1,0,1,0,1,0,0,"Big Y","ROM","CT WHISKER LICKINS CR 10OZ",0.795668612860317,0.282957073222862,1,1,0,1,0
"ITEM80CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 04OZ",2.6,2,3,20,3,0,1,11.8314820561209,2.23477182053962,0,6.748,0,4.956,0,0,0,0,0,2.23477182053962,0,0,2.23477182053962,0,16.696,0,1,1,1,0,0,0,"Big Y","ROM","CT WHISKER LICKINS CR 04OZ",0.793756856887277,0.183884380533529,1,24,1,0,0
"ITEM87CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX CR 20OZ 2CT",16.2,14,18,9,18,0,12,7.16372217875262,14.7395383770753,0,0,0,4.884,0,0,0,0,0,14.7395383770753,0,0,14.7395383770753,0,4.609,1,1,0,1,0,0,0,"Big Y","ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT",0.545809158351295,0.103311348287726,1,4,0,0,1
"ITEM8904CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ",5.1,4,6,52,6,0,2,23.4267039526025,4.75559712110741,0,5.3,0,4.027,0,0.482,0,0,0,4.75559712110741,0,0,4.75559712110741,0,0.933,0,1,0,1,1,1,0,"Big Y","ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",0.562960975861909,1.31901948445907,1,30,1,0,1
