"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Description","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","Intercept","Market","WB_Comp_RP_3","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_2","CB_Comp_TPR_3","WB_Comp_RP_4","WB_Comp_RP_5","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_TPR_6","Model_flag"
"ITEM109BENEFUL_Retailer","Wet Dog","Big Y","DW BENEFUL 10OZ 12CT",-0.1,2.23985038287642,0,0,2.93081779525922,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,2.73008177545942,"Retailer",NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2
"ITEM109BENEFUL_ROM","Wet Dog","Big Y","DW BENEFUL 10OZ 12CT",-1.54317505593274,0,0,0,1.86478240578551,0.585548655710651,0,0,0.815579754088272,0,-0.0464424698455293,0.0234760156067003,0,NA,NA,0,0,NA,-0.250915797149984,9.6237058701411,"ROM",NA,0,NA,NA,NA,NA,NA,NA,-0.680577484913898,0,NA,NA,NA,NA,NA,2
"ITEM10CWFRISKIES_Retailer","Wet Cat","Big Y","CW FRISKIES 05.5OZ 12CT",-0.356399369825741,2.09097523929977,0,-0.524035241614843,2.70033405937499,0,0,0,0,-0.0357272220556062,0,0.0288832729385352,0.021400980481104,0,0,0,0,NA,-0.493303588469676,4.51087180330746,"Retailer",NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2
"ITEM10CWFRISKIES_ROM","Wet Cat","Big Y","CW FRISKIES 05.5OZ 12CT",-1.16282191911122,0,0,0,1.75234646376243,0,1.35551061098163,3.00705173514928,0.313044260021569,0,0,0,0.0116016852766674,0,0,0,0,NA,0,9.27326125176176,"ROM",NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2
"ITEM112CWFANCYFEASTML_ROM","Wet Cat","Big Y","CW FANCY FEAST ML 03OZ 48CT",-0.752837364950522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-15.1523889344598,8.85669196025823,"ROM",NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1
"ITEM118CWBEYOND_ROM","Wet Cat","Big Y","CW BEYOND 03OZ 6CT",-2.5,0,-5.04107704561911,-1.54689196886399,10,10,0,0,-1.36461922644329,0,0,0,-0.0303966725442733,0,0,-2.09827102833153,0,NA,-3.19470205910751,9.18708717810352,"ROM",NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1
"ITEM11ALPO_Retailer","Wet Dog","Big Y","DW ALPO 13.0-13.2OZ",-2.17851641889684,1.72586835355862,0,-0.553206632420086,7.28955031634495,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,1.62713663532747,"Retailer",NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1
"ITEM11ALPO_ROM","Wet Dog","Big Y","DW ALPO 13.0-13.2OZ",-2.5,0,-6.88949192272365,-6.91255566996341,9.70799979501579,0,0,0,-3.20933749758329,0,0,0,0,NA,NA,0,0,NA,-7.92618491235593,9.76034523320534,"ROM",NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1
"ITEM121CWFANCYFEASTMEDLEYS_ROM","Wet Cat","Big Y","CW FANCY FEAST MEDLEYS 03OZ 18CT",-2.5,5.95245306218631,0,0,10,0,0,0,0,0,0,0,-0.00509205692717533,0,0,-0.622845347291943,0,NA,0,10.1371214805896,"ROM",NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1
"ITEM126CWFANCYFEASTML_ROM","Wet Cat","Big Y","CW FANCY FEAST ML 03OZ 30CT",0,0,0,0,3.57899349430452,0.0931005163256361,3.86551674899778,0,0.381110615984774,0,0,0,0,0,0,-0.891106903049863,0,NA,0,5.96363191082685,"ROM",NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2
