"Acting_PPG_Item_No","PPG_Cat","PPG_MFG","PPG_Item_No","Modelled_PPG_Description","model_RSq","model_CVErrorMean","model_CVErrorSD","model_coefficient_name","model_coefficient_value","TrainMAPE","approach_edlp","mean_edlp","std_edlp","rhat","approach_tpr","mean_tpr","std_tpr","Run","Reason","Model_flag","Retailer","Market","Brand","size_cuts","price_cuts","grp_based_on","Model_type","model_box","Modelled_PPG_Item_No","acting_box","Variable","CompKey_WB_Interaction","CompKey_WB_Interaction_TPR","CompKey_CB","CompKey_WB","CompKey_CB_TPR","CompKey_WB_TPR","CompKey","Acting_PPG_Item"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.592067023839103,0,0,"wk_sold_median_base_price_byppg_log",-0.850389849864255,0.0405223564076939,"No Change",-0.578848983736457,0.206342541389793,1.0002153076994,"",NA,NA,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM18CTFRISKIESPARTYMIXCR","ROM","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.592067023839103,0,0,"ACV_Feat_Only",0.218840186642874,0.0405223564076939,"No Change",-0.578848983736457,0.206342541389793,1.00005902532006,"",NA,NA,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM18CTFRISKIESPARTYMIXCR","ROM","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.592067023839103,0,0,"ACV_Disp_Only",0.981725784553774,0.0405223564076939,"No Change",-0.578848983736457,0.206342541389793,0.99999851886257,"",NA,NA,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM18CTFRISKIESPARTYMIXCR","ROM","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.592067023839103,0,0,"ACV_Selling",1.00234561976797,0.0405223564076939,"No Change",-0.578848983736457,0.206342541389793,0.999937871323008,"",NA,NA,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM18CTFRISKIESPARTYMIXCR","ROM","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.592067023839103,0,0,"flag_qtr3",0.0283722778132023,0.0405223564076939,"No Change",-0.578848983736457,0.206342541389793,0.999895682559586,"",NA,NA,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM18CTFRISKIESPARTYMIXCR","ROM","flag_qtr3",NA,NA,NA,NA,NA,NA,"flag_qtr3","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.592067023839103,0,0,"category_trend",0.375510544723606,0.0405223564076939,"No Change",-0.578848983736457,0.206342541389793,1.00016332413426,"",NA,NA,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM18CTFRISKIESPARTYMIXCR","ROM","category_trend",NA,NA,NA,NA,NA,NA,"category_trend","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.838747274854313,NA,NA,"ACV_Selling",5.77892651495233,0.687176820545529,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,,,,,,,,TPR_lag1 counterintuitive case,,,,,,,",0,"Big Y","Retailer","FRISKIES","(0,20]","(4,6]","Within Brand","lme","Retailer","ITEM18CTFRISKIESPARTYMIXCR","Retailer","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.838747274854313,NA,NA,"monthno",-0.050862757611215,0.687176820545529,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,,,,,,,,TPR_lag1 counterintuitive case,,,,,,,",0,"Big Y","Retailer","FRISKIES","(0,20]","(4,6]","Within Brand","lme","Retailer","ITEM18CTFRISKIESPARTYMIXCR","Retailer","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.838747274854313,NA,NA,"wk_sold_median_base_price_byppg_log",-0.1,0.687176820545529,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,,,,,,,,TPR_lag1 counterintuitive case,,,,,,,",0,"Big Y","Retailer","FRISKIES","(0,20]","(4,6]","Within Brand","lme","Retailer","ITEM18CTFRISKIESPARTYMIXCR","Retailer","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.838747274854313,NA,NA,"tpr_discount_byppg",0.524970472188427,0.687176820545529,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,,,,,,,,TPR_lag1 counterintuitive case,,,,,,,",0,"Big Y","Retailer","FRISKIES","(0,20]","(4,6]","Within Brand","lme","Retailer","ITEM18CTFRISKIESPARTYMIXCR","Retailer","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
