"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4"
1113200040,"ROM","DD ALPO 04LB","ITEM423DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","Big Y","ALPO",NA,0,0.951689569563722,0.908008343957529,0.933275065324688,0.89979651183259,0.926496117659885,0.913332285046962,1,1
1113200392,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM617DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","Big Y","ALPO",NA,0,0.555197837168952,0.521864061853144,0.486296071825728,0.483023400015036,0.529636716436565,0.428917423551162,0.639698180779739,0.3276427632195
1113200681,"ROM","DT ALPO VARIETY SNAPS CR 16OZ","ITEM53ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","Big Y","ALPO",NA,0,1,1,1,1,1,1,1,1
1113210840,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0.000339496191531723,0,0.0000700588471546974,0.000031626538650872,0,0,0,0
1113210860,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROASTED CHICKEN AND TOP SIRLOI WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0,0,0,0,0,0,0,0
1113210860,"Retailer","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROASTED CHICKEN AND TOP SIRLOI WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0,0,0,0,0,0,0,NA
1113210929,"ROM","DW ALPO 13.2OZ 12CT","ITEM19ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Big Y","ALPO",NA,0,0,0,0,0,0,0,0,0
1113211755,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0,0,0,0,0,0,0,0
1113212516,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0.00014549836779931,0.0000417611573753973,0,0,0,0,0,0
1113212531,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0.000484994559331033,0.0000417611573753973,0,0,0,0,0,0
1113212531,"Retailer","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0,0,0,0,0,0,0,NA
1113212534,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LONDON GRILL AND WHOLESOME VEG WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0.000921489662728963,0.0000208805786876987,0,0,0,0,0,0
1113212534,"Retailer","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LONDON GRILL AND WHOLESOME VEG WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0,0,0,0,0,0,0,NA
1113212541,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT TURKEY AND BACON WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0.0000969989118662067,0,0,0,0.0000136692948938909,0,0,0
1113212544,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT CHICKEN AND WHOLESOME VEGGIE A WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0.000193997823732413,0,0,0.000015813269325436,0,0,0,0
1113212552,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0.00111548748646138,0,0,0,0.0000136692948938909,0,0,0
1113212555,"ROM","DW ALPO 13.2OZ 12CT","ITEM19ALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Big Y","ALPO",NA,0,0.00712729799678381,0,0,0,0,0,0,0
1113212555,"Retailer","DW ALPO 13.2OZ 12CT","ITEM19ALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Big Y","ALPO",NA,0,0,0,0,0,0,0,0,NA
1113212556,"ROM","DW ALPO 13.2OZ 06CT","ITEM153DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE X6","Big Y","ALPO",NA,0,1,0,0.368487527628671,NA,NA,NA,NA,NA
1113212561,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT STEW WITH BEEF AND VEGETABLES WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0.00771141349336343,0.000146164050813891,0.000227691253252767,0.0000948796159526159,0.0000956850642572366,0,0,0
1113212561,"Retailer","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT STEW WITH BEEF AND VEGETABLES WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0,0,0,0,0,0,0,NA
1113212665,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT ROAST BEEF WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0,0,0,0,0,0,0,0
1113212772,"ROM","DW ALPO 13.2OZ 12CT","ITEM19ALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE BEEF LOVERS PACK TRAY IN WRAP 158.4 OUNCE","Big Y","ALPO",NA,0,0.00178182449919595,0,0,0,0,0,0,0
1113213597,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT T BONE STEAK WET CAN 13 OUNCE","Big Y","ALPO",NA,0,0.00223097497292275,0,0,0,0.0000136692948938909,0,0,0
1113213604,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROTISSERIE CHICKEN WET CAN 13 OUNCE","Big Y","ALPO",NA,0,0.0000969989118662067,0.000250566944252384,0,0.000015813269325436,0,0,0,0
1113213606,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT BEEF TENDERLOIN WET CAN 13 OUNCE","Big Y","ALPO",NA,0,0.00014549836779931,0.000104402893438493,0.0000175147117886744,0.000031626538650872,0,0,0,0
1113214219,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO PRIME CLASSICS WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0.0219702535376958,0.045039408229366,0.0201244038451868,0.000996235967502466,0.0000136692948938909,0,0,0
1113214223,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO PRIME CLASSICS WET DOG FOOD ADULT CHICKEN AND RICE WET CAN 13.2 OUNCE","Big Y","ALPO",NA,0,0.000339496191531723,0,0.0000175147117886744,0,0,0,0,0
1113214286,"ROM","DW ALPO 13.2OZ 12CT","ITEM19ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 156 OUNCE","Big Y","ALPO",NA,0,0.00801821024638178,0.000335682777090188,0.000238247205777209,0,0,0,0,0
1113214286,"Retailer","DW ALPO 13.2OZ 12CT","ITEM19ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 156 OUNCE","Big Y","ALPO",NA,0,0,0,0,0,0,0,0,NA
1113214287,"ROM","DW ALPO 13.2OZ 12CT","ITEM19ALPO","Wet Dog","PURINA ALPO PRIME CLASSICS DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Big Y","ALPO",NA,0,0,0,0,0,0,0,0,0
1113214543,"ROM","DD ALPO 14LB","ITEM469DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 14 POUND","Big Y","ALPO",NA,0,0.49962602842184,0.518596848048679,0.579495511222795,0.631311046820695,0.634391666189615,0.671076882900347,0.690508566766386,0.633521126760563
1113214544,"ROM","DD ALPO 16LB","ITEM769DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 16 POUND","Big Y","ALPO",NA,0,0.77413160064553,0.763241776181536,0.716668654431282,0.66792240639224,0.615701313114748,0.758852356624654,0.572246065808298,1
1113214545,"ROM","DD ALPO 37-41LB","ITEM289DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 37 POUND","Big Y","ALPO",NA,0,0.666666666666667,0.55,0.5,0,0,NA,NA,NA
1113216223,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM617DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF BACON CHEESE AND PEANUT B BOX 32 OUNCE","Big Y","ALPO",NA,0,0.444802162831048,0.478135938146856,0.513703928174272,0.516976599984965,0.470363283563436,0.571082576448838,0.360301819220261,0.6723572367805
1113216225,"ROM","DT ALPO VARIETY SNAPS CR 60OZ","ITEM618DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BAG 60 OUNCE","Big Y","ALPO",NA,0,1,1,1,1,1,1,1,1
1113216524,"ROM","DD ALPO 28-31LB","ITEM770DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 31 POUND","Big Y","ALPO",NA,0,0.736180904522613,0.746478873239437,0.73882640380808,0.759407069555302,0.749430523917996,0.739130434782609,0.602591792656587,0.231727574750831
1113216828,"ROM","DW ALPO 13.2OZ 06CT","ITEM153DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT T BONE STEAK WET CAN 13 OUNCE X6","Big Y","ALPO",NA,0,0,1,0.631512472371329,NA,NA,NA,NA,NA
1113216830,"ROM","DD ALPO 14LB","ITEM469DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 14 POUND","Big Y","ALPO",NA,0,0.108750934928945,0.0932723496034219,0.0347782206507619,0.0113913342653316,0.00448686508924994,0.00301324320388106,0.00027196083763938,0.00112676056338028
1113216831,"ROM","DW ALPO 13.2OZ 24CT","ITEM154DWALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE TRAY IN WRAP 316.8 OUNCE","Big Y","ALPO",NA,0,NA,NA,NA,NA,NA,0,NA,NA
1113216835,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO GRAVY CRAVERS WET DOG FOOD ADULT ROAST BEEF WET BAG 3.5 OUNCE","Big Y","ALPO",NA,0,0.00101848857459517,0,0,0,0,0,0,0
1113216837,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO GRAVY CRAVERS WET DOG FOOD ADULT CHICKEN WET BAG 3.5 OUNCE","Big Y","ALPO",NA,0,0.00155198258985931,0.0000626417360630959,0,0,0,0,0,0
1113216839,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO GRAVY CRAVERS WET DOG FOOD ADULT BEEF WET BAG 3.5 OUNCE","Big Y","ALPO",NA,0,0.00242497279665517,0,0,0,0,0,0,0
1113216841,"ROM","DW ALPO 13.2OZ 12CT","ITEM19ALPO","Wet Dog","PURINA ALPO GRAVY CRAVERS DOG FOOD-WET TYPE BOX 42 OUNCE","Big Y","ALPO",NA,0,0.0035636489983919,0.000671365554180375,0,0,0,0,0,0
1113216848,"ROM","DT ALPO DT 21OZ","ITEM614DTALPODT","Dog Treats","PURINA ALPO T BONZ DOG TREAT PORTERHOUSE BAG 22 OUNCE","Big Y","ALPO",NA,0,0,0.0680704945605057,0.202160794042674,0.101942057109484,0.0173728371877021,0.00464642402758793,0.00257157463686795,0.000901934875792294
1113216855,"ROM","DW ALPO 13.0-13.2OZ","ITEM11ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT BEEF TENDERLOIN WET CAN 13 OUNCE","Big Y","ALPO",NA,0,0.153138923587555,0.170548703814065,0.170675734570078,0.111558978039006,0.130205870653231,0.154933122113834,0.138963725305192,0.138728323699422
