"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross","Within","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_3","CB_Comp_RP_1","CB_Comp_TPR_2","CB_Comp_RP_2","CB_Comp_TPR_3","WB_Comp_RP_6","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","CB_Comp_RP_3","WB_Comp_Interaction_RP_1"
"ITEM16CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire Brothers",NA,NA,NA,NA,3.58289913688403,3.57626981927635,0,0,0.00598714285714286,0,0.398196428571429,1.26020103023141,0,0,35,3207.37407142857,2903.20936156305,2,NA,NA,NA,NA,304.164709865522,10374.1722377075,1081.03740514961,1081.03740514961,0,0,0,0,0,0,10374.1722377075,2903.20936156305,NA,0,NA,NA,NA,NA,0,0,2903.20936156305,10374.1722377075,35.7007048704895,3.57237683795254,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM16CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,3.59147914561631,3.57871878268565,0,0,0.0182053846153846,0,0.410911153846154,1.18945046411301,0,0,31.9230769230769,2818.40046153846,2725.88376841776,2,NA,NA,NA,NA,92.5166931207062,9680.88244021886,327.745329011904,327.745329011904,0,0,0,0,0,0,10302.5433499124,2898.95887630198,NA,0,NA,NA,NA,NA,0,0,2898.95887630198,10302.5433499124,108.609975246138,3.55513422936171,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM16CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,3.38064289709442,3.35779503709072,0,0,0.0178453846153846,0,0.409795384615385,1.13684623568275,0,0,28.9230769230769,2626.99569230769,2614.95882510316,2,NA,NA,NA,NA,12.0368672045292,8758.64561917517,40.3419192863649,40.3419192863649,0,0,0,0,0,0,10297.8403541717,3073.6806395084,NA,0,NA,NA,NA,NA,0,0,3073.6806395084,10297.8403541717,77.5939230916286,3.35130326638512,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM16CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,3.19899035037196,3.19198540141933,0,0,0.00497583333333333,0,0.373789166666667,1.07154773271434,0,0,26,3102.58333333333,2843.69631978048,2,NA,NA,NA,NA,258.887013552852,9070.86561271137,817.904387288631,817.904387288631,0,0,0,0,0,0,9120.31660471326,2858.69797848271,NA,0,NA,NA,NA,NA,0,0,2858.69797848271,9120.31660471326,25.8069303310028,3.1907866933706,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"Retailer","Brookshire Brothers",NA,2431.42857142857,0,NA,1.98934576520255,1.98829826509177,0,0,0,0,0.654367142857143,1.26020103023141,0,0,35,432.357142857143,365.347300735059,2,NA,NA,NA,0,67.0098421220839,726.713065294064,132.684791848793,132.684791848793,0,0,0,0,16.7015530622376,16.7015530622376,728.31104071108,366.105451831396,543.419651728602,0,459.101445885797,543.419651728602,84.2924961152543,84.2924961152543,0,0,374.828362115714,745.012593773318,0.712975004872312,1.98761106855429,"2022-12-31",NA,1.25819036427732,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"Retailer","Brookshire Brothers",NA,2054.61538461538,0,NA,1.94486915931158,1.94378526190301,0,0,0,0,0.634442692307692,1.18945046411301,0,0,31.9230769230769,324.846153846154,290.226070991573,2,NA,NA,NA,0,34.6200828545808,564.188459274606,68.5215407253942,68.5215407253942,0,0,0,0,52.6853302323244,52.6853302323244,671.34557235399,346.603555305672,404.7816020217,0,361.472523035027,404.7816020217,43.2800982207345,43.2800982207345,0,0,374.140529334652,724.030902586315,0.734247052154339,1.94240017034615,"2022-09-24",NA,1.24594533882441,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",1,0,0,"Retailer","Brookshire Brothers",NA,2296.92307692308,0,NA,1.86255552664929,1.85979707101103,0,0,0,0,0.561736923076923,1.13684623568275,0,0,28.9230769230769,300.923076923077,259.814764304215,2,NA,NA,NA,0,41.1083126188617,482.916217914148,75.5653205473901,75.5653205473901,0,0,0,0,110.208651308879,110.208651308879,526.688975285528,282.723507908734,368.123705709908,0,318.027773716616,368.123705709908,49.9069149781478,49.9069149781478,0,0,343.17404117982,636.897626594407,2.11922817975587,1.85653457872467,"2022-06-25",NA,1.22641661085064,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,0,"Retailer","Brookshire Brothers",NA,2453.33333333333,0,NA,1.81414479941609,1.813095170652,0,0,0,0,0.663447083333333,1.07154773271434,0,0,26,472.583333333333,414.316621119704,2,NA,NA,NA,0,58.2667122136292,750.257706804525,103.210626528808,103.210626528808,0,0,0,0,53.5595121298851,53.5595121298851,764.925336862356,422.132190224562,572.838854166667,0,502.342712862572,572.838854166667,70.3452696744173,70.3452696744173,0,0,452.940529051168,818.484848992241,2.04098471783036,1.81002035576061,"2022-03-26",NA,1.21336956521739,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire Brothers",NA,NA,NA,NA,1.86143898383953,1.85725388136968,0,0,0.00400642857142857,0,0.562639642857143,1.26020103023141,0,0,35,7070.59271428571,7010.48885472984,2,NA,NA,NA,NA,60.1038595558701,13015.375813881,112.597828976162,112.597828976162,0,0,0,0,0,0,13735.7356966786,7399.06258454818,NA,0,NA,NA,NA,NA,0,0,7399.06258454818,13735.7356966786,35.065429787808,1.85637377283699,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,1.84565911048346,1.8407091249199,0,0,0.00965769230769231,0,0.488128846153846,1.18945046411301,0,0,31.9230769230769,7168.26953846154,6842.90158845611,2,NA,NA,NA,NA,325.36795000543,12598.8613446108,597.781040004627,597.781040004627,0,0,0,0,0,0,12657.0285299789,6874.34211118976,NA,0,NA,NA,NA,NA,0,0,6874.34211118976,12657.0285299789,36.888799532882,1.8407091249199,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
