"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross","Within","Within_non_normalised","Cross_non_normalised","true_lift_doll","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_3","CB_Comp_RP_1","CB_Comp_TPR_2","CB_Comp_RP_2","CB_Comp_TPR_3","WB_Comp_RP_6","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","CB_Comp_RP_3","WB_Comp_Interaction_RP_1"
"ITEM16CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire Brothers",NA,NA,NA,NA,3.59897901083621,3.59897901083621,0,0,0,0,0.404855,1.26020103023141,0,0,35,2909.67972930406,2909.67972930406,2,NA,NA,NA,NA,0,10471.8762740209,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.59897901083621,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM16CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,3.59897901083621,3.59897901083621,0,0,0,0,0.404855,1.18945046411301,0,0,31.9230769230769,2763.78722711952,2763.78722711952,2,NA,NA,NA,NA,0,9946.81222082038,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.59897901083621,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM16CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,3.59897901083621,3.59897901083621,0,0,0,0,0.404855,1.13684623568275,0,0,28.9230769230769,2663.35014518171,2663.35014518171,2,NA,NA,NA,NA,0,9585.34127101656,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.59897901083621,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM16CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,3.59897901083621,3.59897901083621,0,0,0,0,0.404855,1.07154773271434,0,0,26,2544.61532155548,2544.61532155548,2,NA,NA,NA,NA,0,9158.01713293042,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.59897901083621,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"Retailer","Brookshire Brothers",NA,2431.42857142857,0,NA,1.98868852459016,1.98868852459016,0,0,0,0,0.662315,1.26020103023141,0,0,35,383.632277525368,366.298303729006,2,NA,NA,NA,0,17.3339737963625,728.453233202714,34.2069693505447,543.419651728602,0,459.316290172272,543.419651728602,84.0777964320448,84.0777964320448,0,0,0,0,34.2069693505447,0.264905423827876,1.98800085557478,"2022-12-31",NA,1.25819036427732,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"Retailer","Brookshire Brothers",NA,2054.61538461538,0,NA,1.98868852459016,1.98868852459016,0,0,0,0,0.662315,1.18945046411301,0,0,31.9230769230769,383.870402936463,322.296488684,2,NA,NA,NA,0,61.5739142524632,640.849347697978,121.985995448668,404.7816020217,0,361.264138935779,404.7816020217,43.4883485385961,43.4883485385961,0,0,0,0,121.985995448668,0.563322102898922,1.9872281997227,"2022-09-24",NA,1.24594533882441,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",1,0,0,"Retailer","Brookshire Brothers",NA,2296.92307692308,0,NA,1.98868852459016,1.98868852459016,0,0,0,0,0.662315,1.13684623568275,0,0,28.9230769230769,384.496421394887,254.295254024956,2,NA,NA,NA,0,130.201167369931,505.634586871411,257.661038850812,368.123705709908,0,299.385594641782,368.123705709908,68.4702916875437,68.4702916875437,0,0,0,0,257.661038850812,1.34799525177156,1.98519867127662,"2022-06-25",NA,1.22641661085064,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,0,"Retailer","Brookshire Brothers",NA,2453.33333333333,0,NA,1.98868852459016,1.98868852459016,0,0,0,0,0.662315,1.07154773271434,0,0,26,384.470333768234,356.540698227942,2,NA,NA,NA,0,27.9296355402925,708.699590765188,54.5761375114279,572.838854166667,0,432.021645586488,572.838854166667,140.420298067626,140.420298067626,0,0,0,0,54.5761375114279,1.31601253362013,1.98529139114461,"2022-03-26",NA,1.21336956521739,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire Brothers",NA,NA,NA,NA,1.85843298400788,1.85843298400788,0,0,0,0,0.573045,1.26020103023141,0,0,35,7643.58746797999,7643.58746797999,2,NA,NA,NA,NA,0,14205.0950666433,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,1.85843298400788,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,1.85843298400788,1.85843298400788,0,0,0,0,0.573045,1.18945046411301,0,0,31.9230769230769,7287.83579927939,7287.83579927939,2,NA,NA,NA,NA,0,13543.9544314142,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,1.85843298400788,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,1.85843298400788,1.85843298400788,0,0,0,0,0.573045,1.13684623568275,0,0,28.9230769230769,7065.67818047795,7065.67818047795,2,NA,NA,NA,NA,0,13131.089384985,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,1.85843298400788,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,1.85843298400788,1.85843298400788,0,0,0,0,0.573045,1.07154773271434,0,0,26,7084.47160887566,7084.47160887566,2,NA,NA,NA,NA,0,13166.0157122019,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,1.85843298400788,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM59CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire Brothers",NA,NA,NA,NA,9.86656784968685,9.86656784968685,0,0,0,0,0.55062,1.26020103023141,0,0,35,2242.24006591794,2242.24006591794,2,NA,NA,NA,NA,0,22123.2137456657,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,9.86656784968685,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM59CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,9.86656784968685,9.86656784968685,0,0,0,0,0.55062,1.18945046411301,0,0,31.9230769230769,2251.73569654636,2251.73569654636,2,NA,NA,NA,NA,0,22216.9030295365,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,9.86656784968685,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM59CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,9.86656784968685,9.86656784968685,0,0,0,0,0.55062,1.13684623568275,0,0,28.9230769230769,2261.03271061618,2261.03271061618,2,NA,NA,NA,NA,0,22308.6326496559,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,9.86656784968685,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM59CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,9.86656784968685,9.86656784968685,0,0,0,0,0.55062,1.07154773271434,0,0,26,2270.12821821144,2270.12821821144,2,NA,NA,NA,NA,0,22398.3740924719,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,9.86656784968685,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM61CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire Brothers",NA,NA,NA,NA,2.38,2.38,0,0,0,0,0.15768,1.26020103023141,0,0,35,131.828540931172,131.828540931172,2,NA,NA,NA,NA,0,313.751927416189,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,2.38,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM61CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,2.38,2.38,0,0,0,0,0.15768,1.18945046411301,0,0,31.9230769230769,131.828540931172,131.828540931172,2,NA,NA,NA,NA,0,313.751927416189,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,2.38,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM61CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,2.38,2.38,0,0,0,0,0.15768,1.13684623568275,0,0,28.9230769230769,131.828540931172,131.828540931172,2,NA,NA,NA,NA,0,313.751927416189,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,2.38,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM61CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,2.38,2.38,0,0,0,0,0.15768,1.07154773271434,0,0,26,131.828540931172,131.828540931172,2,NA,NA,NA,NA,0,313.751927416189,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,2.38,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM68CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire Brothers",NA,NA,NA,NA,4.98,4.98,0,0,0,0,0.16485,1.26020103023141,0,0,35,121.498946562205,121.498946562205,2,NA,NA,NA,NA,0,605.064753879781,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,4.98,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM68CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,4.98,4.98,0,0,0,0,0.16485,1.18945046411301,0,0,31.9230769230769,121.498946562205,121.498946562205,2,NA,NA,NA,NA,0,605.064753879781,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,4.98,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM68CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,4.98,4.98,0,0,0,0,0.16485,1.13684623568275,0,0,28.9230769230769,121.498946562205,121.498946562205,2,NA,NA,NA,NA,0,605.064753879781,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,4.98,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM68CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,4.98,4.98,0,0,0,0,0.16485,1.07154773271434,0,0,26,121.498946562205,121.498946562205,2,NA,NA,NA,NA,0,605.064753879781,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,4.98,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7403CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire Brothers",NA,NA,NA,NA,4.99,4.99,0,0,0,0,0.00437,1.26020103023141,0,0,35,5.85501742552444,5.85501742552444,1,NA,NA,NA,NA,0,29.216536953367,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,4.99,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7403CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,4.99,4.99,0,0,0,0,0.00437,1.18945046411301,0,0,31.9230769230769,7.02472348842594,7.02472348842594,1,NA,NA,NA,NA,0,35.0533702072454,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,4.99,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7403CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,4.99,4.99,0,0,0,0,0.00437,1.13684623568275,0,0,28.9230769230769,8.39024484171662,8.39024484171662,1,NA,NA,NA,NA,0,41.8673217601659,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,4.99,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7403CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,4.99,4.99,0,0,0,0,0.00437,1.07154773271434,0,0,26,9.97535071882762,9.97535071882762,1,NA,NA,NA,NA,0,49.7770000869498,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,4.99,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7421CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire Brothers",NA,NA,NA,NA,3.68565590659341,3.68565590659341,0,0,0,0,0.00325,1.26020103023141,0,0,35,2096.22476708902,2096.22476708902,1,1.50871484204488,NA,NA,NA,0,7725.96319436905,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.68565590659341,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7421CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,3.68565590659341,3.68565590659341,0,0,0,0,0.00325,1.18945046411301,0,0,31.9230769230769,1138.96667388714,1138.96667388714,1,1.50871484204488,NA,NA,NA,0,4197.83924902519,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.68565590659341,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7421CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,3.68565590659341,3.68565590659341,0,0,0,0,0.00325,1.13684623568275,0,0,28.9230769230769,628.625530647998,628.625530647998,1,1.50871484204488,NA,NA,NA,0,2316.89740006821,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.68565590659341,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7421CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,3.68565590659341,3.68565590659341,0,0,0,0,0.00325,1.07154773271434,0,0,26,352.110622189783,352.110622189783,1,1.50871484204488,NA,NA,NA,0,1297.75859444805,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.68565590659341,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
