"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"1","ITEM36BEGGINMT_Retailer","2021-02-20","Cross","DT ALPO VARIETY SNAPS CR 32OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Brookshire Brothers",13.8165373292548,19.6201936074935
"2","ITEM36BEGGINMT_Retailer","2021-02-20","Cross","DT BEGGIN MT 40OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Brookshire Brothers",27.9311014086184,39.6636005279902
"3","ITEM36BEGGINMT_Retailer","2021-02-20","Cross","DT T BONZ MT 04.5OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Brookshire Brothers",10.6900040236312,15.180355512407
"4","ITEM36BEGGINMT_Retailer","2021-02-20","Within","Pantry Loading",2,"DT BEGGIN MT 03OZ","Dog Treats","Brookshire Brothers",1.63810076298233,2.32618733278736
"5","ITEM36BEGGINMT_Retailer","2021-02-27","Cross","DT ALPO VARIETY SNAPS CR 32OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Brookshire Brothers",15.554665092255,16.2466383530816
"6","ITEM36BEGGINMT_Retailer","2021-02-27","Cross","DT BEGGIN MT 40OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Brookshire Brothers",39.6233892059038,41.3860967712029
"7","ITEM36BEGGINMT_Retailer","2021-02-27","Cross","DT T BONZ MT 04.5OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Brookshire Brothers",12.3622489727948,12.9122026800665
"8","ITEM36BEGGINMT_Retailer","2021-02-27","Within","Pantry Loading",2,"DT BEGGIN MT 03OZ","Dog Treats","Brookshire Brothers",1.73544025353323,1.81264398913826
"9","ITEM36BEGGINMT_Retailer","2022-10-01","Cross","DT ALPO VARIETY SNAPS CR 32OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Brookshire Brothers",9.38461138610014,2.80706795661869
"10","ITEM36BEGGINMT_Retailer","2022-10-01","Cross","DT BEGGIN MT 40OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Brookshire Brothers",37.7595527084015,11.2944080583879
"11","ITEM36BEGGINMT_Retailer","2022-10-01","Cross","DT T BONZ MT 04.5OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Brookshire Brothers",8.40748204556482,2.51479496326372
"12","ITEM36BEGGINMT_Retailer","2022-10-01","Within","Pantry Loading",2,"DT BEGGIN MT 03OZ","Dog Treats","Brookshire Brothers",1.37073852007656,0.410006980396534
"13","ITEM5TBONZMT_Retailer","2021-08-07","Cross","DT BUSY RIB HIDE CW 08.8OZ",2,"DT T BONZ MT 04.5OZ","Dog Treats","Brookshire Brothers",47.6651794232018,43.9920461769741
"14","ITEM5TBONZMT_Retailer","2021-08-07","Within","Pantry Loading",2,"DT T BONZ MT 04.5OZ","Dog Treats","Brookshire Brothers",38.5808213962406,35.6077391703438
"15","ITEM5TBONZMT_Retailer","2021-08-14","Cross","DT BUSY RIB HIDE CW 08.8OZ",2,"DT T BONZ MT 04.5OZ","Dog Treats","Brookshire Brothers",36.7713721391224,43.8491591410181
