"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM100CWPURINAONEML","Wet Cat","CW PURINA ONE TRU INST 03OZ 12CT","NPP","ROM","Brookshire Brothers",1,"Purina One"
"ITEM106CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ 12CT","NPP","ROM","Brookshire Brothers",2,"Fancy Feast"
"ITEM107PURINAONETRUINST","Wet Dog","DW PURINA ONE TRU INST 13OZ","NPP","Retailer","Brookshire Brothers",2,"Purina One"
"ITEM107PURINAONETRUINST","Wet Dog","DW PURINA ONE TRU INST 13OZ","NPP","ROM","Brookshire Brothers",2,"Purina One"
"ITEM108CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 48CT","NPP","ROM","Brookshire Brothers",1,"Fancy Feast"
"ITEM10CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 32CT","NPP","Retailer","Brookshire Brothers",2,"Friskies"
"ITEM10CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 32CT","NPP","ROM","Brookshire Brothers",2,"Friskies"
"ITEM117CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 40CT","NPP","ROM","Brookshire Brothers",2,"Friskies"
"ITEM11KITKABOODLE","Dry Cat","DC KIT KABOODLE 03.2LB","NPP","Retailer","Brookshire Brothers",1,"Kit & Kaboodle"
"ITEM11KITKABOODLE","Dry Cat","DC KIT KABOODLE 03.2LB","NPP","ROM","Brookshire Brothers",1,"Kit & Kaboodle"
"ITEM123CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ","NPP","ROM","Brookshire Brothers",1,"Fancy Feast"
"ITEM12CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 24CT","NPP","Retailer","Brookshire Brothers",2,"Friskies"
"ITEM12CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 24CT","NPP","ROM","Brookshire Brothers",2,"Friskies"
"ITEM143CWFANCYFEASTSAVRYCNTR","Wet Cat","CW FANCY FEAST SAVRY CNTR 03OZ 12CT","NPP","ROM","Brookshire Brothers",2,"Fancy Feast"
"ITEM147CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ 12CT","NPP","ROM","Brookshire Brothers",1,"Fancy Feast"
"ITEM149CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 36CT","NPP","ROM","Brookshire Brothers",1,"Fancy Feast"
"ITEM15ALPOVARIETYSNAPSCR","Dog Treats","DT ALPO VARIETY SNAPS CR 32OZ","NPP","Retailer","Brookshire Brothers",2,"Alpo"
"ITEM15ALPOVARIETYSNAPSCR","Dog Treats","DT ALPO VARIETY SNAPS CR 32OZ","NPP","ROM","Brookshire Brothers",2,"Alpo"
"ITEM15CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 12CT","NPP","Retailer","Brookshire Brothers",2,"Friskies"
"ITEM15CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 12CT","NPP","ROM","Brookshire Brothers",2,"Friskies"
"ITEM15PURINAONE","Wet Dog","DW PURINA ONE 13OZ 06CT","NPP","Retailer","Brookshire Brothers",2,"Purina One"
"ITEM15PURINAONE","Wet Dog","DW PURINA ONE 13OZ 06CT","NPP","ROM","Brookshire Brothers",2,"Purina One"
"ITEM166CWFRISKIESLILSOUPS","Wet Cat","CW FRISKIES LIL SOUPS 01.2OZ","NPP","ROM","Brookshire Brothers",2,"Friskies"
"ITEM16BENEFUL","Wet Dog","DW BENEFUL 10OZ","NPP","Retailer","Brookshire Brothers",2,"Beneful"
"ITEM16BENEFUL","Wet Dog","DW BENEFUL 10OZ","NPP","ROM","Brookshire Brothers",2,"Beneful"
"ITEM16CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","NPP","ROM","Brookshire Brothers",2,"Friskies"
"ITEM1780015827","Wet Cat","CW PURINA ONE TRU INST 03OZ","NPP","ROM","Brookshire Brothers",2,"Purina One"
"ITEM17CWFANCYFEASTSAVRYCNTR","Wet Cat","CW FANCY FEAST SAVRY CNTR 03OZ","NPP","Retailer","Brookshire Brothers",0,"Fancy Feast"
"ITEM17CWFANCYFEASTSAVRYCNTR","Wet Cat","CW FANCY FEAST SAVRY CNTR 03OZ","NPP","ROM","Brookshire Brothers",1,"Fancy Feast"
"ITEM180CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 60CT","NPP","ROM","Brookshire Brothers",1,"Friskies"
"ITEM18CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 12CT","NPP","Retailer","Brookshire Brothers",2,"Fancy Feast"
"ITEM18CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 12CT","NPP","ROM","Brookshire Brothers",2,"Fancy Feast"
"ITEM19CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 30CT","NPP","Retailer","Brookshire Brothers",1,"Fancy Feast"
"ITEM19CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 30CT","NPP","ROM","Brookshire Brothers",2,"Fancy Feast"
"ITEM1BENEFULMEDLEYS","Wet Dog","DW BENEFUL 03OZ 03CT","NPP","Retailer","Brookshire Brothers",2,"Beneful"
"ITEM1BENEFULMEDLEYS","Wet Dog","DW BENEFUL 03OZ 03CT","NPP","ROM","Brookshire Brothers",2,"Beneful"
"ITEM1CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","NPP","Retailer","Brookshire Brothers",2,"Friskies"
"ITEM1CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","NPP","ROM","Brookshire Brothers",2,"Friskies"
"ITEM1CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ","NPP","Retailer","Brookshire Brothers",2,"Fancy Feast"
"ITEM1CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ","NPP","ROM","Brookshire Brothers",2,"Fancy Feast"
"ITEM204CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ","NPP","ROM","Brookshire Brothers",2,"Fancy Feast"
"ITEM210CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ 12CT","NPP","ROM","Brookshire Brothers",2,"Fancy Feast"
"ITEM212CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ 24CT","NPP","ROM","Brookshire Brothers",1,"Fancy Feast"
"ITEM217CWBEYONDORGANIC","Wet Cat","CW BEYOND ORGANIC 03OZ","NPP","ROM","Brookshire Brothers",1,"Beyond"
"ITEM221BELLA","Wet Dog","DW BELLA 03.5OZ","NPP","Retailer","Brookshire Brothers",2,"Bella"
"ITEM221BELLA","Wet Dog","DW BELLA 03.5OZ","NPP","ROM","Brookshire Brothers",2,"Bella"
"ITEM223DWALPO","Wet Dog","DW ALPO 13.2OZ 24CT","NPP","ROM","Brookshire Brothers",1,"Alpo"
