"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM16CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.6,3,4,0,4,0,2,0,3.23087421389401,0,12.344,0,9.704,0,5.457,0,0,0,3.23087421389401,0,0,3.23087421389401,0,42.343,1,0,1,0,1,1,0,"Brookshire Brothers","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.713995686563919,0.0986674739516406,2,0,0,1,0
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,1,3,0,3,0,1,0,1.84762899250908,0,19.996,0,0,0,0,0,0,1,2,1.2,0,2,0,67.039,1,1,1,1,0,0,0,"Brookshire Brothers","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.569695269135486,0.172723922860544,2,0,0,0,0
"ITEM1CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",1.9,1,3,7,3,0,1,5.99536278933623,1.62141849177025,0.401,13.396,0,16.092,0,4.888,0,1.151,0,1.62141849177025,0,0,1.62141849177025,0,59.2005,1,1,1,1,1,1,1,"Brookshire Brothers","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.76266460077781,0.058879690430049,2,1,0,0,0
"ITEM3CTFANCYFEASTDUOSCR_Retailer","NPP","Cat Treats","CT FANCY FEAST DUOS CR 02.1OZ",1.7,1,2,44,2,0,0,32.6021064473683,1.42134719649574,0,57.614,0,0,0,0,0,0,1,2,1.1,0,2,0,2.601,1,1,1,1,0,0,0,"Brookshire Brothers","Retailer","CT FANCY FEAST DUOS CR 02.1OZ",NA,NA,0,9,0,0,0
"ITEM59CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",9.9,8,11,9,11,0,6,6.5273312639484,8.5149257203035,0,12.233,0,13.554,0,4.768,0,0.809,0,8.5149257203035,0,0,8.5149257203035,0,55.7,1,1,1,1,0,1,1,"Brookshire Brothers","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.543391485302086,0.0485435332146986,2,2,0,0,0
"ITEM61CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 04OZ",2.4,2,3,13,3,0,1,8.24395446201263,1.91429334051809,0,3.339,0,0,0,0,0,0,0,1.91429334051809,0,0,1.91429334051809,0,21.302,0,0,1,0,0,0,0,"Brookshire Brothers","ROM","CT WHISKER LICKINS CR 04OZ",0.758043524240061,0.668712117679263,2,3,1,1,0
"ITEM68CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 10OZ",5,4,6,55,6,0,3,19.0020108153883,4.25742693480535,0,6.651,0,0,0,2.712,0,0,0,4.25742693480535,0,0,4.25742693480535,0,18.738,0,0,1,0,0,1,0,"Brookshire Brothers","ROM","CT WHISKER LICKINS CR 10OZ",0.82875271951163,0.745990323172875,2,4,1,1,0
"ITEM7403CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ",5,4,6,51,6,0,3,23.3350694815653,4.8425621916859,0,3.716,0,2.751,0,0.647,0,0,0,4.8425621916859,0,0,4.8425621916859,0,0.624,1,1,0,1,1,1,0,"Brookshire Brothers","ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",0.381692889047774,1.12523780334717,1,36,0,0,1
"ITEM7421CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 09OZ",3.8,3,5,49,5,0,-1,33.4159257632954,2.32259082971732,0,0.277,0,0.214,0,0,0,0,0,2.32259082971732,0,0,2.32259082971732,0,0.349,0,0,0,0,1,0,0,"Brookshire Brothers","ROM","CT KIT KABOODLE CR 09OZ",0.723483280693814,0.729804080011822,1,11,1,1,1
"ITEM7422CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 02.4OZ",1,0,2,10,2,0,0,6.87965821792301,0.989482966254883,0,0.256,0,0,0,0,0,0,0,0.989482966254883,0,0,0.989482966254883,0,0.585,0,1,0,1,0,0,0,"Brookshire Brothers","ROM","CT KIT KABOODLE CR 02.4OZ",0.672106778886224,0.564767230874826,1,8,1,0,1
