"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Description","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_TPR_1","Intercept","Market","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_3","CB_Comp_RP_1","CB_Comp_TPR_2","CB_Comp_RP_2","CB_Comp_TPR_3","WB_Comp_RP_6","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","CB_Comp_RP_3","WB_Comp_Interaction_RP_1","Model_flag"
"ITEM100CWPURINAONEML_ROM","Wet Cat","Brookshire Brothers","CW PURINA ONE TRU INST 03OZ 12CT",-0.643170733980065,0.318198643665566,-0.412768976880829,-0.739511577384975,10,0.551268572015871,0,0,-2.64817177000174,0,0,0,0,0,-10.4639243932653,NA,-8.56204930203534,7.63893377100431,"ROM",0,NA,NA,NA,NA,0,-7.81875843399628,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1
"ITEM106CWFANCYFEASTBROTHS_ROM","Wet Cat","Brookshire Brothers","CW FANCY FEAST BROTHS 01.4OZ 12CT",-0.117919474101008,2.58583263946346,0,0,4.28149055118932,0,5.15676857209383,0,0,0,0,0,0,0,0,NA,0,5.18610103896277,"ROM",0,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2
"ITEM107PURINAONETRUINST_Retailer","Wet Dog","Brookshire Brothers","DW PURINA ONE TRU INST 13OZ",-0.40381511280347,0.250093251068718,0,0,5.21926136833542,0,0,0,0,0,0,0,0,0,0,NA,0,3.18153206656838,"Retailer",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM107PURINAONETRUINST_ROM","Wet Dog","Brookshire Brothers","DW PURINA ONE TRU INST 13OZ",0,2.65738286435777,-0.246603251823953,0,4.78544625032468,0,6.15561288214037,0,0.0364189254326571,0.0102148800589843,-0.046372541871588,0,0.00208438080828656,0,0,NA,0,6.7556790131349,"ROM",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM108CWFANCYFEASTML_ROM","Wet Cat","Brookshire Brothers","CW FANCY FEAST ML 03OZ 48CT",-0.271998494480539,0,0,0,0,0,0,0,0,0,0,0,0,0.365576153535406,0,NA,-0.32577641622627,6.82491295915951,"ROM",0,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1
"ITEM10CWFRISKIES_Retailer","Wet Cat","Brookshire Brothers","CW FRISKIES 05.5OZ 32CT",-0.17958331510776,2.64514872375557,-0.680017521706209,-9.43059140335965,6.70515844391722,0,0,0,0,0,0,0,0,0,0,NA,0,1.87315855716689,"Retailer",0,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2
"ITEM10CWFRISKIES_ROM","Wet Cat","Brookshire Brothers","CW FRISKIES 05.5OZ 32CT",-0.995963227934185,0,0,0,1.16164594093661,0,0.66939335729796,0,0.389936615051789,0,0,-0.0788593511436366,0.0195919759793428,0,0,NA,0,10.2043985445309,"ROM",0,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2
"ITEM117CWFRISKIES_ROM","Wet Cat","Brookshire Brothers","CW FRISKIES 05.5OZ 40CT",0,0,0,0,0,0,1.147525167146,0,0.722576871983154,0,0,0.00734752164962253,0,0,0,NA,0,7.30357036381249,"ROM",0,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2
"ITEM11KITKABOODLE_Retailer","Dry Cat","Brookshire Brothers","DC KIT KABOODLE 03.2LB",-2.5,0.838557132012585,-8.49229418804175,-20.1721011474339,5.4266866816799,0,0,0,-0.80206900245728,0,0,0,0,0,0,0,-1.63511819038942,6.06088868941043,"Retailer",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM11KITKABOODLE_ROM","Dry Cat","Brookshire Brothers","DC KIT KABOODLE 03.2LB",-2.5,0,-6.65102485385746,-10.3058325051544,9.85015212720605,2.12870985806147,10,10,0,0,0,0,0,0,0,0,0,7.17538440159734,"ROM",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM123CWFANCYFEASTNATURALSML_ROM","Wet Cat","Brookshire Brothers","CW FANCY FEAST NATURALS ML 03OZ",0,0.995544554900762,-0.0791167781755507,-2.75380194593455,0,0,10,0,0.233255601591527,0,0,0,0,0.24862108068359,0,NA,0,4.1729569142091,"ROM",0.81785775609229,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1
