"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4"
1113200040,"ROM","DD ALPO 04LB","ITEM428DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","Brookshire Brothers","ALPO",NA,0,0.806204147991337,0.783217883066016,0.786950145834014,0.770894608133614,0.780717230142505,0.818045728238852,0.673913043478261,0
1113200392,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM15ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","Brookshire Brothers","ALPO",NA,0,0.701276150549193,0.678213660610784,0.638042791473104,0.603992681285292,0.689606813917673,0.655162977476643,0.644485838580436,0.631090974749433
1113200681,"ROM","DT ALPO VARIETY SNAPS CR 16OZ","ITEM33ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","Brookshire Brothers","ALPO",NA,0,1,1,1,1,1,1,1,1
1113200681,"Retailer","DT ALPO VARIETY SNAPS CR 16OZ","ITEM33ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","Brookshire Brothers","ALPO",1.5939724301842,0,1,1,1,1,1,1,1,1
1113203137,"ROM","DD ALPO 17.6LB","ITEM763DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD SAVORY BEEF DRY BAG 17.6 POUND","Brookshire Brothers","ALPO",NA,0,1,1,1,1,1,1,1,1
1113210840,"ROM","DW ALPO 13.0-13.2OZ","ITEM3ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","Brookshire Brothers","ALPO",NA,0,0.000440308084623551,0.0000321275384702489,0.00000430102613537456,0,0,0,0,0
1113210860,"ROM","DW ALPO 13.0-13.2OZ","ITEM3ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROASTED CHICKEN AND TOP SIRLOI WET CAN 13.2 OUNCE","Brookshire Brothers","ALPO",NA,0,0,0,0,0,0,0,0,0
1113210929,"ROM","DW ALPO 13.2OZ 12CT","ITEM6ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Brookshire Brothers","ALPO",NA,0,0,0,0,0,0,0,0,0
1113210929,"Retailer","DW ALPO 13.2OZ 12CT","ITEM6ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Brookshire Brothers","ALPO",0.76,0,NA,NA,NA,NA,NA,NA,NA,NA
1113211755,"ROM","DW ALPO 13.0-13.2OZ","ITEM3ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","Brookshire Brothers","ALPO",NA,0,0.00215747439000863,0.00114779761868482,0.000082287232021986,0,0,0,0,0
