"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","CB_Comp_TPR_3","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_2","CB_Comp_TPR_4","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_RP_8","WB_Comp_RP_9","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_TPR_5","CB_Comp_TPR_6"
"ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",1,0,0,"Retailer","Brookshire",NA,640,0,NA,1.98666666666667,1.98666666666667,0.748322147651007,0,0,0,0.00506,1.13968135298359,0.0620284995808885,0.438892882818116,28,1,1,0,NA,NA,NA,NA,0,0.5,0,0,NA,NA,0,0,0,NA,2.01348730305222,4.02697460610444,1.12,0,1.12,1.12,0,0,NA,NA,4.02697460610444,2.01348730305222,1.48666666666667,1.98666666666667,"2022-04-30",NA,1.12,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,0,"Retailer","Brookshire",NA,700,0,NA,1.98731292517007,1.98731292517007,0.35710331480439,0,0,0,0.00545285714285714,1.0531407989157,0.348242100578549,0.285543117318818,25.4285714285714,4.57142857142857,4.39066443982606,0,NA,NA,NA,NA,0.180764131602513,4.90050306644428,0.123782647841436,0.123782647841436,NA,NA,0,0,0,NA,8.69800838886134,6.98373726120828,5.12,0,4.91754417260518,5.12,0,0,NA,NA,6.98373726120828,8.69800838886134,4.0604761904762,1.98724489795919,"2022-02-19",NA,1.12,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,1,0,"Retailer","Brookshire",NA,700,0,NA,1.98731292517007,1.98731292517007,0.35710331480439,0,0,0,0.00545285714285714,1.0531407989157,0.348242100578549,0.285543117318818,25.4285714285714,4.57142857142857,4.39066443982606,0,NA,NA,NA,NA,0.180764131602513,4.90050306644428,0.123782647841436,0.123782647841436,NA,NA,0,0,0,NA,8.69800838886134,6.98373726120828,5.12,0,4.91754417260518,5.12,0,0,NA,NA,6.98373726120828,8.69800838886134,4.0604761904762,1.98724489795919,"2022-02-19",NA,1.12,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,1,"Retailer","Brookshire",NA,700,0,NA,1.98731292517007,1.98731292517007,0.35710331480439,0,0,0,0.00545285714285714,1.0531407989157,0.348242100578549,0.285543117318818,25.4285714285714,4.57142857142857,4.39066443982606,0,NA,NA,NA,NA,0.180764131602513,4.90050306644428,0.123782647841436,0.123782647841436,NA,NA,0,0,0,NA,8.69800838886134,6.98373726120828,5.12,0,4.91754417260518,5.12,0,0,NA,NA,6.98373726120828,8.69800838886134,4.0604761904762,1.98724489795919,"2022-02-19",NA,1.12,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"Retailer","Brookshire",NA,360,0,NA,5.99,5.99,0.666110183639399,0,0,0,0.00176,1.13464518630976,0,0,28,2,1.48514375963558,0,NA,NA,NA,NA,0.51485624036442,2.97028751927116,1.02971248072884,1.02971248072884,NA,NA,0,0,0,NA,2.97028751927116,1.48514375963558,11.2,0,8.31680505395925,11.2,0.828918546986716,0.828918546986716,0,0,1.48514375963558,2.97028751927116,7.98,5.99,"2022-04-16",NA,5.6,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"Retailer","Brookshire",NA,360,0,NA,5.99,5.99,0.666110183639399,0,0,0,0.00176,1.13464518630976,0,0,28,2,1.48514375963558,0,NA,NA,NA,NA,0.51485624036442,2.97028751927116,1.02971248072884,1.02971248072884,NA,NA,0,0,0,NA,2.97028751927116,1.48514375963558,11.2,0,8.31680505395925,11.2,0.828918546986716,0.828918546986716,0,0,1.48514375963558,2.97028751927116,7.98,5.99,"2022-04-16",NA,5.6,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"Retailer","Brookshire",NA,360,0,NA,5.99,5.99,0.666110183639399,0,0,0,0.00176,1.13464518630976,0,0,28,2,1.48514375963558,0,NA,NA,NA,NA,0.51485624036442,2.97028751927116,1.02971248072884,1.02971248072884,NA,NA,0,0,0,NA,2.97028751927116,1.48514375963558,11.2,0,8.31680505395925,11.2,0.828918546986716,0.828918546986716,0,0,1.48514375963558,2.97028751927116,7.98,5.99,"2022-04-16",NA,5.6,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"Retailer","Brookshire",NA,360,0,NA,5.99,5.99,0.666110183639399,0,0,0,0.00176,1.13464518630976,0,0,28,2,1.48514375963558,0,NA,NA,NA,NA,0.51485624036442,2.97028751927116,1.02971248072884,1.02971248072884,NA,NA,0,0,0,NA,2.97028751927116,1.48514375963558,11.2,0,8.31680505395925,11.2,0.828918546986716,0.828918546986716,0,0,1.48514375963558,2.97028751927116,7.98,5.99,"2022-04-16",NA,5.6,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire",NA,NA,NA,NA,9.95392182397824,9.87977229678659,0,0.000564285714285714,0.00317571428571429,0,0.511349285714286,1.27439084973535,0,0,35,2514.321,2487.23917257633,2,NA,NA,NA,NA,27.0818274236722,24504.8555993713,266.353900628697,266.353900628697,NA,NA,0,0,0,NA,24925.7689185724,2529.93541134997,NA,0,NA,NA,NA,NA,NA,NA,2529.93541134997,24925.7689185724,256.170197612196,9.85333629600288,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire",NA,NA,NA,NA,9.89768384375644,9.81764301750979,0,0,0.00729692307692308,0,0.514927692307692,1.20891740630637,0,0,31.9230769230769,2505.06253846154,2474.03609616492,2,NA,NA,NA,NA,31.0264422966185,24281.2120021915,304.583767039265,304.583767039265,NA,NA,0,0,0,NA,24626.0427315942,2509.22280100654,NA,0,NA,NA,NA,NA,NA,NA,2509.22280100654,24626.0427315942,204.867072272594,9.81483946508056,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
