"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","CB_Comp_TPR_3","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_2","CB_Comp_TPR_4","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_RP_8","WB_Comp_RP_9","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_TPR_5","CB_Comp_TPR_6"
"ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",1,0,0,"Retailer","Brookshire",NA,640,0,NA,1.98666666666667,1.98666666666667,0.748322147651007,0,0,0,0.00506,1.13968135298359,0.0620284995808885,0.438892882818116,28,0.616627401377902,0.616627401377902,0,NA,NA,NA,NA,0,0.308313700688951,0,1.12,0,0.69062268954325,1.12,0,0,0,0,0,NA,NA,0.916719403381816,1.98666666666667,"2022-04-30",NA,1.12,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,0,"Retailer","Brookshire",NA,700,0,NA,1.98666666666667,1.98666666666667,0.35710331480439,0,0,0,0.00506,1.0531407989157,0.348242100578549,0.285543117318818,25.4285714285714,1.06473427149594,1.06473427149594,0,NA,NA,NA,NA,0,1.32998482539938,0,5.12,0,1.19250238407545,5.12,1.1021895148592,1.1021895148592,0,0,0,NA,NA,0.785287260639219,1.98659865575754,"2022-02-19",NA,1.12,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,1,0,"Retailer","Brookshire",NA,700,0,NA,1.98666666666667,1.98666666666667,0.35710331480439,0,0,0,0.00506,1.0531407989157,0.348242100578549,0.285543117318818,25.4285714285714,1.06473427149594,1.06473427149594,0,NA,NA,NA,NA,0,1.32998482539938,0,5.12,0,1.19250238407545,5.12,1.1021895148592,1.1021895148592,0,0,0,NA,NA,0.785287260639219,1.98659865575754,"2022-02-19",NA,1.12,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,1,"Retailer","Brookshire",NA,700,0,NA,1.98666666666667,1.98666666666667,0.35710331480439,0,0,0,0.00506,1.0531407989157,0.348242100578549,0.285543117318818,25.4285714285714,1.06473427149594,1.06473427149594,0,NA,NA,NA,NA,0,1.32998482539938,0,5.12,0,1.19250238407545,5.12,1.1021895148592,1.1021895148592,0,0,0,NA,NA,0.785287260639219,1.98659865575754,"2022-02-19",NA,1.12,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"Retailer","Brookshire",NA,360,0,NA,5.99,5.99,0.666110183639399,0,0,0,0.00176,1.13464518630976,0,0,28,0.0766364912630736,0.0766364912630736,0,NA,NA,NA,NA,0,0.153272982526147,0,11.2,0,0.429164351073212,11.2,3.09661524906645,3.09661524906645,0,0,0,NA,NA,0.305779600139664,5.99,"2022-04-16",NA,5.6,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"Retailer","Brookshire",NA,360,0,NA,5.99,5.99,0.666110183639399,0,0,0,0.00176,1.13464518630976,0,0,28,0.0766364912630736,0.0766364912630736,0,NA,NA,NA,NA,0,0.153272982526147,0,11.2,0,0.429164351073212,11.2,3.09661524906645,3.09661524906645,0,0,0,NA,NA,0.305779600139664,5.99,"2022-04-16",NA,5.6,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"Retailer","Brookshire",NA,360,0,NA,5.99,5.99,0.666110183639399,0,0,0,0.00176,1.13464518630976,0,0,28,0.0766364912630736,0.0766364912630736,0,NA,NA,NA,NA,0,0.153272982526147,0,11.2,0,0.429164351073212,11.2,3.09661524906645,3.09661524906645,0,0,0,NA,NA,0.305779600139664,5.99,"2022-04-16",NA,5.6,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"Retailer","Brookshire",NA,360,0,NA,5.99,5.99,0.666110183639399,0,0,0,0.00176,1.13464518630976,0,0,28,0.0766364912630736,0.0766364912630736,0,NA,NA,NA,NA,0,0.153272982526147,0,11.2,0,0.429164351073212,11.2,3.09661524906645,3.09661524906645,0,0,0,NA,NA,0.305779600139664,5.99,"2022-04-16",NA,5.6,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire",NA,NA,NA,NA,9.88697580687467,9.88697580687467,0,0,0,0,0.52027,1.27439084973535,0,0,35,2173.67481387759,2173.67481387759,2,NA,NA,NA,NA,0,21491.0702968206,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.88697580687467,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire",NA,NA,NA,NA,9.88697580687467,9.88697580687467,0,0,0,0,0.52027,1.20891740630637,0,0,31.9230769230769,2127.03530458356,2127.03530458356,2,NA,NA,NA,NA,0,21029.946596786,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.88697580687467,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
