"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Item","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","CB_Comp_TPR_3","Intercept","Market","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_2","CB_Comp_TPR_4","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_RP_8","WB_Comp_RP_9","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_TPR_5","CB_Comp_TPR_6","Model_flag"
"ITEM100CWPURINAONEML_ROM","Wet Cat","Brookshire","CW PURINA ONE TRU INST 03OZ 12CT",-2.5,2.8949913773476,0,0,10,10,0,0,-1.87381416213905,0,0,0,0.0236388213751753,0,0,0,NA,10.8160210395162,"ROM",0,0,NA,NA,NA,-5.55792780124506,-2.03937795747522,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM105CWFANCYFEASTML_ROM","Wet Cat","Brookshire","CW FANCY FEAST ML 03OZ 12CT",-1.06366878490527,0.465905328401858,-0.23585069155804,0,0,0.244924141446881,8.87856353059133,0,1.08911397570732,0.0148715117943121,0,0,0,0,0,0,NA,9.35113584093158,"ROM",0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM108CWFANCYFEASTMEDLEYS_ROM","Wet Cat","Brookshire","CW FANCY FEAST MEDLEYS 03OZ 18CT",0,0,-1.45696610084775,-1.42670517405378,10,0,0,0,0,0,0,0,-0.161880340641062,0,0,0,NA,3.91315879458251,"ROM",0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM109CWFRISKIES_ROM","Wet Cat","Brookshire","CW FRISKIES 03OZ 24CT",-2.5,0,-2.65132165098453,-7.49676547592651,10,0,0,0,0,0,0,0,-0.136462740846506,0,0,0,NA,9.39844632761093,"ROM",0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM10CWFRISKIES_Retailer","Wet Cat","Brookshire","CW FRISKIES 05.5OZ 12CT",-0.452722206299458,5.96119592082678,0,0,5.40327430613943,0,0,0,0,0,0,0,0,0,0,0,NA,3.61480298129626,"Retailer",0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM10CWFRISKIES_ROM","Wet Cat","Brookshire","CW FRISKIES 05.5OZ 12CT",-1.08901969507998,0,0,0,0,0,1.99973705026142,0,0.747140118143995,0,-0.0333927515112883,0,0.00817783645226563,0,-0.033207718827482,0,NA,10.2871743709819,"ROM",0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM10TIDYCATSCLUMPLW_Retailer","Litter","Brookshire","CL TIDY CATS CLUMP LW 17LB - PAIL",-0.528380597804165,0.568881200005439,0,0,9.91618970378292,0,0,0,0.586726981720286,0,0,0,0.0000817598898286607,0,NA,NA,NA,2.21152884768048,"Retailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ITEM10TIDYCATSCLUMPLW_ROM","Litter","Brookshire","CL TIDY CATS CLUMP LW 17LB - PAIL",-0.550490572241115,0,0,0,3.52198910773464,0,0,0,0.134146467529567,0,0,0,0,0,NA,NA,NA,7.05160431276004,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM112CWFANCYFEASTBROTHS_ROM","Wet Cat","Brookshire","CW FANCY FEAST BROTHS 01.4OZ 12CT",-0.306762664026966,4.83730464193551,0,0,5.92245491209403,6.30748904816792,0,0,0,0,0,0,0,0,0,0,NA,5.20507858537768,"ROM",0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM114CWFANCYFEASTML_ROM","Wet Cat","Brookshire","CW FANCY FEAST ML 03OZ 48CT",-1.57902435975181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,11.8145501619248,"ROM",0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
