"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM100CWPURINAONEML","Wet Cat","CW PURINA ONE TRU INST 03OZ 12CT","NPP","ROM","Brookshire",1,"Purina One"
"ITEM105CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 12CT","NPP","ROM","Brookshire",2,"Fancy Feast"
"ITEM108CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 18CT","NPP","ROM","Brookshire",1,"Fancy Feast"
"ITEM109CWFRISKIES","Wet Cat","CW FRISKIES 03OZ 24CT","NPP","ROM","Brookshire",1,"Friskies"
"ITEM10CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 12CT","NPP","Retailer","Brookshire",2,"Friskies"
"ITEM10CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 12CT","NPP","ROM","Brookshire",2,"Friskies"
"ITEM10TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 17LB - PAIL","NPP","Retailer","Brookshire",0,"Tidy Cats"
"ITEM10TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 17LB - PAIL","NPP","ROM","Brookshire",2,"Tidy Cats"
"ITEM112CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ 12CT","NPP","ROM","Brookshire",2,"Fancy Feast"
"ITEM114CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 48CT","NPP","ROM","Brookshire",1,"Fancy Feast"
"ITEM11CTFANCYFEASTDUOSCR","Cat Treats","CT FANCY FEAST DUOS CR 02.1OZ","NPP","Retailer","Brookshire",0,"Fancy Feast"
"ITEM11CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 12CT","NPP","Retailer","Brookshire",2,"Fancy Feast"
"ITEM11CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 12CT","NPP","ROM","Brookshire",2,"Fancy Feast"
"ITEM11DENTALIFEDT","Dog Treats","DT DENTALIFE DT 17.1-20.7OZ","NPP","Retailer","Brookshire",2,"Dentalife"
"ITEM11DENTALIFEDT","Dog Treats","DT DENTALIFE DT 17.1-20.7OZ","NPP","ROM","Brookshire",1,"Dentalife"
"ITEM123CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 40CT","NPP","ROM","Brookshire",2,"Friskies"
"ITEM12PURINAONEML","Dry Cat","DC PURINA ONE ML 16LB","NPP","Retailer","Brookshire",2,"Purina One"
"ITEM12PURINAONEML","Dry Cat","DC PURINA ONE ML 16LB","NPP","ROM","Brookshire",2,"Purina One"
"ITEM12PURINAONETRUINST","Wet Dog","DW PURINA ONE TRU INST 13OZ","NPP","Retailer","Brookshire",2,"Purina One"
"ITEM12PURINAONETRUINST","Wet Dog","DW PURINA ONE TRU INST 13OZ","NPP","ROM","Brookshire",2,"Purina One"
"ITEM12TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 08.5LB","NPP","Retailer","Brookshire",2,"Tidy Cats"
"ITEM12TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 08.5LB","NPP","ROM","Brookshire",2,"Tidy Cats"
"ITEM149CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ 12CT","NPP","ROM","Brookshire",1,"Fancy Feast"
"ITEM14ALPO","Wet Dog","DW ALPO 13.0-13.2OZ","NPP","Retailer","Brookshire",1,"Alpo"
"ITEM14ALPO","Wet Dog","DW ALPO 13.0-13.2OZ","NPP","ROM","Brookshire",1,"Alpo"
"ITEM14CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ","NPP","Retailer","Brookshire",2,"Fancy Feast"
"ITEM14CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ","NPP","ROM","Brookshire",1,"Fancy Feast"
"ITEM152CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 36CT","NPP","ROM","Brookshire",1,"Fancy Feast"
"ITEM154CWFRISKIESFAV","Wet Cat","CW FRISKIES FAV 05.5OZ","NPP","Retailer","Brookshire",2,"Friskies"
"ITEM154CWFRISKIESFAV","Wet Cat","CW FRISKIES FAV 05.5OZ","NPP","ROM","Brookshire",2,"Friskies"
"ITEM1780014607","Wet Cat","CW PURINA ONE TRU INST 03OZ","NPP","ROM","Brookshire",1,"Purina One"
"ITEM179CWFRISKIESLILSOUPS","Wet Cat","CW FRISKIES LIL SOUPS 01.2OZ","NPP","ROM","Brookshire",2,"Friskies"
"ITEM17BEYOND","Dry Cat","DC BEYOND SIMPLY 03LB","NPP","Retailer","Brookshire",0,"Beyond"
