"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM11CTFANCYFEASTDUOSCR_Retailer","NPP","Cat Treats","CT FANCY FEAST DUOS CR 02.1OZ",2,1,3,78,3,0,1,28.5638738197529,1.92688904840075,0,10.969,0,0,0,0,0,0,1,2,1.1,0,2,0,0.506,1,1,1,1,1,0,0,"Brookshire","Retailer","CT FANCY FEAST DUOS CR 02.1OZ",NA,NA,0,19,0,0,0
"ITEM17CTBEYONDCR_Retailer","NPP","Cat Treats","CT BEYOND CR 02.1OZ",1.8,1,2,39,2,0,1,17.8228314771491,1.75433130282756,0,40.495,0,0,0,0,0,0,1,2,1.3,0,2,0,0.714,1,1,1,1,1,0,0,"Brookshire","Retailer","CT BEYOND CR 02.1OZ",NA,NA,0,9,0,0,0
"ITEM18CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",8,7,9,70,9,0,5,25.0554431220957,7.25520581948589,0,2.809,0,0,0,0,0,0,5,7,5.6,0,7,0,0.176,1,1,1,1,1,0,0,"Brookshire","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,0,11,0,0,0
"ITEM18CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",10,8,11,9,11,0,6,7.8779759957704,8.62012447609135,0,12.077,0,6.015,0,3.219,0,0,0,8.62012447609135,0,0,8.62012447609135,0,52.967,1,1,1,1,0,1,0,"Brookshire","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.748718851963601,0.0357540394263313,2,1,0,0,0
"ITEM20CTDENTALIFEDNT_Retailer","NPP","Cat Treats","CT DENTALIFE DNT 13.5OZ",8,7,9,28,9,0,7,25.4484772632457,7.9493,0,0,0,0,0,0,0,0,4,6,5.2,0,6,0,1.031,1,1,1,1,1,0,0,"Brookshire","Retailer","CT DENTALIFE DNT 13.5OZ",NA,NA,0,1,0,0,0
"ITEM3CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2.1,1,3,41,3,0,1,11.1554701575817,1.86785204380839,0,52.741,0,62.859,0,0,0,0,1,2,1.2,0,2,0,59.961,1,1,0,1,1,0,0,"Brookshire","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.728574797032571,0.0558580683479436,2,11,0,0,1
"ITEM3CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",1.9,1,3,0,3,0,1,0,1.69187089183939,0,11.054,0,6.982,0,2.258,0,0,0,1.69187089183939,0,0,1.69187089183939,0,53.886,1,0,1,0,1,1,0,"Brookshire","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.603796394311325,0.0563039975206788,2,0,0,1,0
"ITEM5CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",4.2,3,5,6,5,0,3,5.1238504948464,3.80082343580921,0,38.992,0,0,0,0,0,0,1,3,2.3,0,3,0,55.6465,1,1,1,1,0,0,0,"Brookshire","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.791106220814184,0.0658105404309799,2,1,0,0,0
"ITEM5CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.6,3,4,0,4,0,2,0,3.19219295895242,0.16,11.937,0,5.77,0,2.698,0,0.633,0,3.19219295895242,0,0,3.19219295895242,0,44.531,1,0,1,0,1,0,0,"Brookshire","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.632931175350137,0.0987330324419114,2,0,0,1,0
"ITEM69CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 04OZ",2.4,2,3,27,3,0,1,10.1435341501649,1.91713426257294,0,9.489,0,0,0,0,0,0,0,1.91713426257294,0,0,1.91713426257294,0,24.146,0,0,1,0,0,0,0,"Brookshire","ROM","CT WHISKER LICKINS CR 04OZ",0.74576176953579,1.05869533347033,2,7,1,1,0
"ITEM70CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 10OZ",5,4,6,41,6,0,3,14.1841648980447,4.2855752793166,0,9.617,0,0,0,2.023,0,0,0,4.2855752793166,0,0,4.2855752793166,0,19.7445,0,0,1,0,0,0,0,"Brookshire","ROM","CT WHISKER LICKINS CR 10OZ",0.848771590567093,0.757039990507679,2,5,1,1,0
"ITEM8105CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ",5,4,6,51,6,0,2,24.6506345766117,4.75602208181691,0,3.874,0,3.029,0,1.065,0,0.818,0,4.75602208181691,0,0,4.75602208181691,0,0.961,1,1,0,1,1,1,1,"Brookshire","ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",0.322319026822993,1.24908268487781,1,39,0,0,1
"ITEM8124CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 09OZ",3.8,3,5,25,5,0,2,10.4810638973366,3.43069509802081,0,0.104,0,0.326,0,0,0,0,0,3.43069509802081,0,0,3.43069509802081,0,0.418,0,1,0,1,0,0,0,"Brookshire","ROM","CT KIT KABOODLE CR 09OZ",0.00563155106928877,0.362356660747643,1,4,1,0,1
"ITEM8125CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 02.4OZ",1,0,2,19,2,0,0,11.8225911586615,0.988163543307439,0,0.321,0,0,0,0,0,0,0,0.988163543307439,0,0,0.988163543307439,0,0.753,0,1,0,1,0,0,0,"Brookshire","ROM","CT KIT KABOODLE CR 02.4OZ",0.739116620975969,0.588907404854858,1,7,1,0,1
"ITEM8141CTWHISKERLICKINSAO_ROM","NPP","Cat Treats","CT WHISKER LICKINS AO",3.9,3,5,21,5,0,1,10.1157945132575,3.00794625441699,0,4.593,0,4.938,0,0.686,0,0,0,3.00794625441699,0,0,3.00794625441699,0,4.552,0,1,1,1,1,1,0,"Brookshire","ROM","CT WHISKER LICKINS AO",0.671506948186334,0.227527072843323,1,13,1,0,0
"ITEM831CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 01.7OZ",2.3,2,3,14,3,0,0,7.09144907379269,1.05399015131261,0,3.03,0,5.164,0,0.438,0,0.107,0,1.05399015131261,0,0,1.05399015131261,0,5.186,1,0,0,0,1,1,1,"Brookshire","ROM","CT WHISKER LICKINS CR 01.7OZ",0.731299027984773,0.160703291432997,1,8,0,1,1
"ITEM832CTFANCYFEASTPUREFLAKED_ROM","NPP","Cat Treats","CT FANCY FEAST PURE FLAKED 01.06OZ",4,3,5,26,5,0,2,11.795547849054,3.69392591048159,0,7.908,0,4.967,0,0,0,0,0,3.69392591048159,0,0,3.69392591048159,0,5.372,1,1,1,1,1,0,0,"Brookshire","ROM","CT FANCY FEAST PURE FLAKED 01.06OZ",0.565162971321412,0.379442183775385,1,14,0,0,0
"ITEM849CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 01OZ",2,1,3,35,3,0,1,17.6984911109443,1.94605638222253,0,18.993,0,24.809,0,3.045,0,0,0,1.94605638222253,0,0,1.94605638222253,0,32.0675,0,1,1,1,0,1,0,"Brookshire","ROM","CT FANCY FEAST SAVORY CRAVINGS 01OZ",0.920454202055727,0.191721185511656,2,18,1,0,0
"ITEM89CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",14.3,12,16,0,16,0,10,0,12.6487699618582,0,4.369,0,4.735,0,2.487,0,0,0,12.6487699618582,0,0,12.6487699618582,0,32.487,1,0,1,0,0,0,0,"Brookshire","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.827399849265865,0.0855599946532268,2,0,0,1,0
"ITEM11DENTALIFEDT_Retailer","NPP","Dog Treats","DT DENTALIFE DT 17.1-20.7OZ",11,9,13,0,12,0,6,0,9.22470586633467,0,10.171,0,0,0,0,0,0,5,8,6.6,0,8,0,62.4805,1,1,1,1,0,0,0,"Brookshire","Retailer","DT DENTALIFE DT 17.1-20.7OZ",0.523010850710832,0.0655625272090839,2,0,0,0,0
"ITEM11DENTALIFEDT_ROM","NPP","Dog Treats","DT DENTALIFE DT 17.1-20.7OZ",11.1,9,13,7,13,0,8,5.87891163459514,9.90373053501941,0,1.567,0,5.911,0,1.486,0,0,0,9.90373053501941,0,0,9.90373053501941,0,6.517,1,1,0,1,0,0,0,"Brookshire","ROM","DT DENTALIFE DT 17.1-20.7OZ",NA,NA,1,1,0,0,1
"ITEM19BEGGINMT_Retailer","NPP","Dog Treats","DT BEGGIN MT 06OZ",4.3,3,5,47,5,0,2,42.185091982798,3.72172103526056,0,60.112,0,0,0,3.727,0,0,2,4,2.8,0,4,0,78.6065,1,1,1,1,0,0,0,"Brookshire","Retailer","DT BEGGIN MT 06OZ",0.701449461112978,0.0780230127786188,2,1,0,0,0
"ITEM19BEGGINMT_ROM","NPP","Dog Treats","DT BEGGIN MT 06OZ",3.8,3,5,0,5,0,2,0,3.28689968510214,0,9.482,0,10.72,0,31.516,0,1.047,0,3.28689968510214,0,0,3.28689968510214,0,67.596,1,0,1,0,1,0,0,"Brookshire","ROM","DT BEGGIN MT 06OZ",0.854186380960944,0.043840302899444,2,0,0,1,0
"ITEM20001DTBEGGINFUNSIZEMT_ROM","NPP","Dog Treats","DT BEGGIN FUN SIZE MT 15OZ",10,9,11,94,11,0,3,40.4147934891183,7.65328376866692,0,12.208,0,0,0,7.551,0,0,0,7.65328376866692,0,0,7.65328376866692,0,0.544,0,1,0,1,0,1,0,"Brookshire","ROM","DT BEGGIN FUN SIZE MT 15OZ",NA,NA,1,54,1,0,1
