"Acting_PPG_Item_No","PPG_Cat","PPG_MFG","PPG_Item_No","Modelled_PPG_Description","model_RSq","model_CVErrorMean","model_CVErrorSD","model_coefficient_name","model_coefficient_value","TrainMAPE","approach_edlp","mean_edlp","std_edlp","approach_tpr","mean_tpr","std_tpr","rhat","Run","Reason","Model_flag","Retailer","Market","Brand","size_cuts","price_cuts","grp_based_on","Model_type","model_box","Modelled_PPG_Item_No","acting_box","Variable","CompKey_WB_Interaction","CompKey_WB_Interaction_TPR","CompKey_CB","CompKey_WB","CompKey_CB_TPR","CompKey_WB_TPR","CompKey","Acting_PPG_Item"
"ITEM10CTTEMPTATIONSCR","Cat Treats","NPP","ITEM831CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 01.7OZ",0.731299027984773,0.0408263605033214,0.00429312839506591,"ITEM10CTTEMPTATIONSCR_Retailer_PromotedDiscount",-0.30858833419135,0.160703291432997,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Brookshire","ROM",NA,NA,NA,NA,NA,"ROM","ITEM831CTWHISKERLICKINSCR","Retailer","Promoted Discount",NA,NA,NA,NA,1,NA,"CB_Comp_TPR_1","CT TEMPTATIONS CR 14-16OZ"
"ITEM11CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ",0.916135015008842,NA,NA,"ACV_Selling",4.38136655686604,0.427492297724332,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Brookshire","Retailer","FANCY FEAST","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM11CTFANCYFEASTDUOSCR","Retailer","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM11CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ",0.916135015008842,NA,NA,"monthno",-0.156375475082232,0.427492297724332,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Brookshire","Retailer","FANCY FEAST","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM11CTFANCYFEASTDUOSCR","Retailer","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM11CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ",0.916135015008842,NA,NA,"wk_sold_median_base_price_byppg_log",-0.760884986747021,0.427492297724332,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Brookshire","Retailer","FANCY FEAST","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM11CTFANCYFEASTDUOSCR","Retailer","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM11CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ",0.916135015008842,NA,NA,"tpr_discount_byppg",0.0568036506209475,0.427492297724332,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Brookshire","Retailer","FANCY FEAST","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM11CTFANCYFEASTDUOSCR","Retailer","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM11CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ",0.916135015008842,NA,NA,"ACV_Feat_Only",1.6619188987679,0.427492297724332,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Brookshire","Retailer","FANCY FEAST","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM11CTFANCYFEASTDUOSCR","Retailer","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM11CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM11CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ",0.916135015008842,NA,NA,"tpr_discount_byppg_lag2",-0.811168352092364,0.427492297724332,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Brookshire","Retailer","FANCY FEAST","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM11CTFANCYFEASTDUOSCR","Retailer","Pantry Loading 2",NA,NA,NA,NA,NA,NA,"Pantry Loading 2","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM15CTMEOWMIXIRRESISTIBLESTN","Cat Treats","NPP","ITEM831CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 01.7OZ",0.731299027984773,0.0408263605033214,0.00429312839506591,"ITEM15CTMEOWMIXIRRESISTIBLESTN_Retailer_PromotedDiscount",-0.42535214667911,0.160703291432997,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Brookshire","ROM",NA,NA,NA,NA,NA,"ROM","ITEM831CTWHISKERLICKINSCR","Retailer","Promoted Discount",NA,NA,NA,NA,2,NA,"CB_Comp_TPR_2","CT MEOW MIX IRRESISTIBLES TN 03OZ"
"ITEM17CTBEYONDCR","Cat Treats","NPP","ITEM17CTBEYONDCR_Retailer","CT BEYOND CR 02.1OZ",0.931211985606926,NA,NA,"ACV_Selling",3.50985425299597,0.27813446622662,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Brookshire","Retailer","BEYOND","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM17CTBEYONDCR","Retailer","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT BEYOND CR 02.1OZ"
"ITEM17CTBEYONDCR","Cat Treats","NPP","ITEM17CTBEYONDCR_Retailer","CT BEYOND CR 02.1OZ",0.931211985606926,NA,NA,"monthno",-0.170650530095377,0.27813446622662,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Brookshire","Retailer","BEYOND","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM17CTBEYONDCR","Retailer","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT BEYOND CR 02.1OZ"
