"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4"
1113200040,"ROM","DD ALPO 04LB","ITEM503DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","Brookshire","ALPO",NA,0,0.902586205003871,0.850389900664941,0.840524319263382,0.812081241711209,0.866575393812927,0.808611177107257,0.173913043478261,0
1113200040,"Retailer","DD ALPO 04LB","ITEM503DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","Brookshire","ALPO",2.87727805771874,0,0.673978296005542,0.643681562592483,0.572902884360942,0.594077873630217,0.604776739356179,0.283018867924528,0,NA
1113200392,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM53ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","Brookshire","ALPO",NA,0,0.616626065773447,0.5774967817087,0.528747009996459,0.503772588372883,0.566384863795279,0.523488055747152,0.408652788169535,0.504171872211315
1113200681,"ROM","DT ALPO VARIETY SNAPS CR 16OZ","ITEM563DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","Brookshire","ALPO",NA,0,1,1,1,1,1,1,1,1
1113203137,"ROM","DD ALPO 17.6LB","ITEM837DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD SAVORY BEEF DRY BAG 17.6 POUND","Brookshire","ALPO",NA,0,1,1,1,1,1,1,1,1
1113210840,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","Brookshire","ALPO",NA,0,0.000456491118887345,0.0000639085128092837,0.0000092940213517036,0.00000479681948610829,0.0000146278597868149,0,0,0
1113210840,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","Brookshire","ALPO",0.76,0,0,NA,0,0,0,0,0,0
1113210860,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROASTED CHICKEN AND TOP SIRLOI WET CAN 13.2 OUNCE","Brookshire","ALPO",0.76,0,0.5,NA,0,0,0,0,0,0
1113210929,"ROM","DW ALPO 13.2OZ 12CT","ITEM32ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Brookshire","ALPO",NA,0,0,0,0,0,0,0,0,0
1113211755,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","Brookshire","ALPO",NA,0,0.00243514630673968,0.00100479702775019,0.0000784880103151369,0,0,0,0,0
1113211755,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","Brookshire","ALPO",0.76,0,0,NA,0,0,0,0,0,0
1113212516,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","Brookshire","ALPO",NA,0,0.00386426412495975,0.00163044767347176,0.000117732015472705,0.00000479681948610829,0,0.0000105150970663857,0,0
1113212516,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","Brookshire","ALPO",0.76,0,0,NA,0,0,0,0,0,0
1113212531,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","Brookshire","ALPO",NA,0,0.00209715360195765,0.000538917664051828,0.0000578320478609756,0.0000191872779444331,0.00000487595326227165,0,0,0.0025624599615631
1113212534,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LONDON GRILL AND WHOLESOME VEG WET CAN 13.2 OUNCE","Brookshire","ALPO",NA,0,0.00299900191000338,0.000506963407647187,0.0000392440051575684,0,0,0,0.000123903377668027,0
1113212541,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT TURKEY AND BACON WET CAN 13.2 OUNCE","Brookshire","ALPO",NA,0,0.0000556696486447981,0.00000456489377209169,0.0000046470106758518,0.00000959363897221657,0,0,0,0
1113212541,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT TURKEY AND BACON WET CAN 13.2 OUNCE","Brookshire","ALPO",0.76,0,0,NA,0,0,0,0,0,0
1113212544,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT CHICKEN AND WHOLESOME VEGGIE A WET CAN 13.2 OUNCE","Brookshire","ALPO",NA,0,0.00916083037204204,0.00256677129464058,0.000196220025787842,0,0,0,0,0
1113212544,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT CHICKEN AND WHOLESOME VEGGIE A WET CAN 13.2 OUNCE","Brookshire","ALPO",0.76,0,0.5,NA,0,0,0,0,0,0
1113212552,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE","Brookshire","ALPO",NA,0,0.00493312137893987,0.00191347108734145,0.000140967068851964,0.00000959363897221657,0,0.00000525754853319286,0,0
1113212552,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE","Brookshire","ALPO",0.76,0,0,NA,0,0,0,0,0,0
1113212555,"ROM","DW ALPO 13.2OZ 12CT","ITEM32ALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Brookshire","ALPO",NA,0,0,0,0,0,0,0,0,0
1113212556,"ROM","DW ALPO 13.2OZ 06CT","ITEM292DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE X6","Brookshire","ALPO",NA,0,0.626009121728738,0.704526861194437,0,0.5,1,0,0,NA
1113212561,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT STEW WITH BEEF AND VEGETABLES WET CAN 13.2 OUNCE","Brookshire","ALPO",NA,0,0.00461023741680004,0.00159849341706712,0.000275730378451667,0.00000959363897221657,0,0.00000525754853319286,0.000123903377668027,0
1113212561,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT STEW WITH BEEF AND VEGETABLES WET CAN 13.2 OUNCE","Brookshire","ALPO",0.76,0,0,NA,0,0,0,0,0,0
1113212665,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT ROAST BEEF WET CAN 13.2 OUNCE","Brookshire","ALPO",NA,0,0,0,0,0,0,0,0,0
1113212772,"ROM","DW ALPO 13.2OZ 12CT","ITEM32ALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE BEEF LOVERS PACK TRAY IN WRAP 158.4 OUNCE","Brookshire","ALPO",NA,0,0.000149556684077059,0,0,0,0,0,0,0
1113212772,"Retailer","DW ALPO 13.2OZ 12CT","ITEM32ALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE BEEF LOVERS PACK TRAY IN WRAP 158.4 OUNCE","Brookshire","ALPO",3.23497849041846,0,0,0,0,0,0,0,0,0
1113213597,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT T BONE STEAK WET CAN 13 OUNCE","Brookshire","ALPO",NA,0,0.00432075524384709,0.00156653916066248,0.000150261090203668,0,0.00000487595326227165,0.00000525754853319286,0.0000619516888340135,0
1113213597,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT T BONE STEAK WET CAN 13 OUNCE","Brookshire","ALPO",0.76,0,0,NA,0,0,0,0,0,0
1113213604,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROTISSERIE CHICKEN WET CAN 13 OUNCE","Brookshire","ALPO",NA,0,0.000835044729671972,0.0000319542564046418,0,0,0,0,0,0
1113213604,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROTISSERIE CHICKEN WET CAN 13 OUNCE","Brookshire","ALPO",0.76,0,0,NA,0,0,0,0,0,0
1113213606,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT BEEF TENDERLOIN WET CAN 13 OUNCE","Brookshire","ALPO",NA,0,0.00271349454996367,0.00102305660283856,0.0000924290423426923,0,0,0,0,0
1113213606,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT BEEF TENDERLOIN WET CAN 13 OUNCE","Brookshire","ALPO",0.76,0,0,NA,0,0,0,0,0,0
1113214286,"ROM","DW ALPO 13.2OZ 12CT","ITEM32ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 156 OUNCE","Brookshire","ALPO",NA,0,0.000149556684077059,0,0,0,0,0,0,0
1113214287,"ROM","DW ALPO 13.2OZ 12CT","ITEM32ALPO","Wet Dog","PURINA ALPO PRIME CLASSICS DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Brookshire","ALPO",NA,0,0,0,0,0,0,0,0,0
1113214543,"ROM","DD ALPO 14LB","ITEM628DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 14 POUND","Brookshire","ALPO",NA,0,0.346680866626108,0.416013702339869,0.545032622476055,0.558302482162833,0.547317293869813,0.563943549191911,0.582776552954442,0.581543757191341
1113214544,"ROM","DD ALPO 16LB","ITEM393DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 16 POUND","Brookshire","ALPO",NA,0,0.516314483999502,0.547978355102777,0.588417798651779,0.604925619760889,0.552404775934198,0.392039920732354,0.434782608695652,NA
1113214544,"Retailer","DD ALPO 16LB","ITEM393DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 16 POUND","Brookshire","ALPO",8.21479021497406,0,0.538910505836576,0.560670366742845,0.497380448110579,0.487673420501048,0.437304582210243,0.28125,NA,NA
1113214545,"ROM","DD ALPO 37-41LB","ITEM480DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 37 POUND","Brookshire","ALPO",NA,0,0.0613632991435183,0.0291322277388068,0.0391301609778138,0.0394888345320361,0.0391309563166872,0.0823217733606741,0,NA
1113214547,"ROM","DD ALPO 47-50LB","ITEM835DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 47 POUND","Brookshire","ALPO",NA,0,0.0505050505050505,0,0.00884955752212389,0.10828025477707,0.0655737704918033,0,0,0
1113214813,"ROM","DD ALPO 28-31LB","ITEM834DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 28 POUND","Brookshire","ALPO",NA,0,0.000883721610018412,0.000970860967272665,0.00167073211481271,0.00218158223826115,0.00150657397987217,0.00274499299080238,0.00324658743534184,0.00296552576300507
1113216223,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM53ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF BACON CHEESE AND PEANUT B BOX 32 OUNCE","Brookshire","ALPO",NA,0,0.383373934226553,0.4225032182913,0.471252990003541,0.496227411627117,0.433615136204721,0.476511944252849,0.591347211830465,0.495828127788685
1113216223,"Retailer","DT ALPO VARIETY SNAPS CR 32OZ","ITEM53ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF BACON CHEESE AND PEANUT B BOX 32 OUNCE","Brookshire","ALPO",2.10672193250025,0,1,1,1,1,1,1,1,1
1113216225,"ROM","DT ALPO VARIETY SNAPS CR 60OZ","ITEM562DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BAG 60 OUNCE","Brookshire","ALPO",NA,0,1,1,1,1,1,1,1,1
1113216523,"ROM","DD ALPO 47-50LB","ITEM835DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 52 POUND","Brookshire","ALPO",NA,0,0.141414141414141,0.0396825396825397,0.0265486725663717,0.0318471337579618,0.0163934426229508,0.04,0,0
1113216524,"ROM","DD ALPO 28-31LB","ITEM834DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 31 POUND","Brookshire","ALPO",NA,0,0.604905062807115,0.604917837978062,0.624490962196045,0.617624932529291,0.596281007360352,0.678599656023982,0.267314525013315,0.0426294328431978
