"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross","Within","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_TPR_1","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_2"
"ITEM101CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,0,1,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,4.83914620659396,4.77180166851442,0,0,0.000885714285714286,0,0.143424642857143,1.24786340127653,0,0,35,6094.10285714286,5916.63487355727,1,NA,NA,NA,NA,177.467983585591,28185.4927832766,844.992002437655,844.992002437655,0,0,0,0,0,0,28687.5032249314,6021.98219859448,NA,0,NA,NA,NA,NA,0,0,6021.98219859448,28687.5032249314,460.34294992929,4.76299127557373,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM101CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,1,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,4.80976944325594,4.78265788554018,0,0,0.000748461538461538,0,0.131861153846154,1.16018008340086,0,0,31.9230769230769,5707.96369230769,5339.35922263316,1,NA,NA,NA,NA,368.604469674535,25513.9723867568,1761.37230555088,1761.37230555088,0,0,0,0,0,0,25513.9723867568,5339.35922263316,NA,0,NA,NA,NA,NA,0,0,5339.35922263316,25513.9723867568,176.734462184435,4.77851704302955,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM101CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",1,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,4.47875446204153,4.4457786238783,0,0,0.000866923076923077,0,0.123652307692308,1.10507250177612,0,0,28.9230769230769,5398.24115384615,4951.13092817024,1,NA,NA,NA,NA,447.110225675913,22022.3602615655,1985.59235381915,1985.59235381915,0,0,0,0,0,0,22022.3602615655,4951.13092817024,NA,0,NA,NA,NA,NA,0,0,4951.13092817024,22022.3602615655,182.633511000519,4.44405630584141,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM101CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,4.24761050707052,4.22958459410357,0,0,0.0000716666666666667,0,0.0257816666666667,1.07738179258124,0,0,26,1904.01008333333,1799.28511751392,1,NA,NA,NA,NA,104.724965819416,7647.68370210669,459.816214559979,459.816214559979,0,0,0,0,0,0,8299.74412054707,1954.70429015082,NA,0,NA,NA,NA,NA,0,0,1954.70429015082,8299.74412054707,44.1328018890678,4.22515801756768,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM109CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,0,1,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,16.2211755058236,16.1092392340263,0,0,0.000131428571428571,0,0.0197053571428571,1.24786340127653,0,0,35,2859.42857142857,2692.40579968128,1,NA,NA,NA,NA,167.02277174729,43135.4292665044,2673.42144778131,2673.42144778131,0,0,0,0,0,0,43836.4272355578,2736.20104103151,NA,0,NA,NA,NA,NA,0,0,2736.20104103151,43836.4272355578,574.510965888712,16.0236667783871,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM109CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,1,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,16.1842190970772,16.1548839232083,0,0,0.000535384615384615,0,0.0192334615384615,1.16018008340086,0,0,31.9230769230769,2501.15384615385,2501.15384615385,1,NA,NA,NA,NA,0,40332.8861538461,0,0,0,0,0,0,0,0,42384.8205917382,2628.27832898901,NA,0,NA,NA,NA,NA,0,0,2628.27832898901,42384.8205917382,146.89822828747,16.1264647628214,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM109CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",1,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,15.830481941159,15.8086736840367,0.0233123707279413,0.00128923076923077,0.00133153846153846,0.000997692307692308,0.0195242307692308,1.10507250177612,0.0233123707279413,0.0233123707279413,28.9230769230769,3219.15384615385,3002.73988932959,1,NA,NA,NA,NA,216.413956824258,45723.4336675754,3321.55094780929,3321.55094780929,0,0,0,0,0,0,47279.1014883944,3103.58106936556,NA,0,NA,NA,NA,NA,0,0,3103.58106936556,47279.1014883944,1836.45994266935,15.7472617428686,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM109CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,14.5140262675289,14.3599738218198,0,0.00105333333333333,0.00110833333333333,0.0000425,0.0189595833333333,1.07738179258124,0,0,26,3068.25,2665.53308066011,1,NA,NA,NA,NA,402.716919339893,37956.9004886201,5644.74117804662,5644.74117804662,0,0,0,0,0,0,38267.5870611892,2687.76833604561,NA,0,NA,NA,NA,NA,0,0,2687.76833604561,38267.5870611892,870.154064917821,14.2434322058937,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM110CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,0,1,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,14.1268044512594,14.0673285624611,0,0,0.000557857142857143,0,0.275976428571429,1.24786340127653,0,0,35,21655.0200714286,20621.3074167915,2,NA,NA,NA,NA,1033.71265463709,290028.348589941,14541.6276957733,14541.6276957733,0,0,0,0,0,0,290233.690819112,20635.8553752246,NA,0,NA,NA,NA,NA,0,0,20635.8553752246,290233.690819112,1364.24635870628,14.0637594893952,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM110CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,1,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,14.0672244597731,13.9875847560536,0,0,0.00125153846153846,0,0.271253846153846,1.16018008340086,0,0,31.9230769230769,18927.9940769231,18253.1908267425,2,NA,NA,NA,NA,674.803250180623,255193.944600994,9432.51101439061,9432.51101439061,0,0,0,0,0,0,259011.725695406,18526.2381542624,NA,0,NA,NA,NA,NA,0,0,18526.2381542624,259011.725695406,1683.95479751265,13.9808422241747,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
