"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted","Cannibal_dollars_on_predicted.x","Cannibal_dollars_on_predicted.y"
"1","ITEM538BUSYCW_Retailer","2021-05-01","Within","Pantry Loading",2,"DT BUSY CW 06.5-7OZ","Dog Treats","CVS Total Corp WO HI",998.404068999323,998.404068999323,NA,NA
"2","ITEM538BUSYCW_Retailer","2021-06-12","Within","Pantry Loading",2,"DT BUSY CW 06.5-7OZ","Dog Treats","CVS Total Corp WO HI",261.009826507099,0,NA,NA
"3","ITEM538BUSYCW_Retailer","2021-07-03","Within","Pantry Loading",2,"DT BUSY CW 06.5-7OZ","Dog Treats","CVS Total Corp WO HI",1157.74252130387,312.647436434472,NA,NA
"4","ITEM538BUSYCW_Retailer","2021-08-28","Within","Pantry Loading",2,"DT BUSY CW 06.5-7OZ","Dog Treats","CVS Total Corp WO HI",1082.48518148132,985.533090458024,NA,NA
"5","ITEM538BUSYCW_Retailer","2021-09-04","Within","Pantry Loading",2,"DT BUSY CW 06.5-7OZ","Dog Treats","CVS Total Corp WO HI",1485.92028116123,965.948854857425,NA,NA
"6","ITEM538BUSYCW_Retailer","2021-10-16","Within","Pantry Loading",2,"DT BUSY CW 06.5-7OZ","Dog Treats","CVS Total Corp WO HI",316.852551275537,0,NA,NA
"7","ITEM538BUSYCW_Retailer","2021-12-04","Within","Pantry Loading",2,"DT BUSY CW 06.5-7OZ","Dog Treats","CVS Total Corp WO HI",259.447341795892,688.76904417985,NA,NA
"8","ITEM618BEGGINMT_Retailer","2021-01-02","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",2598.66281720391,2598.66281720391,NA,NA
"9","ITEM618BEGGINMT_Retailer","2021-01-16","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",2363.13641886106,2363.13641886106,NA,NA
"10","ITEM618BEGGINMT_Retailer","2021-02-13","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",2567.63999078217,2567.63999078217,NA,NA
"11","ITEM618BEGGINMT_Retailer","2021-02-20","Cross","DT BEGGIN MT 25OZ",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",14.589883214105,14.589883214105,NA,NA
"12","ITEM618BEGGINMT_Retailer","2021-02-27","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",2419.29765821547,2419.29765821547,NA,NA
"13","ITEM618BEGGINMT_Retailer","2021-03-06","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",926.724047923021,926.724047923021,NA,NA
"14","ITEM618BEGGINMT_Retailer","2021-03-27","Cross","DT BEGGIN MT 25OZ",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",0,13.0066780053832,NA,NA
"15","ITEM618BEGGINMT_Retailer","2021-04-03","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",2296.68906050767,2296.68906050767,NA,NA
"16","ITEM618BEGGINMT_Retailer","2021-04-17","Cross","DT BEGGIN MT 25OZ",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",21.282822138248,21.282822138248,NA,NA
"17","ITEM618BEGGINMT_Retailer","2021-04-24","Cross","DT BEGGIN MT 25OZ",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",11.6329055388674,11.6329055388674,NA,NA
"18","ITEM618BEGGINMT_Retailer","2021-04-24","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",2381.066359865,2381.066359865,NA,NA
"19","ITEM618BEGGINMT_Retailer","2021-05-01","Cross","DT BEGGIN MT 25OZ",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",4.04846446031982,5.80447934921228,NA,NA
"20","ITEM618BEGGINMT_Retailer","2021-05-01","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",617.684818497132,885.604606000494,NA,NA
"21","ITEM618BEGGINMT_Retailer","2021-05-22","Cross","DT BEGGIN MT 25OZ",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",1.67783802761432,1.67783802761432,NA,NA
"22","ITEM618BEGGINMT_Retailer","2021-05-22","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",2545.95211615367,2545.95211615367,NA,NA
"23","ITEM618BEGGINMT_Retailer","2021-05-29","Cross","DT BEGGIN MT 25OZ",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",0,7.86882756608161,NA,NA
"24","ITEM618BEGGINMT_Retailer","2021-06-05","Cross","DT BEGGIN MT 25OZ",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",3.92737394997827,3.92737394997827,NA,NA
"25","ITEM618BEGGINMT_Retailer","2021-06-05","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",2297.3740162894,2297.3740162894,NA,NA
"26","ITEM618BEGGINMT_Retailer","2021-06-12","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",884.135164945074,884.135164945074,NA,NA
"27","ITEM618BEGGINMT_Retailer","2021-07-03","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",1082.81740063771,1082.81740063771,NA,NA
"28","ITEM618BEGGINMT_Retailer","2021-07-10","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",2386.55931780667,2386.55931780667,NA,NA
"29","ITEM618BEGGINMT_Retailer","2021-08-07","Cross","DT BEGGIN MT 25OZ",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",0,2.11262935378354,NA,NA
"30","ITEM618BEGGINMT_Retailer","2021-08-14","Cross","DT BEGGIN MT 25OZ",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",0,3.47363691431021,NA,NA
"31","ITEM618BEGGINMT_Retailer","2021-08-21","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",2376.68309183708,2376.68309183708,NA,NA
"32","ITEM618BEGGINMT_Retailer","2021-08-28","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",837.3496578739,837.3496578739,NA,NA
"33","ITEM618BEGGINMT_Retailer","2021-09-04","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",826.739797803391,826.739797803391,NA,NA
"34","ITEM618BEGGINMT_Retailer","2021-09-18","Cross","DT BEGGIN MT 25OZ",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",12.7380947128481,12.7380947128481,NA,NA
"35","ITEM618BEGGINMT_Retailer","2021-10-16","Within","Pantry Loading",2,"DT BEGGIN MT 25OZ","Dog Treats","CVS Total Corp WO HI",1456.32513742919,1456.32513742919,NA,NA
