"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Item","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","Intercept","Market","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_TPR_1","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_2","Model_flag"
"ITEM1009DDPROPLANBRIGHTMINDS_ROM","Dry Dog","CVS Total Corp WO HI","DD PRO PLAN BRIGHT MINDS 04-5LB",0,0.895622776818464,0,-0.118760028764208,0,0,0,0,0.208010622365581,0,0,0,0.00270346067030063,0,0,0,0,4.78219442440751,"ROM",0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,1
"ITEM1014DDBENEFULGRFR_Retailer","Dry Dog","CVS Total Corp WO HI","DD BENEFUL PREMIUM 03LB",-2.5,2.5,-1.85511797281154,-5.6910152402714,0,1.92659364262415,10,10,-2.77667444915768,0,0,0,0,0,0,0,0,13.6375495393347,"Retailer",0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,1
"ITEM1014DDBENEFULGRFR_ROM","Dry Dog","CVS Total Corp WO HI","DD BENEFUL PREMIUM 03LB",-2.5,0,-5.38046850061331,-4.16381242341821,0,10,10,10,0,0,0,0,0,0,0,0,0,13.5166559186263,"ROM",0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,1
"ITEM1018DDBEYONDGRFR_ROM","Dry Dog","CVS Total Corp WO HI","DD BEYOND GR FR 23LB",-0.37367476804063,0.143438484166752,-0.79437525405149,-0.249568064844888,0,2.12538827371555,10,0,0,0,0,0,0,0,0,0,0,5.36457924816859,"ROM",0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,1
"ITEM101CTWHISKERLICKINSCR_ROM","Cat Treats","CVS Total Corp WO HI","CT WHISKER LICKINS CR 10OZ",0,0,0,0,9.71397596139815,0,10,0,0,0,0,0,0,0,0,0,0,7.29438814434622,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1029DDBENEFULPREMIUM_ROM","Dry Dog","CVS Total Corp WO HI","DD BENEFUL PREMIUM 09.4-12.5LB",0,1.4480431424222,-0.0276976704734829,-2.23623335590944,7.40313259794154,0,0,0,0,0,0,0,0,0,0,0,0,7.22172301672485,"ROM",0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,1
"ITEM1032DDDOGCHOWGREENBG_ROM","Dry Dog","CVS Total Corp WO HI","DD DOG CHOW GREEN BG 42-46LB",0,2.5576797753759,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,8.29300374100033,"ROM",0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,1
"ITEM1032DTHONESTTODOGAOF_ROM","Dog Treats","CVS Total Corp WO HI","DT HONEST TO DOG AOF",-0.71989548803518,0.59090023805502,-0.3287041399131,-0.0868283171004207,0,0,0,0,0,0,0,0,-0.247251040955283,0,0,0,0,7.06621743835221,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1035DDPUPPYCHOW_ROM","Dry Dog","CVS Total Corp WO HI","DD PUPPY CHOW 08.8LB",-2.5,0,-5.85110908683703,-6.25087537807643,0,10,0,0,-0.949772997607256,0,0,0,-0.110751163983411,0,0,-3.08514696689123,0,15.0176931490863,"ROM",0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,1
"ITEM1036DDMOISTANDMEATY_ROM","Dry Dog","CVS Total Corp WO HI","DD MOIST AND MEATY 216OZ",-0.781661353915152,0,0,0,0,0,0,0,1.36054738832753,0,0,-0.00513007005588818,0.00229953971180007,0,0,0,0,10.9545652441126,"ROM",0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,2
"ITEM1036DTMERRICKBACKCOUNTRYMT_ROM","Dog Treats","CVS Total Corp WO HI","DT MERRICK BACKCOUNTRY MT 03.3-6OZ",-2.5,1.23080918149865,-2.29736334529891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96423335774225,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1037DTMERRICKBACKCOUNTRYCR_ROM","Dog Treats","CVS Total Corp WO HI","DT MERRICK BACKCOUNTRY CR 10OZ+",-2.5,8.16562095325715,-1.27427850035898,-0.0887987176880309,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32561379584365,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1038DTMERRICKFRSKSSDT_ROM","Dog Treats","CVS Total Corp WO HI","DT MERRICK FRS KSS DT 09.5-11.5OZ",-2.0656264757658,3.9638059151788,0,0,0,0,0,0,0,0,0,0,0.0448784643683513,0,0,0,0,6.58077568442444,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1039DTMERRICKFRSKSSDT_ROM","Dog Treats","CVS Total Corp WO HI","DT MERRICK FRS KSS DT 05.5-6.5OZ",-1.16260168486156,1.72605750779979,-0.198905848633927,0,0,10,10,0,0,0,0,0,0,0,0,0,0,6.29927053957302,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1040DTMERRICKFRSKSSDT_ROM","Dog Treats","CVS Total Corp WO HI","DT MERRICK FRS KSS DT 23.0-27OZ",0,9.34922591999072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881976929087978,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1043DTMERRICKPOWERBITESMT_ROM","Dog Treats","CVS Total Corp WO HI","DT MERRICK POWER BITES MT 06OZ",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5.34890884728473,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1046DDPURINAONEMLTRGTD_ROM","Dry Dog","CVS Total Corp WO HI","DD PURINA ONE ML TRGTD 40LB",-0.623434019270257,0.539434046715422,0,0,0,0,3.70146609184599,0,0.81407736234213,0.0000992177588503797,-0.00990515029131075,-0.0484009228319403,0.00754066308227933,0,0,0,0,10.6826650195094,"ROM",0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,2
"ITEM1048DDPROPLANSPORTPERFORM_ROM","Dry Dog","CVS Total Corp WO HI","DD PRO PLAN SPORT PERFORM 37.5LB",0,1.09564303603424,-0.207504984286533,0,0,10,10,10,0,0,0,0,0.0000161705060519262,0,0,0,0.285819992298521,4.25878715766941,"ROM",0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,1
"ITEM1050DDBEYONDGRFR_ROM","Dry Dog","CVS Total Corp WO HI","DD BEYOND GR FR 13LB",-2.5,0,0,-0.975721921705502,0,10,10,0,-1.08863381760025,0,0,0,0,0,0,0,0,14.4092465807499,"ROM",0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,1
"ITEM1051DDPURINAONETRUINST_Retailer","Dry Dog","CVS Total Corp WO HI","DD PURINA ONE TRU INST 03.8LB",-1.07523364296615,0.420794379677502,0,0,0,0.43293619212958,3.83227856050648,10,0,0,0,0,0,0,0,0,1,7.11429469214624,"Retailer",0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,1
