"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM101CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 10OZ",4.9,4,6,0,6,0,3,0,4.32364896258494,0,1.488,0,1.13,0,0.208,0,0.022,0,4.32364896258494,0,0,4.32364896258494,0,16.1365,0,0,1,0,0,1,0,"CVS Total Corp WO HI","ROM","CT WHISKER LICKINS CR 10OZ",0.980492391959344,0.0839557279245181,1,0,1,1,0
"ITEM109CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX CR 20OZ 2CT",16.2,14,18,10,18,0,12,7.57652048658092,14.9083939065789,0,0.949,0,1.375,0,0.317,0,0.45,0,14.9083939065789,0,0,14.9083939065789,0,2.045,1,1,0,1,0,1,1,"CVS Total Corp WO HI","ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT",0.581045384765913,0.0792068245205668,1,4,0,0,1
"ITEM110CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",14.2,12,16,0,16,0,10,0,12.6175397107657,0.033,1.825,0,3.227,0,0.31,0,0.055,0,12.6175397107657,0,0,12.6175397107657,0,27.94,1,0,1,0,1,1,1,"CVS Total Corp WO HI","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.595402171694695,0.0567349144428872,2,0,0,1,0
"ITEM11208CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ",5.2,4,6,49,6,0,2,19.4524676419064,4.60650965467938,0.03,4.777,0,4.012,0,0.481,0,0.733,0,4.60650965467938,0,0,4.60650965467938,0,1.827,0,1,0,1,1,1,1,"CVS Total Corp WO HI","ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",0.442522257379151,0.576158813897466,1,28,1,0,1
"ITEM1120CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 19OZ",13,11,15,89,15,0,6,21.0564161279884,10.7110500835059,0,0.504,0,0.833,0,0.04,0,0.039,0,10.7110500835059,0,0,10.7110500835059,0,0.007,1,1,0,1,1,0,1,"CVS Total Corp WO HI","ROM","CT DENTALIFE DNT 19OZ",0.81543609922852,0.975956597575649,1,28,0,0,1
"ITEM11212CTCNPCR_ROM","NPP","Cat Treats","CT C&P CR 02OZ",4.5,4,5,35,5,0,3,13.7180911891683,4.08176538282764,0,0.046,0,0.038,0,0.011,0,0,0,4.08176538282764,0,0,4.08176538282764,0,0.024,0,0,0,0,1,1,0,"CVS Total Corp WO HI","ROM","CT C&P CR 02OZ",0.320793221514348,0.71673798613984,1,44,1,1,1
"ITEM11228CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 04OZ",1.6,1,2,100,2,0,-1,56.6116877663506,1.29083510691886,0,0.417,0,1.271,0,0.01,0,0,0,1.29083510691886,0,0,1.29083510691886,0,0,0,0,0,0,0,1,0,"CVS Total Corp WO HI","ROM","CT KIT KABOODLE CR 04OZ",0.881074972900017,1.11880404490432,1,52,1,1,1
"ITEM11229CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 09OZ",3.7,3,5,26,5,0,-1,11.388595057237,3.16322527382963,0,0.093,0,0.239,0,0.012,0,0,0,3.16322527382963,0,0,3.16322527382963,0,0.264,0,1,0,1,0,1,0,"CVS Total Corp WO HI","ROM","CT KIT KABOODLE CR 09OZ",0.316406805381353,0.787585418543055,1,4,1,0,1
"ITEM11230CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 02.4OZ",1,0,2,0,2,0,0,0,0.957025797383071,0,0.071,0,0,0,0.014,0,0,0,0.957025797383071,0,0,0.957025797383071,0,0.557,0,0,0,0,0,1,0,"CVS Total Corp WO HI","ROM","CT KIT KABOODLE CR 02.4OZ",0.731124746250998,0.854911943371533,1,0,1,1,1
"ITEM11258CTWHISKERLICKINSAO_ROM","NPP","Cat Treats","CT WHISKER LICKINS AO",3.7,3,5,12,4,0,2,7.92976414376453,3.06480798138054,0.056,4.839,0,6.909,0,1.041,0,0.045,0,3.06480798138054,0,0,3.06480798138054,0,9.5145,1,1,1,1,1,1,0,"CVS Total Corp WO HI","ROM","CT WHISKER LICKINS AO",0.815529414150678,0.115179633096738,1,3,0,0,0
