"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4"
1113200040,"ROM","DD ALPO 04LB","ITEM1108DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","CVS Total Corp WO HI","ALPO",NA,0,0.8503853493971,0.807964148637138,0.789800082639528,0.774572331231684,0.790136329508374,0.766698728114112,0.601096966475937,0.468294092857084
1113200392,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM882DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.577918318678261,0.556714971010341,0.542172448447991,0.538619770657784,0.571308366616557,0.548016257260605,0.523388460394714,0.523815965768013
1113200681,"ROM","DT ALPO VARIETY SNAPS CR 16OZ","ITEM884DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,1,1,1,1,1,1,1,1
1113203137,"ROM","DD ALPO 17.6LB","ITEM1433DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD SAVORY BEEF DRY BAG 17.6 POUND","CVS Total Corp WO HI","ALPO",NA,0,1,1,1,1,1,1,1,1
1113210840,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.00181855765049631,0.000227766188856111,0.0000710470479334699,0.0000202227584645308,0.00000451463642097665,0.0000134540478964557,0.0000131390525747679,0.000545734444382502
1113210860,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROASTED CHICKEN AND TOP SIRLOI WET CAN 13.2 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.0000438019053132736,0.00000391105825112825,0.000000393233381302622,0,0,0,0,0
1113210929,"ROM","DW ALPO 13.2OZ 12CT","ITEM266DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.0000456182740059187,0.00000231842497817655,0,0,0,0,0,0
1113211169,"ROM","DD ALPO 15LB","ITEM1432DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD SAVORY BEEF DRY BAG 15 POUND","CVS Total Corp WO HI","ALPO",NA,0,0.0235849056603774,0.015,0.00319488817891374,0.00248756218905473,0,0.00529100529100529,0.0527522935779817,0.0493942218080149
1113211755,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.000217154969880476,0.0000638700174319045,0.000012018391832752,0.000027204496251941,0.000112975129997831,0.0000257611037328867,0,0
1113212516,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.00048256027752574,0.000136771216655866,0.0000243450786364453,0.0000133073646399632,0.0000059037553197387,0.000000993927261719881,0.0000105112420598143,0.0000112237921227095
1113212518,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD BEEF WET CAN 22 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0,0,0,0,0,0,0,0.0000224475842454189
1113212531,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.00118903636841992,0.000301969111076771,0.000107128963301655,0.000119293388164057,0.00000952171549156445,0.000000993927261719881,0.00000525562102990716,0.0000673427527362567
1113212534,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LONDON GRILL AND WHOLESOME VEG WET CAN 13.2 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.0014845940593436,0.000268470994328665,0.0000973091393037655,0.0000246730112046344,0.00000451463642097665,0.00000347874541601958,0.0000630674523588859,0.00014200341793652
1113212541,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT TURKEY AND BACON WET CAN 13.2 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.00017017615471972,0.0000366482824739437,0.00000766805093540112,0.00000173574321390824,0.00000138911889876205,0.00000273329996972967,0.0000210224841196286,0.0000897903369816756
1113212544,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT CHICKEN AND WHOLESOME VEGGIE A WET CAN 13.2 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.00178858696749455,0.000364485580014898,0.0000471166338976082,0.0000150431078538715,0.000000520919587035767,0,0.00000262781051495358,0
1113212547,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD LAMB AND RICE WET CAN 22 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0,0,0,0.00000407957513375568,0,0,0,0
1113212552,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.00229847056637124,0.000450299965594289,0.0000587529995004247,0.0000772062438753529,0.0000577713713211654,0.000078845267890453,0.00000788343154486074,0.000145909297595223
1113212555,"ROM","DW ALPO 13.2OZ 12CT","ITEM266DWALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.000646274422423396,0.0000697011285438998,0.0000187527037150098,0,0,0,0,0
1113212556,"ROM","DW ALPO 13.2OZ 06CT","ITEM268DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE X6","CVS Total Corp WO HI","ALPO",NA,0,0.556488879064431,0.477205009427594,0.649169622435111,0.573903062555434,0.294117647058824,0,0.239980801535877,NA
1113212561,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT STEW WITH BEEF AND VEGETABLES WET CAN 13.2 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.00130398588101604,0.000366747645177161,0.0000790045186375097,0.0000385720714201832,0.0000185794652709424,0.0000278299633281567,0.0000105112420598143,0.0000336713763681284
1113212665,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT ROAST BEEF WET CAN 13.2 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.0000193459584742226,0.000000392617402110952,0.000000196616690651311,0,0,0,0,0
1113212772,"ROM","DW ALPO 13.2OZ 12CT","ITEM266DWALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE BEEF LOVERS PACK TRAY IN WRAP 158.4 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.000899530712633242,0.000183155573275947,0.0000586021991094055,0.0000219436618808884,0,0.0000170376687180701,0.0000865984934460095,0
1113213597,"ROM","DW ALPO 13.0-13.2OZ","ITEM267DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT T BONE STEAK WET CAN 13 OUNCE","CVS Total Corp WO HI","ALPO",NA,0,0.00108237830602634,0.000246281829230962,0.000050101865111767,0.0000151405023342074,0.00000642467490677446,0.0000306435229242702,0.000338112495527532,0.0000224475842454189
