"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","CB_Comp_RP_3","CB_Comp_TPR_2","CB_Comp_TPR_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_4"
"ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,1,0,"Retailer","DeMoulas",NA,NA,NA,1,1.51032793345995,1.5,0,0,0,0,0.020455,1.13915267938529,0,0,31.5,1,1,0,NA,NA,NA,NA,0,1.5,0,0,NA,NA,0,0,0,NA,2.61980011889326,1.74653341259551,1.32313815853672,0,1.32313815853672,1.32313815853672,0,0,NA,NA,1.74653341259551,2.61980011889326,0.010327933459945,1.5,"2022-08-20",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",1,0,0,"Retailer","DeMoulas",NA,NA,NA,1,1.50664513937971,1.5,0,0,0,0,0.018892,1.07885331130047,0,0,29.2,1.6,1.43964131231114,0,NA,NA,NA,NA,0.160358687688862,2.15946196846671,0.240538031533293,0.240538031533293,NA,NA,0,0,0,NA,3.04456844058082,2.02971229372055,2.11702105365875,0,1.90484435492474,2.11702105365875,0.212176698734006,0.212176698734006,NA,NA,2.02971229372055,3.04456844058082,0.00984601949020405,1.5,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,0,0,"Retailer","DeMoulas",NA,NA,NA,1,1.50664513937971,1.5,0,0,0,0,0.018892,1.07885331130047,0,0,29.2,1.6,1.43964131231114,0,NA,NA,NA,NA,0.160358687688862,2.15946196846671,0.240538031533293,0.240538031533293,NA,NA,0,0,0,NA,3.04456844058082,2.02971229372055,2.11702105365875,0,1.90484435492474,2.11702105365875,0.212176698734006,0.212176698734006,NA,NA,2.02971229372055,3.04456844058082,0.00984601949020405,1.5,"2022-06-25",NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,0,1,"Retailer","DeMoulas",NA,NA,NA,1,1.50664513937971,1.5,0,0,0,0,0.018892,1.07885331130047,0,0,29.2,1.6,1.43964131231114,0,NA,NA,NA,NA,0.160358687688862,2.15946196846671,0.240538031533293,0.240538031533293,NA,NA,0,0,0,NA,3.04456844058082,2.02971229372055,2.11702105365875,0,1.90484435492474,2.11702105365875,0.212176698734006,0.212176698734006,NA,NA,2.02971229372055,3.04456844058082,0.00984601949020405,1.5,"2022-06-25",NA,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,0,1,"ROM","DeMoulas",NA,NA,NA,NA,2.51987954671435,2.51799742209428,0,0,0,0,0.0440942857142857,1.25965047385399,0,0.00379909109653339,35,131.506571428571,124.286264115792,1,NA,NA,NA,NA,7.22030731277929,308.918018660432,17.6954813395683,17.6954813395683,NA,NA,0,0,0,NA,331.335343376262,133.170140997146,NA,0,NA,NA,NA,NA,NA,NA,133.170140997146,331.335343376262,4.65408081012843,2.48783053118935,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,1,0,"ROM","DeMoulas",NA,NA,NA,NA,2.50939347932434,2.50721517773234,0.0137475798036599,0,0,0,0.0403788461538462,1.14548376376481,0.0137475798036599,0.00965625093047007,31.9230769230769,132.354384615385,121.367242401429,1,NA,NA,NA,NA,10.9871422139552,295.766872505962,26.128435186346,26.128435186346,NA,NA,0,0,0,NA,324.789543917594,133.068388351899,NA,0,NA,NA,NA,NA,NA,NA,133.068388351899,324.789543917594,9.79786778153827,2.47237109966699,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",1,0,0,"ROM","DeMoulas",NA,NA,NA,NA,2.38483243013164,2.40072734481093,0.0157665272011668,0,0,0,0.0296015384615385,1.08164660473493,0.0238441661152003,0.0238441661152003,28.9230769230769,128.130384615385,107.746172545284,1,NA,NA,NA,NA,20.3842120701008,253.528202137918,47.4154132466971,47.4154132466971,NA,NA,0,0,0,NA,311.453487436804,133.484708467188,NA,0,NA,NA,NA,NA,NA,NA,133.484708467188,311.453487436804,8.40938796835341,2.36748964862662,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,0,0,"ROM","DeMoulas",NA,NA,NA,NA,2.31984186349853,2.3158085571232,0.0509530189057037,0,0.000055,0,0.01458,1.09126210351774,0.0489496645424753,0.0489496645424753,26,74.9755833333333,73.4786907538611,1,NA,NA,NA,NA,1.49689257947225,156.958130915413,3.11361908458663,3.11361908458663,NA,NA,0,0,0,NA,272.568068684452,126.899146049114,NA,0,NA,NA,NA,NA,NA,NA,126.899146049114,272.568068684452,14.1816572086683,2.27087310794366,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,0,"Retailer","DeMoulas",NA,960,0,NA,1.80625,1.79,0,0,0,0,0.012455,1.02374334982862,0,0,25.5,1.5,1.06266217036552,0,NA,NA,NA,NA,0.437337829634485,1.90216528495427,0.782834715045728,0.782834715045728,NA,NA,0,0,0,NA,2.27678004279464,1.27194415798584,1.695,0,1.20080825251303,1.695,0.494191747486968,0.494191747486968,NA,NA,1.27194415798584,2.27678004279464,0.02125,1.79,"2022-02-05",NA,1.13,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",1,0,0,"Retailer","DeMoulas",NA,960,0,NA,1.80625,1.79,0,0,0,0,0.012455,1.02374334982862,0,0,25.5,1.5,1.06266217036552,0,NA,NA,NA,NA,0.437337829634485,1.90216528495427,0.782834715045728,0.782834715045728,NA,NA,0,0,0,NA,2.27678004279464,1.27194415798584,1.695,0,1.20080825251303,1.695,0.494191747486968,0.494191747486968,NA,NA,1.27194415798584,2.27678004279464,0.02125,1.79,"2022-02-05",NA,1.13,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
