"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","CB_Comp_RP_3","CB_Comp_TPR_2","CB_Comp_TPR_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_4"
"ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,1,0,"Retailer","DeMoulas",NA,NA,NA,1,1.5,1.5,0,0,0,0,0.020455,1.13915267938529,0,0,31.5,0.730905229450987,0.730905229450987,0,NA,NA,NA,NA,0,1.09635784417648,0,1.32313815853672,0,0.967088599360634,1.32313815853672,0.356049559176081,0.356049559176081,0,0,0,NA,NA,0,1.5,"2022-08-20",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",1,0,0,"Retailer","DeMoulas",NA,NA,NA,1,1.5,1.5,0,0,0,0,0.020455,1.07885331130047,0,0,29.2,0.859365656571161,0.859365656571161,0,NA,NA,NA,NA,0,1.28904848485674,0,2.11702105365875,0,1.13705949234526,2.11702105365875,0.979961561313483,0.979961561313483,0,0,0,NA,NA,0,1.5,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,0,0,"Retailer","DeMoulas",NA,NA,NA,1,1.5,1.5,0,0,0,0,0.020455,1.07885331130047,0,0,29.2,0.859365656571161,0.859365656571161,0,NA,NA,NA,NA,0,1.28904848485674,0,2.11702105365875,0,1.13705949234526,2.11702105365875,0.979961561313483,0.979961561313483,0,0,0,NA,NA,0,1.5,"2022-06-25",NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,0,1,"Retailer","DeMoulas",NA,NA,NA,1,1.5,1.5,0,0,0,0,0.020455,1.07885331130047,0,0,29.2,0.859365656571161,0.859365656571161,0,NA,NA,NA,NA,0,1.28904848485674,0,2.11702105365875,0,1.13705949234526,2.11702105365875,0.979961561313483,0.979961561313483,0,0,0,NA,NA,0,1.5,"2022-06-25",NA,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,0,1,"ROM","DeMoulas",NA,NA,NA,NA,2.52650759904924,2.52650759904924,0,0,0,0,0.042525,1.25965047385399,0,0,35,110.326846164161,110.326846164161,1,NA,NA,NA,NA,0,278.74161521289,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.52650759904924,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,1,0,"ROM","DeMoulas",NA,NA,NA,NA,2.52650759904924,2.52650759904924,0,0,0,0,0.042525,1.14548376376481,0,0,31.9230769230769,115.847640052095,115.847640052095,1,NA,NA,NA,NA,0,292.689942923538,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.52650759904924,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",1,0,0,"ROM","DeMoulas",NA,NA,NA,NA,2.52650759904924,2.52650759904924,0,0,0,0,0.042525,1.08164660473493,0,0,28.9230769230769,121.496716093716,121.496716093716,1,NA,NA,NA,NA,0,306.962376470302,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.52650759904924,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,0,0,"ROM","DeMoulas",NA,NA,NA,NA,2.52650759904924,2.52650759904924,0,0,0,0,0.042525,1.09126210351774,0,0,26,127.265487293274,127.265487293274,1,NA,NA,NA,NA,0,321.537220743162,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.52650759904924,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,0,"Retailer","DeMoulas",NA,960,0,NA,1.79,1.79,0,0,0,0,0.012455,1.02374334982862,0,0,25.5,0.150876177377911,0.150876177377911,0,NA,NA,NA,NA,0,0.270068357506461,0,1.695,0,0.17049008043704,1.695,1.52450991956296,1.52450991956296,0,0,0,NA,NA,0,1.79,"2022-02-05",NA,1.13,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",1,0,0,"Retailer","DeMoulas",NA,960,0,NA,1.79,1.79,0,0,0,0,0.012455,1.02374334982862,0,0,25.5,0.150876177377911,0.150876177377911,0,NA,NA,NA,NA,0,0.270068357506461,0,1.695,0,0.17049008043704,1.695,1.52450991956296,1.52450991956296,0,0,0,NA,NA,0,1.79,"2022-02-05",NA,1.13,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,1,0,"Retailer","DeMoulas",NA,960,0,NA,1.79,1.79,0,0,0,0,0.012455,1.02374334982862,0,0,25.5,0.150876177377911,0.150876177377911,0,NA,NA,NA,NA,0,0.270068357506461,0,1.695,0,0.17049008043704,1.695,1.52450991956296,1.52450991956296,0,0,0,NA,NA,0,1.79,"2022-02-05",NA,1.13,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,1,"Retailer","DeMoulas",NA,960,0,NA,1.79,1.79,0,0,0,0,0.012455,1.02374334982862,0,0,25.5,0.150876177377911,0.150876177377911,0,NA,NA,NA,NA,0,0.270068357506461,0,1.695,0,0.17049008043704,1.695,1.52450991956296,1.52450991956296,0,0,0,NA,NA,0,1.79,"2022-02-05",NA,1.13,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","DeMoulas",NA,NA,NA,NA,1.99000449236298,1.99000449236298,0,0,0,0,0.02757,1.25965047385399,0,0,35,66.9587316713414,66.9587316713414,1,NA,NA,NA,NA,0,133.248176828897,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.99000449236298,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","DeMoulas",NA,NA,NA,NA,1.99000449236298,1.99000449236298,0,0,0,0,0.02757,1.14548376376481,0,0,31.9230769230769,66.9587316713414,66.9587316713414,1,NA,NA,NA,NA,0,133.248176828897,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.99000449236298,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","DeMoulas",NA,NA,NA,NA,1.99000449236298,1.99000449236298,0,0,0,0,0.02757,1.08164660473493,0,0,28.9230769230769,66.9587316713414,66.9587316713414,1,NA,NA,NA,NA,0,133.248176828897,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.99000449236298,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","DeMoulas",NA,NA,NA,NA,1.99000449236298,1.99000449236298,0,0,0,0,0.02757,1.09126210351774,0,0,26,66.9587316713414,66.9587316713414,1,NA,NA,NA,NA,0,133.248176828897,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.99000449236298,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","DeMoulas",NA,NA,NA,NA,3.63427402323126,3.63427402323126,0,0,0,0,0.340595,1.25965047385399,0,0,35,3806.38666260068,3806.38666260068,2,NA,NA,NA,0,0,13833.4521702636,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.63427402323126,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","DeMoulas",NA,NA,NA,NA,3.63427402323126,3.63427402323126,0,0,0,0,0.340595,1.14548376376481,0,0,31.9230769230769,3462.92959563659,3462.92959563659,2,NA,NA,NA,0,0,12585.2350737008,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.63427402323126,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","DeMoulas",NA,NA,NA,NA,3.63427402323126,3.63427402323126,0,0,0,0,0.340595,1.08164660473493,0,0,28.9230769230769,3291.45372718049,3291.45372718049,2,NA,NA,NA,0.027132001815947,0,11962.0447793598,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.63427402323126,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","DeMoulas",NA,NA,NA,NA,3.63427402323126,3.63427402323126,0,0,0,0,0.340595,1.09126210351774,0,0,26,3465.02407502277,3465.02407502277,2,NA,NA,NA,0,0,12592.8469857262,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.63427402323126,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"Retailer","DeMoulas",NA,13908.5714285714,0,NA,1.59653624118024,1.59653624118024,0,0,0,0,0.94138,1.25965047385399,0,0,35,6818.78362659013,6254.86340026088,2,NA,NA,NA,NA,563.920226329249,9982.65015697133,893.321547053109,7319.33825122078,0,7298.54737713874,7319.33825122078,20.7657306647664,20.7657306647664,0,0,893.321547053109,NA,NA,10.4634765931255,1.59507547446279,"2022-12-31",NA,1.29697986852917,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"Retailer","DeMoulas",NA,15556.9230769231,0,NA,1.59653624118024,1.59653624118024,0,0,0,0,0.94138,1.14548376376481,0,0,31.9230769230769,5527.80328058647,5248.82180090956,2,NA,NA,NA,NA,278.981479676906,8367.48415482093,445.404042922269,7190.23778482988,0,6730.2068793446,7190.23778482988,459.288317145284,459.288317145284,0,0,445.404042922269,NA,NA,12.4500738281204,1.59432064445666,"2022-09-24",NA,1.29302373417721,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
