"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"1","ITEM5CTFRISKIESPARTYMIXCR_Retailer","2022-04-16","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","DeMoulas",399.739014190924,998.774362155912
"2","ITEM5CTFRISKIESPARTYMIXCR_Retailer","2022-04-16","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","DeMoulas",255.710157511119,638.908738947789
"3","ITEM5CTFRISKIESPARTYMIXCR_Retailer","2022-04-23","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","DeMoulas",863.944085522668,506.340536368294
"4","ITEM5CTFRISKIESPARTYMIXCR_Retailer","2022-04-23","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","DeMoulas",713.262114233843,418.028814068282
"5","ITEM5CTFRISKIESPARTYMIXCR_Retailer","2022-04-30","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","DeMoulas",934.559015977589,733.21738220903
"6","ITEM5CTFRISKIESPARTYMIXCR_Retailer","2022-04-30","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","DeMoulas",449.643942426634,352.772536304021
"7","ITEM5CTFRISKIESPARTYMIXCR_Retailer","2022-05-07","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","DeMoulas",59.3176530374914,460.234290923197
"8","ITEM5CTFRISKIESPARTYMIXCR_Retailer","2022-05-07","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","DeMoulas",29.6257598118639,229.860587226139
"9","ITEM5CTFRISKIESPARTYMIXCR_Retailer","2022-05-14","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","DeMoulas",385.672379302195,311.609124510408
"10","ITEM5CTFRISKIESPARTYMIXCR_Retailer","2022-05-14","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","DeMoulas",477.820471477128,386.061400247365
"11","ITEM821CTFANCYFEASTPUREFLAKED_Retailer","2021-11-06","Within","Pantry Loading",2,"CT FANCY FEAST PURE FLAKED 01.06OZ","Cat Treats","DeMoulas",0,395.920302341704
