"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM107CWBEYOND","Wet Cat","CW BEYOND 03OZ 6CT","NPP","ROM","DeMoulas",1,"Beyond"
"ITEM10ALPO","Wet Dog","DW ALPO 13.0-13.2OZ","NPP","Retailer","DeMoulas",0,"Alpo"
"ITEM10ALPO","Wet Dog","DW ALPO 13.0-13.2OZ","NPP","ROM","DeMoulas",1,"Alpo"
"ITEM10CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 12CT","NPP","Retailer","DeMoulas",2,"Fancy Feast"
"ITEM10CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 12CT","NPP","ROM","DeMoulas",2,"Fancy Feast"
"ITEM110CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 18CT","NPP","ROM","DeMoulas",1,"Fancy Feast"
"ITEM115CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 32CT","NPP","ROM","DeMoulas",2,"Friskies"
"ITEM116CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 30CT","NPP","ROM","DeMoulas",2,"Fancy Feast"
"ITEM118CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 48CT","NPP","ROM","DeMoulas",1,"Friskies"
"ITEM11CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 24CT","NPP","Retailer","DeMoulas",2,"Fancy Feast"
"ITEM11CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 24CT","NPP","ROM","DeMoulas",2,"Fancy Feast"
"ITEM120CWBEYOND","Wet Cat","CW BEYOND 03OZ 12CT","NPP","ROM","DeMoulas",1,"Beyond"
"ITEM12BENEFUL","Wet Dog","DW BENEFUL 10OZ","NPP","Retailer","DeMoulas",2,"Beneful"
"ITEM12BENEFUL","Wet Dog","DW BENEFUL 10OZ","NPP","ROM","DeMoulas",2,"Beneful"
"ITEM12CTDENTALIFEDNT","Cat Treats","CT DENTALIFE DNT 01.8OZ","NPP","Retailer","DeMoulas",0,"Dentalife"
"ITEM12CTDENTALIFEDNT","Cat Treats","CT DENTALIFE DNT 01.8OZ","NPP","ROM","DeMoulas",1,"Dentalife"
"ITEM12FANCYFEAST","Dry Cat","DC FANCY FEAST 01LB","NPP","Retailer","DeMoulas",2,"Fancy Feast"
"ITEM12FANCYFEAST","Dry Cat","DC FANCY FEAST 01LB","NPP","ROM","DeMoulas",2,"Fancy Feast"
"ITEM132CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ","NPP","ROM","DeMoulas",2,"Fancy Feast"
"ITEM13CWPURINAONE","Wet Cat","CW PURINA ONE 03OZ","NPP","Retailer","DeMoulas",2,"Purina One"
"ITEM13CWPURINAONE","Wet Cat","CW PURINA ONE 03OZ","NPP","ROM","DeMoulas",2,"Purina One"
"ITEM146CWFANCYFEASTSAVRYCNTR","Wet Cat","CW FANCY FEAST SAVRY CNTR 03OZ","NPP","ROM","DeMoulas",1,"Fancy Feast"
"ITEM147CWFANCYFEASTSAVRYCNTR","Wet Cat","CW FANCY FEAST SAVRY CNTR 03OZ 12CT","NPP","ROM","DeMoulas",2,"Fancy Feast"
"ITEM148CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 40CT","NPP","ROM","DeMoulas",2,"Friskies"
"ITEM14ALPO","Wet Dog","DW ALPO 13.2OZ 12CT","NPP","ROM","DeMoulas",1,"Alpo"
"ITEM14CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ","NPP","Retailer","DeMoulas",2,"Fancy Feast"
"ITEM14CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ","NPP","ROM","DeMoulas",2,"Fancy Feast"
"ITEM1547FRISKIESML","Dry Cat","DC FRISKIES ML 16LB","NPP","Retailer","DeMoulas",2,"Friskies"
"ITEM1547FRISKIESML","Dry Cat","DC FRISKIES ML 16LB","NPP","ROM","DeMoulas",2,"Friskies"
"ITEM154TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB","NPP","Retailer","DeMoulas",2,"Tidy Cats"
"ITEM154TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB","NPP","ROM","DeMoulas",2,"Tidy Cats"
"ITEM1552FRISKIESML","Dry Cat","DC FRISKIES ML 03.2LB","NPP","Retailer","DeMoulas",2,"Friskies"
"ITEM1552FRISKIESML","Dry Cat","DC FRISKIES ML 03.2LB","NPP","ROM","DeMoulas",2,"Friskies"
"ITEM156CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ 12CT","NPP","ROM","DeMoulas",1,"Fancy Feast"
"ITEM15CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 24CT","NPP","Retailer","DeMoulas",2,"Friskies"
"ITEM15CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 24CT","NPP","ROM","DeMoulas",2,"Friskies"
"ITEM1645PURINAONEML","Dry Cat","DC PURINA ONE ML 03.5LB","NPP","Retailer","DeMoulas",2,"Purina One"
"ITEM1645PURINAONEML","Dry Cat","DC PURINA ONE ML 03.5LB","NPP","ROM","DeMoulas",2,"Purina One"
"ITEM1656DCBEYONDSIMPLY","Dry Cat","DC BEYOND SIMPLY 03LB","NPP","ROM","DeMoulas",1,"Beyond"
"ITEM1657DCBEYONDSIMPLY","Dry Cat","DC BEYOND SIMPLY 06LB","NPP","ROM","DeMoulas",1,"Beyond"
"ITEM1659DCBEYONDORGANIC","Dry Cat","DC BEYOND ORGANIC 03LB","NPP","ROM","DeMoulas",1,"Beyond"
"ITEM1676DCCNPORGANIX","Dry Cat","DC C&P ORGANIX 03-4LB","NPP","ROM","DeMoulas",1,"A/O Brand"
"ITEM1679DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 13-15LB","NPP","Retailer","DeMoulas",2,"Cat Chow Line"
"ITEM1679DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 13-15LB","NPP","ROM","DeMoulas",2,"Cat Chow Line"
