"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM12CTDENTALIFEDNT_Retailer","NPP","Cat Treats","CT DENTALIFE DNT 01.8OZ",1.5,1,2,0,2,0,1,0,1.5,0,0,0,0,0,0,0,0,1,2,1.3,0,2,0,1.076,1,1,1,1,0,0,0,"DeMoulas","Retailer","CT DENTALIFE DNT 01.8OZ",NA,NA,0,0,0,0,0
"ITEM12CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 01.8OZ",2.6,2,3,15,3,0,1,8.08315445082003,2.37126482130628,0,0.874,0,5.728,0,0.066,0,0,0,2.37126482130628,0,0,2.37126482130628,0,5.618,0,1,0,1,1,0,0,"DeMoulas","ROM","CT DENTALIFE DNT 01.8OZ",0.263607657508779,0.368182975332007,1,24,1,0,1
"ITEM19CTFANCYFEASTDUOSCR_Retailer","NPP","Cat Treats","CT FANCY FEAST DUOS CR 02.1OZ",1.8,1,2,0,2,0,1,0,1.79,0,0,0,0,0,0,0,0,1,2,1.1,0,2,0,1.093,1,1,1,1,0,0,0,"DeMoulas","Retailer","CT FANCY FEAST DUOS CR 02.1OZ",NA,NA,0,0,0,0,0
"ITEM1CTBEYONDCR_Retailer","NPP","Cat Treats","CT BEYOND CR 02.1OZ",1.7,1,2,0,2,0,1,0,1.69,0,0,0,0,0,0,0,0,1,2,1.3,0,2,0,1.251,1,1,1,1,0,0,0,"DeMoulas","Retailer","CT BEYOND CR 02.1OZ",NA,NA,0,0,0,0,0
"ITEM1CTBEYONDCR_ROM","NPP","Cat Treats","CT BEYOND CR 02.1OZ",2.3,2,3,37,3,0,1,21.8567905296378,1.9976011325535,0,5.482,0,0,0,0,0,0,0,1.9976011325535,0,0,1.9976011325535,0,2.785,0,1,0,1,0,0,0,"DeMoulas","ROM","CT BEYOND CR 02.1OZ",0.570633354299197,0.216347352358621,1,9,1,0,1
"ITEM20CTDENTALIFEDNT_Retailer","NPP","Cat Treats","CT DENTALIFE DNT 13.5OZ",7,6,8,0,8,0,6,0,6.99,0,0,0,0,0,0,0,0,4,6,5.2,0,6,0,0.648,1,1,1,1,0,0,0,"DeMoulas","Retailer","CT DENTALIFE DNT 13.5OZ",NA,NA,0,0,0,0,0
"ITEM39CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.7,3,5,0,4,0,2,0,3.25814112251303,0.47,14.922,0,18.488,0,8.905,0,10.954,0,3.25814112251303,0,0,3.25814112251303,0,35.1685,1,0,1,0,0,0,1,"DeMoulas","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.568502529035919,0.0734438411728693,2,0,0,1,0
"ITEM5CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",1.8,1,2,9,2,0,1,7.05432047214622,1.54566654035576,0,64.32,0,0,0,0,0,0,1,2,1.2,0,2,0,95.6125,1,1,1,1,0,0,0,"DeMoulas","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.742186845253378,0.116881994217517,2,5,0,0,0
"ITEM5CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",1.9,1,3,0,3,0,1,0,1.69767660917758,0,13.841,0,15.787,0,2.66,0,0,0,1.69767660917758,0,0,1.69767660917758,0,37.9285,1,0,1,0,1,1,0,"DeMoulas","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.15070167494135,0.0724786365413867,2,0,0,1,0
"ITEM69CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 10OZ",5,4,6,0,6,0,3,0,4.33053739701616,0,4.782,0,4.859,0,0,0,0,0,4.33053739701616,0,0,4.33053739701616,0,12.2685,1,0,1,0,1,0,0,"DeMoulas","ROM","CT WHISKER LICKINS CR 10OZ",0.784275396724507,0.168322692211446,1,0,0,1,0
"ITEM70CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 04OZ",2.5,2,3,28,3,0,1,13.307258221433,2.29945156560539,0,5.975,0,5.6,0,0,0,0,0,2.29945156560539,0,0,2.29945156560539,0,14.169,0,1,1,1,0,0,0,"DeMoulas","ROM","CT WHISKER LICKINS CR 04OZ",0.743228778939972,0.202972220309841,1,23,1,0,0
"ITEM78CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX CR 20OZ 2CT",16.3,14,18,9,18,0,12,7.49332156344329,14.7810999229059,0,3.027,0,1.794,0,3.028,0,4.041,0,14.7810999229059,0,0,14.7810999229059,0,4.028,1,1,0,1,1,0,1,"DeMoulas","ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT",0.575480368558692,0.081553634175071,1,4,0,0,1
"ITEM8001CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ",5.2,4,6,55,6,0,2,21.3030894555932,4.80096961885178,0,5.159,0,4.662,0,0,0,0,0,4.80096961885178,0,0,4.80096961885178,0,1.388,0,1,0,1,1,0,0,"DeMoulas","ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",0.387759931711014,1.75161020663109,1,39,1,0,1
"ITEM8019CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 09OZ",3.9,3,5,27,5,0,2,12.2091159426004,3.41306891238349,0,0.107,0,0.257,0,0,0,0,0,3.41306891238349,0,0,3.41306891238349,0,0.2,0,1,0,1,0,0,0,"DeMoulas","ROM","CT KIT KABOODLE CR 09OZ",0.709423156468248,0.681933363177922,1,4,1,0,1
"ITEM8036CTWHISKERLICKINSAO_ROM","NPP","Cat Treats","CT WHISKER LICKINS AO",3.9,3,5,15,5,0,2,9.69306751473051,3.13052808661614,0,5.833,0,5.332,0,0.859,0,0,0,3.13052808661614,0,0,3.13052808661614,0,6.398,1,0,0,0,0,1,0,"DeMoulas","ROM","CT WHISKER LICKINS AO",0.261485347180425,0.305370786016727,1,3,0,1,1
"ITEM821CTFANCYFEASTPUREFLAKED_Retailer","NPP","Cat Treats","CT FANCY FEAST PURE FLAKED 01.06OZ",4.2,3,5,9,5,0,3,6.80800856533747,3.75977876128422,0,84.95,0,0,0,0,0,0,2,3,2.6,0,3,0,87.296,1,1,1,1,0,0,0,"DeMoulas","Retailer","CT FANCY FEAST PURE FLAKED 01.06OZ",0.881405202630523,0.500780998749787,2,18,0,0,0
