"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Description","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","Intercept","Market","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","CB_Comp_RP_3","CB_Comp_TPR_2","CB_Comp_TPR_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_4","Model_flag"
"ITEM107CWBEYOND_ROM","Wet Cat","DeMoulas","CW BEYOND 03OZ 6CT",-2.5,4.62564797143268,0,0,10,10,0,0,-1.98435676516953,0,0,0,-0.00202113841526523,0,NA,NA,0,9.9143632378835,"ROM",0,0,NA,-3.39129767229822,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,1
"ITEM10ALPO_Retailer","Wet Dog","DeMoulas","DW ALPO 13.0-13.2OZ",-0.1,1.61165449054166,-0.934123260884206,0,10,0,0,0,0.147658144995043,-0.145623360475885,0.0350289184070813,-0.104052907375969,-0.0813043569015125,0,0,NA,0,1.30729436101284,"Retailer",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ITEM10ALPO_ROM","Wet Dog","DeMoulas","DW ALPO 13.0-13.2OZ",-2.5,0,-3.85596425972729,-4.14068698343873,10,0,0,0,0,0,0,0,0,0,0,NA,0,6.90346675661111,"ROM",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM10CWFANCYFEASTMEDLEYS_Retailer","Wet Cat","DeMoulas","CW FANCY FEAST MEDLEYS 03OZ 12CT",-1.33231011764176,3.21002910666888,0,-0.749979323330514,5.25838278891311,0,0,0,0,0,0,0,0,0,NA,NA,0,5.75691905427313,"Retailer",0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,2
"ITEM10CWFANCYFEASTMEDLEYS_ROM","Wet Cat","DeMoulas","CW FANCY FEAST MEDLEYS 03OZ 12CT",0,0,0,0,2.32134934954846,0,8.76840025884373,10.6320195796072,0.368839818245507,0,0,0,0.00207549629001774,0,NA,NA,0,6.88824347996711,"ROM",0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,2
"ITEM110CWFANCYFEASTMEDLEYS_ROM","Wet Cat","DeMoulas","CW FANCY FEAST MEDLEYS 03OZ 18CT",-2.5,3.12005948143566,-0.633173950811423,-2.32908105252699,10,0,0,0,0,0,0,0,0,0,NA,NA,0,10.0972560924299,"ROM",0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,1
"ITEM115CWFRISKIES_ROM","Wet Cat","DeMoulas","CW FRISKIES 05.5OZ 32CT",-0.18253840447831,0,0,0,3.32576518748478,0,0.930978751097791,0,0.165908479854283,0,0,0,0,0,NA,NA,0,6.96267926962152,"ROM",0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,2
"ITEM116CWFANCYFEASTML_ROM","Wet Cat","DeMoulas","CW FANCY FEAST ML 03OZ 30CT",0,0,0,0,4.25871294053188,0.257119260389715,17.218385684882,0,0,0,0,0,0,0,NA,NA,0,6.44370070102045,"ROM",0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,2
"ITEM118CWFRISKIES_ROM","Wet Cat","DeMoulas","CW FRISKIES 05.5OZ 48CT",-2.09036510891656,0,0,0,0,1.83288812499972,0,0,0,0,0,0,0,0,NA,NA,0,13.6111637416766,"ROM",0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,1
"ITEM11CWFANCYFEASTML_Retailer","Wet Cat","DeMoulas","CW FANCY FEAST ML 03OZ 24CT",-0.294813766290086,0.317591526186963,-0.879966220119998,0,3.87331525188811,0,0,0,0,0,0,0,0,0,NA,NA,0,4.77743971472896,"Retailer",0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,2
