"Acting_PPG_Item_No","PPG_Cat","PPG_MFG","PPG_Item_No","Modelled_PPG_Description","model_RSq","model_CVErrorMean","model_CVErrorSD","model_coefficient_name","model_coefficient_value","TrainMAPE","approach_edlp","mean_edlp","std_edlp","rhat","approach_tpr","mean_tpr","std_tpr","Run","Reason","Model_flag","Retailer","Market","Brand","size_cuts","price_cuts","grp_based_on","Model_type","model_box","Modelled_PPG_Item_No","acting_box","Variable","CompKey_WB_Interaction","CompKey_WB_Interaction_TPR","CompKey_CB","CompKey_WB","CompKey_CB_TPR","CompKey_WB_TPR","CompKey","Acting_PPG_Item"
"ITEM12CTDENTALIFEDNT","Cat Treats","NPP","ITEM12CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ",0.263607657508779,0.251981370963915,0.0626408858501467,"tpr_discount_byppg",0.18587394559408,0.368182975332007,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"DeMoulas","ROM",NA,NA,NA,NA,NA,"ROM","ITEM12CTDENTALIFEDNT","ROM","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT DENTALIFE DNT 01.8OZ"
"ITEM12CTDENTALIFEDNT","Cat Treats","NPP","ITEM12CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ",0.263607657508779,0.251981370963915,0.0626408858501467,"ACV_Feat_Only",2.89637855940321,0.368182975332007,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"DeMoulas","ROM",NA,NA,NA,NA,NA,"ROM","ITEM12CTDENTALIFEDNT","ROM","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT DENTALIFE DNT 01.8OZ"
"ITEM12CTDENTALIFEDNT","Cat Treats","NPP","ITEM12CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ",0.263607657508779,0.251981370963915,0.0626408858501467,"tpr_discount_byppg_lag1",-3.93810236261572,0.368182975332007,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"DeMoulas","ROM",NA,NA,NA,NA,NA,"ROM","ITEM12CTDENTALIFEDNT","ROM","Pantry Loading 1",NA,NA,NA,NA,NA,NA,"Pantry Loading 1","CT DENTALIFE DNT 01.8OZ"
"ITEM12CTDENTALIFEDNT","Cat Treats","NPP","ITEM12CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ",0.263607657508779,0.251981370963915,0.0626408858501467,"tpr_discount_byppg_lag2",-0.595566919513522,0.368182975332007,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"DeMoulas","ROM",NA,NA,NA,NA,NA,"ROM","ITEM12CTDENTALIFEDNT","ROM","Pantry Loading 2",NA,NA,NA,NA,NA,NA,"Pantry Loading 2","CT DENTALIFE DNT 01.8OZ"
"ITEM12CTDENTALIFEDNT","Cat Treats","NPP","ITEM12CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ",0.263607657508779,0.251981370963915,0.0626408858501467,"monthno",-0.0158704514763764,0.368182975332007,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"DeMoulas","ROM",NA,NA,NA,NA,NA,"ROM","ITEM12CTDENTALIFEDNT","ROM","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT DENTALIFE DNT 01.8OZ"
"ITEM12CTDENTALIFEDNT","Cat Treats","NPP","ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ",0.891036241503194,NA,NA,"ACV_Selling",6.5417486363712,1.18154906200634,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",,,,,,,,,,TPR_lag1 counterintuitive case,,,,,,,",0,"DeMoulas","Retailer","DENTALIFE","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM12CTDENTALIFEDNT","Retailer","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT DENTALIFE DNT 01.8OZ"
"ITEM12CTDENTALIFEDNT","Cat Treats","NPP","ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ",0.891036241503194,NA,NA,"monthno",-0.0722402783691208,1.18154906200634,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",,,,,,,,,,TPR_lag1 counterintuitive case,,,,,,,",0,"DeMoulas","Retailer","DENTALIFE","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM12CTDENTALIFEDNT","Retailer","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT DENTALIFE DNT 01.8OZ"
"ITEM12CTDENTALIFEDNT","Cat Treats","NPP","ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ",0.891036241503194,NA,NA,"wk_sold_median_base_price_byppg_log",-0.319672399527892,1.18154906200634,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",,,,,,,,,,TPR_lag1 counterintuitive case,,,,,,,",0,"DeMoulas","Retailer","DENTALIFE","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM12CTDENTALIFEDNT","Retailer","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT DENTALIFE DNT 01.8OZ"
"ITEM12CTDENTALIFEDNT","Cat Treats","NPP","ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ",0.891036241503194,NA,NA,"tpr_discount_byppg",7.9489432158015,1.18154906200634,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",,,,,,,,,,TPR_lag1 counterintuitive case,,,,,,,",0,"DeMoulas","Retailer","DENTALIFE","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM12CTDENTALIFEDNT","Retailer","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT DENTALIFE DNT 01.8OZ"
"ITEM12CTDENTALIFEDNT","Cat Treats","NPP","ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ",0.891036241503194,NA,NA,"flag_qtr4",0.243053744721363,1.18154906200634,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",,,,,,,,,,TPR_lag1 counterintuitive case,,,,,,,",0,"DeMoulas","Retailer","DENTALIFE","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM12CTDENTALIFEDNT","Retailer","flag_qtr4",NA,NA,NA,NA,NA,NA,"flag_qtr4","CT DENTALIFE DNT 01.8OZ"
"ITEM12CTDENTALIFEDNT","Cat Treats","NPP","ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ",0.891036241503194,NA,NA,"category_trend",0.0846081699279842,1.18154906200634,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",,,,,,,,,,TPR_lag1 counterintuitive case,,,,,,,",0,"DeMoulas","Retailer","DENTALIFE","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM12CTDENTALIFEDNT","Retailer","category_trend",NA,NA,NA,NA,NA,NA,"category_trend","CT DENTALIFE DNT 01.8OZ"
"ITEM12CTDENTALIFEDNT","Cat Treats","NPP","ITEM12CTDENTALIFEDNT_Retailer","CT DENTALIFE DNT 01.8OZ",0.891036241503194,NA,NA,"tpr_discount_byppg_lag1",0,1.18154906200634,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",,,,,,,,,,TPR_lag1 counterintuitive case,,,,,,,",0,"DeMoulas","Retailer","DENTALIFE","(0,20]","(0,2]","Within Price and Size Range (Category)","lme","Retailer","ITEM12CTDENTALIFEDNT","Retailer","Pantry Loading 1",NA,NA,NA,NA,NA,NA,"Pantry Loading 1","CT DENTALIFE DNT 01.8OZ"
"ITEM14CTMEOWMIXIRRESISTIBLESTN","Cat Treats","NPP","ITEM78CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT",0.575480368558692,0.0123569425320106,0.00179857794568581,"ITEM14CTMEOWMIXIRRESISTIBLESTN_Retailer_RegularPrice",0.262951746730741,0.081553634175071,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"DeMoulas","ROM",NA,NA,NA,NA,NA,"ROM","ITEM78CTFRISKIESPARTYMIXCR","Retailer","Regular Price",NA,NA,1,NA,NA,NA,"CB_Comp_RP_1","CT MEOW MIX IRRESISTIBLES TN 03OZ"
"ITEM19CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ",0.893128749374794,NA,NA,"ACV_Selling",6.04307341309131,1.11005075595149,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,,,,,,,,",0,"DeMoulas","Retailer","FANCY FEAST","(0,20]","(0,2]","Within Brand","lme","Retailer","ITEM19CTFANCYFEASTDUOSCR","Retailer","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM19CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ",0.893128749374794,NA,NA,"monthno",-0.177568497966468,1.11005075595149,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,,,,,,,,",0,"DeMoulas","Retailer","FANCY FEAST","(0,20]","(0,2]","Within Brand","lme","Retailer","ITEM19CTFANCYFEASTDUOSCR","Retailer","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM19CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ",0.893128749374794,NA,NA,"wk_sold_median_base_price_byppg_log",-0.1,1.11005075595149,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,,,,,,,,",0,"DeMoulas","Retailer","FANCY FEAST","(0,20]","(0,2]","Within Brand","lme","Retailer","ITEM19CTFANCYFEASTDUOSCR","Retailer","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM19CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ",0.893128749374794,NA,NA,"tpr_discount_byppg",0.1,1.11005075595149,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,,,,,,,,",0,"DeMoulas","Retailer","FANCY FEAST","(0,20]","(0,2]","Within Brand","lme","Retailer","ITEM19CTFANCYFEASTDUOSCR","Retailer","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM19CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ",0.893128749374794,NA,NA,"category_trend",0.898648425166616,1.11005075595149,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,,,,,,,,",0,"DeMoulas","Retailer","FANCY FEAST","(0,20]","(0,2]","Within Brand","lme","Retailer","ITEM19CTFANCYFEASTDUOSCR","Retailer","category_trend",NA,NA,NA,NA,NA,NA,"category_trend","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM19CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ",0.893128749374794,NA,NA,"tpr_discount_byppg_lag1",-1.52596537338499,1.11005075595149,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,,,,,,,,",0,"DeMoulas","Retailer","FANCY FEAST","(0,20]","(0,2]","Within Brand","lme","Retailer","ITEM19CTFANCYFEASTDUOSCR","Retailer","Pantry Loading 1",NA,NA,NA,NA,NA,NA,"Pantry Loading 1","CT FANCY FEAST DUOS CR 02.1OZ"
