"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4"
1113200040,"ROM","DD ALPO 04LB","ITEM432DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","DeMoulas","ALPO",NA,0,0.664671823276054,0.701387149493588,0.771933006589713,0.775519404736787,0.718291084887072,0.444070379987508,0.744240227802226,1
1113200392,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM53ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","DeMoulas","ALPO",NA,0,0.722791372622897,0.675002587528326,0.661313047228651,0.547142554491185,0.593384435042479,0.562355826482581,0.794067724211432,0.377429524615362
1113200681,"ROM","DT ALPO VARIETY SNAPS CR 16OZ","ITEM606DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","DeMoulas","ALPO",NA,0,1,1,1,1,1,1,1,1
1113210840,"ROM","DW ALPO 13.0-13.2OZ","ITEM10ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","DeMoulas","ALPO",NA,0,0.000870260615081554,0.000255925479959979,0.0000379977113598471,0,0,0,0,0
1113210840,"Retailer","DW ALPO 13.0-13.2OZ","ITEM10ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","DeMoulas","ALPO",0.765,0.104166666666667,0,NA,NA,0,NA,NA,NA,NA
1113210860,"ROM","DW ALPO 13.0-13.2OZ","ITEM10ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROASTED CHICKEN AND TOP SIRLOI WET CAN 13.2 OUNCE","DeMoulas","ALPO",NA,0,0,0,0.0000189988556799235,0,0,0,0,0
1113210929,"ROM","DW ALPO 13.2OZ 12CT","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","DeMoulas","ALPO",NA,0,0,0,0,0,0,0,0,0
1113210929,"Retailer","DW ALPO 13.2OZ 12CT","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","DeMoulas","ALPO",0.766886428330197,0.104166666666667,NA,NA,NA,NA,NA,NA,NA,NA
1113211755,"ROM","DW ALPO 13.0-13.2OZ","ITEM10ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","DeMoulas","ALPO",NA,0,0.000248645890023301,0,0,0,0,0,0,0
1113212516,"ROM","DW ALPO 13.0-13.2OZ","ITEM10ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","DeMoulas","ALPO",NA,0,0.000870260615081554,0,0,0,0,0,0,0
