"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","CB_Comp_TPR_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_4","WB_Comp_Interaction_TPR_1","WB_Comp_TPR_5"
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","Dollar General",NA,NA,NA,NA,3.69425318077419,3.68152351740443,0,0.000433571428571429,0.000986428571428571,0,0.391979285714286,1.25317749781261,0,0,35,144173.622857143,142881.456872331,2,NA,NA,NA,NA,NA,NA,NA,NA,1292.16598481214,524823.920223733,4735.06113340975,4735.06113340975,NA,NA,0,0,0,NA,534886.255516197,145610.25346655,NA,0,NA,NA,NA,NA,NA,NA,145610.25346655,534886.255516197,3036.80251945598,3.67396314179477,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","Dollar General",NA,NA,NA,NA,3.68238097321126,3.66927104273619,0,0,0.00201153846153846,0,0.382117692307692,1.163778067088,0,0,31.9230769230769,135195.161538462,132646.731184132,2,NA,NA,NA,NA,NA,NA,NA,NA,2548.43035432954,486185.040231576,9344.23530688598,9344.23530688598,NA,NA,0,0,0,NA,489045.571000467,133427.904591894,NA,0,NA,NA,NA,NA,NA,NA,133427.904591894,489045.571000467,2340.82906564724,3.66527431664437,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","Dollar General",NA,NA,NA,NA,3.43662096164432,3.41372006810794,0,0.00386307692307692,0.00239153846153846,0.000156923076923077,0.399261923076923,1.10473774904018,0,0,28.9230769230769,143003.759846154,141456.798869873,2,NA,NA,NA,NA,NA,NA,NA,NA,1546.96097628115,481721.497588359,5232.47410394891,5232.47410394891,NA,NA,0,0,0,NA,493362.94074971,144894.7999662,NA,0,NA,NA,NA,NA,NA,NA,144894.7999662,493362.94074971,4184.73230489154,3.40747363873755,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","Dollar General",NA,NA,NA,NA,3.23280065534125,3.21380830866413,0,0.0079575,0.00193333333333333,0.000263333333333333,0.3928275,1.07756158359493,0,0,26,161928.232333333,157766.414166496,2,NA,NA,NA,NA,NA,NA,NA,NA,4161.81816683717,504353.481773842,13788.9191428245,13788.9191428245,NA,NA,0,0,0,NA,507402.949549042,158766.395115401,NA,0,NA,NA,NA,NA,NA,NA,158766.395115401,507402.949549042,4968.12217416528,3.20263071838027,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM22CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","Dollar General",NA,NA,NA,NA,9.79600751210437,9.73566992654023,0,0.00149785714285714,0.00153357142857143,0.000105714285714286,0.485911428571429,1.25317749781261,0,0,35,75599.584,75053.4037378912,2,NA,NA,NA,NA,NA,NA,NA,NA,546.180262108757,729449.700942298,5303.1782005595,5303.1782005595,NA,NA,0,0,0,NA,745159.668037604,76668.9024723097,NA,0,NA,NA,NA,NA,NA,NA,76668.9024723097,745159.668037604,5833.29390200633,9.71949367626659,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM22CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","Dollar General",NA,NA,NA,NA,9.7140690327154,9.63349951454259,0,0,0.00296538461538462,0,0.483101538461538,1.163778067088,0,0,31.9230769230769,74371.8666153846,74063.428361295,2,NA,NA,NA,NA,NA,NA,NA,NA,308.438254089647,713448.909940568,2961.33698250897,2961.33698250897,NA,NA,0,0,0,NA,721358.801399731,74884.7188376987,NA,0,NA,NA,NA,NA,NA,NA,74884.7188376987,721358.801399731,5998.92005399108,9.63297279366085,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM22CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","Dollar General",NA,NA,NA,NA,9.00464456715086,8.96822546203853,0,0.000330769230769231,0.0100469230769231,0,0.494666153846154,1.10473774904018,0,0,28.9230769230769,80707.2154615385,78312.5638102878,2,NA,NA,NA,NA,NA,NA,NA,NA,2394.65165125066,701936.941275671,21401.4028781752,21401.4028781752,NA,NA,0,0,0,NA,703168.053835364,78448.4845417063,NA,0,NA,NA,NA,NA,NA,NA,78448.4845417063,703168.053835364,3052.8140182834,8.96734081619112,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM22CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"ROM","Dollar General",NA,NA,NA,NA,8.46357150511562,8.45202060753265,0,0.003965,0.0070825,0.0001625,0.499150833333333,1.07756158359493,0,0,26,82129.8114166667,80097.1166376693,2,NA,NA,NA,NA,NA,NA,NA,NA,2032.69477899737,676602.175598509,17159.0253181579,17159.0253181579,NA,NA,0,0,0,NA,678855.669106916,80353.5093297548,NA,0,NA,NA,NA,NA,NA,NA,80353.5093297548,678855.669106916,966.940817301946,8.45202060753265,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM23CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","Dollar General",NA,NA,NA,NA,1.93213372162136,1.92449001076929,0,0.000270714285714286,0.00194357142857143,0,0.499311428571429,1.25317749781261,0,0,35,337822.266071429,334197.859277538,2,NA,NA,NA,NA,NA,NA,NA,NA,3624.40679389021,643148.868402817,7000.55802575451,7000.55802575451,NA,NA,0,0,0,NA,664011.641070351,345041.36787844,NA,0,NA,NA,NA,NA,NA,NA,345041.36787844,664011.641070351,2608.69605494009,1.92440970728916,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM23CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","Dollar General",NA,NA,NA,NA,1.92128723913484,1.91093629641713,0,0.000369230769230769,0.00333384615384615,0.0000523076923076923,0.464839230769231,1.163778067088,0,0,31.9230769230769,330790.124461538,323216.633189305,2,NA,NA,NA,NA,NA,NA,NA,NA,7573.49127223324,617726.125657727,14480.2319576573,14480.2319576573,NA,NA,0,0,0,NA,617816.330010118,323263.803282358,NA,0,NA,NA,NA,NA,NA,NA,323263.803282358,617816.330010118,3495.24654362563,1.91093629641713,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
