"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within_non_normalised","Cross_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","CB_Comp_TPR_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_4","WB_Comp_Interaction_TPR_1","WB_Comp_TPR_5"
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","Dollar General",NA,NA,NA,NA,3.68055981408794,3.68055981408794,0,0,0,0,0.39442,1.25317749781261,0,0,35,138767.261038688,138767.261038688,2,NA,NA,NA,NA,NA,NA,NA,NA,0,510741.204490047,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.68055981408794,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","Dollar General",NA,NA,NA,NA,3.68055981408794,3.68055981408794,0,0,0,0,0.39442,1.163778067088,0,0,31.9230769230769,128248.061755535,128248.061755535,2,NA,NA,NA,NA,NA,NA,NA,NA,0,472024.662332091,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.68055981408794,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","Dollar General",NA,NA,NA,NA,3.68055981408794,3.68055981408794,0,0,0,0,0.39442,1.10473774904018,0,0,28.9230769230769,122699.101407637,122699.101407637,2,NA,NA,NA,NA,NA,NA,NA,NA,0,451601.38186565,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.68055981408794,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","Dollar General",NA,NA,NA,NA,3.68055981408794,3.68055981408794,0,0,0,0,0.39442,1.07756158359493,0,0,26,124304.090832035,124304.090832035,2,NA,NA,NA,NA,NA,NA,NA,NA,0,457508.641443126,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.68055981408794,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM22CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","Dollar General",NA,NA,NA,NA,9.74954413308623,9.74954413308623,0,0,0,0,0.491175,1.25317749781261,0,0,35,75158.8596260047,75158.8596260047,2,NA,NA,NA,NA,NA,NA,NA,NA,0,732764.618916166,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.74954413308623,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM22CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","Dollar General",NA,NA,NA,NA,9.74954413308623,9.74954413308623,0,0,0,0,0.491175,1.163778067088,0,0,31.9230769230769,72551.434482995,72551.434482995,2,NA,NA,NA,NA,NA,NA,NA,NA,0,707343.412410674,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.74954413308623,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM22CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","Dollar General",NA,NA,NA,NA,9.74954413308623,9.74954413308623,0,0,0,0,0.491175,1.10473774904018,0,0,28.9230769230769,69759.7118846494,69759.7118846494,2,NA,NA,NA,NA,NA,NA,NA,NA,0,680125.389730769,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.74954413308623,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM22CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"ROM","Dollar General",NA,NA,NA,NA,9.74954413308623,9.74954413308623,0,0,0,0,0.491175,1.07756158359493,0,0,26,69287.4423303424,69287.4423303424,2,NA,NA,NA,NA,NA,NA,NA,NA,0,675520.97686834,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.74954413308623,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM23CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","Dollar General",NA,NA,NA,NA,1.92209675820247,1.92209675820247,0,0,0,0,0.50418,1.25317749781261,0,0,35,345788.237516918,345788.237516918,2,NA,NA,NA,NA,NA,NA,NA,NA,0,664638.450355813,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.92209675820247,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM23CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","Dollar General",NA,NA,NA,NA,1.92209675820247,1.92209675820247,0,0,0,0,0.50418,1.163778067088,0,0,31.9230769230769,328628.205233656,328628.205233656,2,NA,NA,NA,NA,NA,NA,NA,NA,0,631655.207933506,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.92209675820247,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
