"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"1","ITEM509CTWHISKERLICKINSCR_Retailer","2022-10-22","Within","Pantry Loading",1,"CT WHISKER LICKINS CR 01.7OZ","Cat Treats","Dollar General",0,27.3808531521377
"2","ITEM509CTWHISKERLICKINSCR_Retailer","2022-10-29","Within","Pantry Loading",1,"CT WHISKER LICKINS CR 01.7OZ","Cat Treats","Dollar General",0,16.3488758269593
"3","ITEM509CTWHISKERLICKINSCR_Retailer","2022-11-05","Within","Pantry Loading",1,"CT WHISKER LICKINS CR 01.7OZ","Cat Treats","Dollar General",267.552150526358,1.44699548688686
"4","ITEM509CTWHISKERLICKINSCR_Retailer","2022-11-12","Within","Pantry Loading",1,"CT WHISKER LICKINS CR 01.7OZ","Cat Treats","Dollar General",188.350699818427,0
"5","ITEM509CTWHISKERLICKINSCR_Retailer","2022-11-19","Within","Pantry Loading",1,"CT WHISKER LICKINS CR 01.7OZ","Cat Treats","Dollar General",101.961939195781,0
"6","ITEM509CTWHISKERLICKINSCR_Retailer","2022-11-26","Within","Pantry Loading",1,"CT WHISKER LICKINS CR 01.7OZ","Cat Treats","Dollar General",24.1418355126763,0
"7","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-01-02","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",185.538507530482,0
"8","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-01-09","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",195.345415427962,0
"9","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-01-16","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",187.695008819948,0
"10","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-02-06","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",25.1173054281978,25.1173054281978
"11","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-02-20","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",25.1191748538285,0
"12","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-03-06","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",30.9924126033332,0
"13","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-04-24","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",196.576122534081,0
"14","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-05-01","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",196.827503488957,0
"15","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-05-08","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",186.953540571953,0
"16","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-05-15","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",173.244640603679,0
"17","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-07-17","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",166.420523198077,0
"18","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-10-09","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",29.2461725788474,29.2461725788474
"19","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-10-09","Cross","DT BUSY CHEWNOLA CW 04OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",961.673973337075,961.673973337075
"20","ITEM113ALPOVARIETYSNAPSCR_Retailer","2021-10-09","Within","Pantry Loading",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",765.417601601775,765.417601601775
"21","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-01-08","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",25.4909263799218,0
"22","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-01-15","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",25.4802906655568,25.4802906655568
"23","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-03-19","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",28.3210754188124,28.3210754188124
"24","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-03-26","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",37.4757580947514,37.4757580947514
"25","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-05-21","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",0,21.716863464391
"26","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-07-16","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",4.82731834992529,0
"27","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-09-10","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",12.7027088213657,12.7027088213657
"28","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-09-17","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",36.1895215679825,36.1895215679825
"29","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-09-24","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",35.3990850364558,35.3990850364558
"30","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-10-01","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",43.175170345562,43.175170345562
"31","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-10-08","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",37.9555639064026,37.9555639064026
"32","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-10-15","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",51.9547350212394,51.9547350212394
"33","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-10-22","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",43.8560362479157,43.8560362479157
"34","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-10-29","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",40.0545494310607,0
"35","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-11-05","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",50.7344332333566,0
"36","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-11-12","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",66.7652063757212,0
"37","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-11-19","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",54.9346071825714,0
"38","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-11-26","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",42.5035640960825,0
"39","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-12-03","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",51.8844541637407,0
"40","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-12-10","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",47.1335216755697,0
"41","ITEM113ALPOVARIETYSNAPSCR_Retailer","2022-12-17","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","Dollar General",52.3397986169063,0
"42","ITEM167BEGGINMT_Retailer","2021-01-02","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",77.6183947792911,0
"43","ITEM167BEGGINMT_Retailer","2021-01-09","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",104.216388658288,104.216388658288
"44","ITEM167BEGGINMT_Retailer","2021-01-16","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",111.027466635053,111.027466635053
"45","ITEM167BEGGINMT_Retailer","2021-01-16","Within","DT BEGGIN MT 08.5-9OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",3232.57639330132,3232.57639330132
"46","ITEM167BEGGINMT_Retailer","2021-01-16","Within","Pantry Loading",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",745.371659907427,745.371659907427
"47","ITEM167BEGGINMT_Retailer","2021-01-23","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",102.275036920847,102.275036920847
"48","ITEM167BEGGINMT_Retailer","2021-01-23","Within","DT BEGGIN MT 08.5-9OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",2788.79515656625,2788.79515656625
"49","ITEM167BEGGINMT_Retailer","2021-01-23","Within","Pantry Loading",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",673.448584031793,673.448584031793
"50","ITEM167BEGGINMT_Retailer","2021-01-30","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",91.4219715178997,91.4219715178997
"51","ITEM167BEGGINMT_Retailer","2021-01-30","Within","DT BEGGIN MT 08.5-9OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",2461.57864899279,2461.57864899279
"52","ITEM167BEGGINMT_Retailer","2021-01-30","Within","Pantry Loading",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",612.439117320669,612.439117320669
"53","ITEM167BEGGINMT_Retailer","2021-02-06","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",92.3376528431664,92.3376528431664
"54","ITEM167BEGGINMT_Retailer","2021-02-06","Within","DT BEGGIN MT 08.5-9OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",3101.09007459941,3101.09007459941
"55","ITEM167BEGGINMT_Retailer","2021-02-06","Within","Pantry Loading",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",484.975088593064,484.975088593064
"56","ITEM167BEGGINMT_Retailer","2021-02-13","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",78.7506208325469,78.7506208325469
"57","ITEM167BEGGINMT_Retailer","2021-02-13","Within","DT BEGGIN MT 08.5-9OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",2642.10138722918,2642.10138722918
"58","ITEM167BEGGINMT_Retailer","2021-02-13","Within","Pantry Loading",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",488.801551200538,488.801551200538
"59","ITEM167BEGGINMT_Retailer","2021-02-20","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",84.5484706521342,84.5484706521342
"60","ITEM167BEGGINMT_Retailer","2021-02-27","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",0,83.3760620535082
"61","ITEM167BEGGINMT_Retailer","2021-03-06","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",82.2551177870037,82.2551177870037
"62","ITEM167BEGGINMT_Retailer","2021-03-13","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",89.283385862928,89.283385862928
"63","ITEM167BEGGINMT_Retailer","2021-03-20","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",100.243630174289,100.243630174289
"64","ITEM167BEGGINMT_Retailer","2021-03-27","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",93.2535624239167,93.2535624239167
"65","ITEM167BEGGINMT_Retailer","2021-03-27","Within","DT BEGGIN MT 08.5-9OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",4168.79425888818,4168.79425888818
"66","ITEM167BEGGINMT_Retailer","2021-03-27","Within","Pantry Loading",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",542.382549853447,542.382549853447
"67","ITEM167BEGGINMT_Retailer","2021-04-03","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",110.317202382257,110.317202382257
"68","ITEM167BEGGINMT_Retailer","2021-04-10","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",78.1754894006875,78.1754894006875
"69","ITEM167BEGGINMT_Retailer","2021-04-17","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",101.596497850637,101.596497850637
"70","ITEM167BEGGINMT_Retailer","2021-04-24","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",104.077589852208,104.077589852208
"71","ITEM167BEGGINMT_Retailer","2021-05-01","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",99.9044204454103,99.9044204454103
"72","ITEM167BEGGINMT_Retailer","2021-05-08","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",92.7392872998662,92.7392872998662
"73","ITEM167BEGGINMT_Retailer","2021-05-15","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",121.765898434023,121.765898434023
"74","ITEM167BEGGINMT_Retailer","2021-05-22","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",0,89.1793704441711
"75","ITEM167BEGGINMT_Retailer","2021-05-29","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",0,118.634913639915
"76","ITEM167BEGGINMT_Retailer","2021-06-05","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",103.981080656412,103.981080656412
"77","ITEM167BEGGINMT_Retailer","2021-06-05","Within","DT BEGGIN MT 08.5-9OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",4613.93911447031,4613.93911447031
"78","ITEM167BEGGINMT_Retailer","2021-06-05","Within","Pantry Loading",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",450.158893928193,450.158893928193
"79","ITEM167BEGGINMT_Retailer","2021-06-12","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",0,188.194438747702
"80","ITEM167BEGGINMT_Retailer","2021-06-19","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",364.608458758238,364.608458758238
"81","ITEM167BEGGINMT_Retailer","2021-06-26","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",825.21767079171,825.21767079171
"82","ITEM167BEGGINMT_Retailer","2021-07-03","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",0,105.02976355121
"83","ITEM167BEGGINMT_Retailer","2021-07-10","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",0,95.3346002636126
"84","ITEM167BEGGINMT_Retailer","2021-07-17","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",0,66.073362575479
"85","ITEM167BEGGINMT_Retailer","2021-07-24","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",103.877755759955,103.877755759955
"86","ITEM167BEGGINMT_Retailer","2021-07-24","Within","DT BEGGIN MT 08.5-9OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",3905.55038477962,3905.55038477962
"87","ITEM167BEGGINMT_Retailer","2021-07-24","Within","Pantry Loading",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",538.725909625708,538.725909625708
"88","ITEM167BEGGINMT_Retailer","2021-07-31","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",151.5000276683,0
"89","ITEM167BEGGINMT_Retailer","2021-08-07","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",105.295444121954,105.295444121954
"90","ITEM167BEGGINMT_Retailer","2021-08-07","Within","DT BEGGIN MT 08.5-9OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",4219.65788102182,4219.65788102182
"91","ITEM167BEGGINMT_Retailer","2021-08-07","Within","Pantry Loading",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",395.074788965935,395.074788965935
"92","ITEM167BEGGINMT_Retailer","2021-08-14","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",140.637114555775,0
"93","ITEM167BEGGINMT_Retailer","2021-08-21","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",0,52.1194979957043
"94","ITEM167BEGGINMT_Retailer","2021-09-04","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",109.998518134347,109.998518134347
"95","ITEM167BEGGINMT_Retailer","2021-09-04","Within","DT BEGGIN MT 08.5-9OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",4102.31906205839,4102.31906205839
"96","ITEM167BEGGINMT_Retailer","2021-09-04","Within","Pantry Loading",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",401.972863570752,401.972863570752
"97","ITEM167BEGGINMT_Retailer","2021-09-11","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",87.4165560073339,52.7291042670331
"98","ITEM167BEGGINMT_Retailer","2021-09-18","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",123.892004309209,0
"99","ITEM167BEGGINMT_Retailer","2021-10-02","Cross","DT BENEFUL BAKED CR 32-36OZ",2,"DT BEGGIN MT 03OZ","Dog Treats","Dollar General",100.610419134835,0
