"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM101CWMERRICKPURRFECTBISTRO","Wet Cat","CW MERRICK PURRFECT BISTRO 05.5OZ","NPP","ROM","Dollar General",1,"Merrick"
"ITEM1028DDPROPLANBRIGHTMINDS","Dry Dog","DD PRO PLAN BRIGHT MINDS 04-5LB","NPP","ROM","Dollar General",1,"Pro Plan"
"ITEM1032DTHONESTTODOGAOF","Dog Treats","DT HONEST TO DOG AOF","NPP","ROM","Dollar General",1,"Honest To Dog"
"ITEM1037DTMERRICKBACKCOUNTRYCR","Dog Treats","DT MERRICK BACKCOUNTRY CR 10OZ+","NPP","ROM","Dollar General",1,"Merrick"
"ITEM1038DTMERRICKFRSKSSDT","Dog Treats","DT MERRICK FRS KSS DT 09.5-11.5OZ","NPP","ROM","Dollar General",1,"Merrick"
"ITEM1039DDBEYONDGRFR","Dry Dog","DD BEYOND GR FR 23LB","NPP","ROM","Dollar General",1,"Beyond"
"ITEM1039DTMERRICKFRSKSSDT","Dog Treats","DT MERRICK FRS KSS DT 05.5-6.5OZ","NPP","ROM","Dollar General",1,"Merrick"
"ITEM1040DTMERRICKFRSKSSDT","Dog Treats","DT MERRICK FRS KSS DT 23.0-27OZ","NPP","ROM","Dollar General",1,"Merrick"
"ITEM1043DTMERRICKPOWERBITESMT","Dog Treats","DT MERRICK POWER BITES MT 06OZ","NPP","ROM","Dollar General",1,"Merrick"
"ITEM1052DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 42-46LB","NPP","ROM","Dollar General",2,"Dog Chow Line"
"ITEM1053DDBENEFULPREMIUM","Dry Dog","DD BENEFUL PREMIUM 09.4-12.5LB","NPP","ROM","Dollar General",1,"Beneful"
"ITEM1062DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 08.8LB","NPP","ROM","Dollar General",1,"Dog Chow Line"
"ITEM1063DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 216OZ","NPP","ROM","Dollar General",2,"Moist & Meaty"
"ITEM1069DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 40LB","NPP","ROM","Dollar General",2,"Purina One"
"ITEM1071DDBEYONDGRFR","Dry Dog","DD BEYOND GR FR 13LB","NPP","ROM","Dollar General",1,"Beyond"
"ITEM1074DDALPO","Dry Dog","DD ALPO 37-41LB","NPP","ROM","Dollar General",1,"Alpo"
"ITEM1076DDBEYONDSMP","Dry Dog","DD BEYOND SMP9 14.5-15.5LB","NPP","ROM","Dollar General",1,"Beyond"
"ITEM1080DDPROPLANSPORTPERFORM","Dry Dog","DD PRO PLAN SPORT PERFORM 37.5LB","NPP","ROM","Dollar General",1,"Pro Plan"
"ITEM1083DDPURINAONETRUINSTGF","Dry Dog","DD PURINA ONE TRU INST GF 03LB","NPP","ROM","Dollar General",1,"Purina One"
"ITEM1086DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 012OZ","NPP","Retailer","Dollar General",2,"Moist & Meaty"
"ITEM1086DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 012OZ","NPP","ROM","Dollar General",1,"Moist & Meaty"
"ITEM1097DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 14LB","NPP","Retailer","Dollar General",2,"Dog Chow Line"
"ITEM1097DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 14LB","NPP","ROM","Dollar General",1,"Dog Chow Line"
"ITEM109CWBEYOND","Wet Cat","CW BEYOND 03OZ 6CT","NPP","ROM","Dollar General",1,"Beyond"
"ITEM1101DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 02.8LB","NPP","Retailer","Dollar General",2,"Purina One"
"ITEM1101DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 02.8LB","NPP","ROM","Dollar General",1,"Purina One"
"ITEM1108DDBELLA","Dry Dog","DD BELLA 12LB","NPP","ROM","Dollar General",1,"Bella"
"ITEM1113DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 18.5-20LB","NPP","Retailer","Dollar General",2,"Dog Chow Line"
"ITEM1113DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 18.5-20LB","NPP","ROM","Dollar General",2,"Dog Chow Line"
"ITEM1116DDBENEFULGRFR","Dry Dog","DD BENEFUL PREMIUM 03LB","NPP","Retailer","Dollar General",1,"Beneful"
"ITEM1116DDBENEFULGRFR","Dry Dog","DD BENEFUL PREMIUM 03LB","NPP","ROM","Dollar General",1,"Beneful"
"ITEM1117DDALPO","Dry Dog","DD ALPO 28-31LB","NPP","Retailer","Dollar General",2,"Alpo"
